display_index,metric,label,short,family,subtype,role,reverse,primary_score,primary_boundary,domain,subcomponent
1,wards_placed_pm,Wards placed,Wards placed,shared_information_maintenance,information_deployment,process_indicator,False,True,True,shared_information_maintenance,information_deployment
2,wards_killed_pm,Wards cleared,Wards cleared,shared_information_maintenance,information_denial,process_indicator,False,True,True,shared_information_maintenance,information_denial
3,control_wards_bought_pm,Control wards purchased,Control wards,shared_information_maintenance,resource_investment,process_indicator,False,True,True,shared_information_maintenance,resource_investment
4,enemy_missing_pings_pm,Enemy-missing pings,Enemy missing,team_signalling,task_state_attention_signals,process_indicator,False,True,True,team_signalling,task_state_attention_signals
5,enemy_vision_pings_pm,Enemy-vision pings,Enemy vision,team_signalling,task_state_attention_signals,process_indicator,False,True,True,team_signalling,task_state_attention_signals
6,command_pings_pm,Command/attention pings,Command/attention,team_signalling,task_state_attention_signals,process_indicator,False,True,True,team_signalling,task_state_attention_signals
7,need_vision_pings_pm,Need-vision pings,Need vision,team_signalling,coordination_request_signals,process_indicator,False,True,True,team_signalling,coordination_request_signals
8,assist_me_pings_pm,Assist-me pings,Assist me,team_signalling,coordination_request_signals,process_indicator,False,True,True,team_signalling,coordination_request_signals
9,on_my_way_pings_pm,On-my-way pings,On my way,team_signalling,action_oriented_signals,process_indicator,False,True,True,team_signalling,action_oriented_signals
10,push_pings_pm,Push pings,Push,team_signalling,action_oriented_signals,process_indicator,False,True,True,team_signalling,action_oriented_signals
11,all_in_pings_pm,All-in pings,All in,team_signalling,action_oriented_signals,process_indicator,False,True,True,team_signalling,action_oriented_signals
12,get_back_pings_pm,Get-back pings,Get back,team_signalling,action_oriented_signals,process_indicator,False,True,True,team_signalling,action_oriented_signals
13,assists_pm,Assists,Assists,joint_action_participation,joint_action_participation,task_performance_indicator,False,True,False,joint_action_participation,joint_action_participation
14,kills_pm,Kills,Kills,combat_economy_performance,combat_economy_performance,task_performance_benchmark,False,True,True,combat_economy_performance,combat_economy_performance
15,deaths_pm,Fewer deaths,Fewer deaths,combat_economy_performance,combat_economy_performance,task_performance_benchmark,True,True,True,combat_economy_performance,combat_economy_performance
16,gold_earned_pm,Gold earned,Gold,combat_economy_performance,combat_economy_performance,task_performance_benchmark,False,True,True,combat_economy_performance,combat_economy_performance
17,total_damage_dealt_pm,Damage dealt,Damage dealt,combat_economy_performance,combat_economy_performance,task_performance_benchmark,False,True,True,combat_economy_performance,combat_economy_performance
18,vision_score_pm,Vision score,Vision score,shared_information_maintenance,vision_score_diagnostic,convergent_diagnostic,False,False,False,shared_information_maintenance,vision_score_diagnostic
