column,value,meaning
metric,all_in_pings_pm,All in
metric,assist_me_pings_pm,Assist me
metric,assists_pm,Assists
metric,command_pings_pm,Command/attention
metric,control_wards_bought_pm,Control ward purchases
metric,deaths_pm,Fewer deaths
metric,enemy_missing_pings_pm,Enemy missing
metric,enemy_vision_pings_pm,Enemy vision
metric,get_back_pings_pm,Get back
metric,gold_earned_pm,Gold
metric,kills_pm,Kills
metric,need_vision_pings_pm,Need vision
metric,on_my_way_pings_pm,On my way
metric,push_pings_pm,Push
metric,total_damage_dealt_pm,Damage
metric,vision_score_pm,Vision score
metric,wards_killed_pm,Ward clearing
metric,wards_placed_pm,Ward placement
region,EUW,Western Europe
region,KR,Korean server
region,NA,North America
measure,overall,Overall information investment
measure,maintenance,Shared-information maintenance
measure,signalling,Team signalling
level,BRONZE,BRONZE
level,DIAMOND,DIAMOND
level,EMERALD,EMERALD
level,GOLD,GOLD
level,IRON,IRON
level,PLATINUM,PLATINUM
level,SILVER,SILVER
measure,shared_information_maintenance,shared information maintenance
measure,team_signalling,team signalling
measure,get_back_pings_pm,Get back
measure,push_pings_pm,Push
measure,all_in_pings_pm,All in
level,BOTTOM,Bottom lane
level,JUNGLE,Jungle
level,MIDDLE,Mid lane
level,TOP,Top lane
level,UTILITY,Support
region,EUW1,Western European server
region,NA1,North American server
display_region,EUW,Western Europe
display_region,KR,Korean server
display_region,NA,North America
component,valid_wards_placed,Valid ward placements
specification,common_tier_patch_reference,common tier patch reference
component,valid_ward_kills,Valid ward clearing
component,control_ward_purchases,Control ward purchases
specification,linear_logit,linear logit
measure,enemy_missing_pings_pm,Enemy missing
measure,enemy_vision_pings_pm,Enemy vision
measure,command_pings_pm,Command/attention
measure,need_vision_pings_pm,Need vision
measure,assist_me_pings_pm,Assist me
measure,on_my_way_pings_pm,On my way
tier,BRONZE,Bronze
tier,DIAMOND,Diamond
tier,EMERALD,Emerald
tier,GOLD,Gold
tier,IRON,Iron
tier,PLATINUM,Platinum
tier,SILVER,Silver
model,logistic,logistic
specification,tier_BRONZE,Separate estimate within sampling tier Bronze
specification,tier_DIAMOND,Separate estimate within sampling tier Diamond
specification,tier_EMERALD,Separate estimate within sampling tier Emerald
specification,tier_GOLD,Separate estimate within sampling tier Gold
specification,tier_IRON,Separate estimate within sampling tier Iron
specification,tier_PLATINUM,Separate estimate within sampling tier Platinum
specification,tier_SILVER,Separate estimate within sampling tier Silver
outcome,first_post_neutral_blue,Blue acquisition of the first subsequent neutral objective
predictor,maintenance_diff_z,maintenance diff z
specification,three_components_simultaneously,three components simultaneously
predictor,control_ward_purchases_diff_z,control ward purchases diff z
predictor,valid_ward_kills_diff_z,valid ward kills diff z
predictor,valid_wards_placed_diff_z,valid wards placed diff z
specification,add_final_duration,add final duration
specification,all_ten_participants_disjoint,all ten participants disjoint
specification,coverage_inverse_probability_weighted,coverage inverse probability weighted
specification,first_legally_assigned_objective,first legally assigned objective
specification,omit_sampling_time_tier,omit sampling time tier
specification,purchase_net_of_undo,purchase net of undo
specification,region_tier_balanced_matches,region tier balanced matches
specification,strict_nominal_10min_earlier_state_frame,strict nominal 10min earlier state frame
specification,window_0_15,window 0 15
outcome,first_legal_post_neutral_blue,first legal post neutral blue
specification,patch_14.13,Separate estimate for patch 14.13
