file,column,definition,units,data_type,missing_values
main/figures/Figure1a.csv,metric,"Behavioural indicator key; see variables.csv. In validation gains this instead identifies AUC, log loss or Brier score.",Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1a.csv,wards_placed_pm,"Correlation with Ward placement, using the row indicator and the stated matrix specification.",Correlation,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1a.csv,wards_killed_pm,"Correlation with Ward clearing, using the row indicator and the stated matrix specification.",Correlation,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1a.csv,control_wards_bought_pm,"Correlation with Control ward purchases, using the row indicator and the stated matrix specification.",Correlation,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1a.csv,enemy_missing_pings_pm,"Correlation with Enemy missing, using the row indicator and the stated matrix specification.",Correlation,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1a.csv,enemy_vision_pings_pm,"Correlation with Enemy vision, using the row indicator and the stated matrix specification.",Correlation,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1a.csv,command_pings_pm,"Correlation with Command/attention, using the row indicator and the stated matrix specification.",Correlation,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1a.csv,need_vision_pings_pm,"Correlation with Need vision, using the row indicator and the stated matrix specification.",Correlation,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1a.csv,assist_me_pings_pm,"Correlation with Assist me, using the row indicator and the stated matrix specification.",Correlation,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1a.csv,on_my_way_pings_pm,"Correlation with On my way, using the row indicator and the stated matrix specification.",Correlation,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1a.csv,push_pings_pm,"Correlation with Push, using the row indicator and the stated matrix specification.",Correlation,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1a.csv,all_in_pings_pm,"Correlation with All in, using the row indicator and the stated matrix specification.",Correlation,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1a.csv,get_back_pings_pm,"Correlation with Get back, using the row indicator and the stated matrix specification.",Correlation,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1a.csv,assists_pm,"Correlation with Assists, using the row indicator and the stated matrix specification.",Correlation,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1a.csv,kills_pm,"Correlation with Kills, using the row indicator and the stated matrix specification.",Correlation,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1a.csv,deaths_pm,"Correlation with Fewer deaths, using the row indicator and the stated matrix specification.",Correlation,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1a.csv,gold_earned_pm,"Correlation with Gold, using the row indicator and the stated matrix specification.",Correlation,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1a.csv,total_damage_dealt_pm,"Correlation with Damage, using the row indicator and the stated matrix specification.",Correlation,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1a.csv,vision_score_pm,"Correlation with Vision score, using the row indicator and the stated matrix specification.",Correlation,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1b.csv,matrix,"Correlation specification identifying pooled, region-centered or regional data and Pearson or rank correlations.",Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1b.csv,relationship,Within- or between-indicator-group comparison.,Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1b.csv,n_pairs,Number of distinct indicator pairs summarized.,Indicator pairs,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1b.csv,mean_r,Mean signed correlation across the stated indicator pairs.,Correlation,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1b.csv,mean_abs_r,Mean absolute correlation across the stated indicator pairs.,Correlation,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1b.csv,median_r,Median signed correlation across the stated indicator pairs.,Correlation,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1b.csv,min_r,Minimum signed correlation across the stated indicator pairs.,Correlation,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1b.csv,max_r,Maximum signed correlation across the stated indicator pairs.,Correlation,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1b.csv,n_negative,Indicator pairs with negative signed correlations.,Indicator pairs,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1c.csv,test,Indicator-grouping comparison.,Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1c.csv,allocation,Assignment of behavioural indicator labels to groups; not a participant identifier.,Category,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1c.csv,statistic,Mean absolute within-group correlation minus mean absolute between-group correlation.,Correlation difference,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1c.csv,is_observed,Whether the label assignment is the grouping evaluated in the manuscript.,Boolean,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1c_observed.csv,matrix,"Correlation specification identifying pooled, region-centered or regional data and Pearson or rank correlations.",Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1c_observed.csv,test,Indicator-grouping comparison.,Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1c_observed.csv,statistic,Mean absolute within-group correlation minus mean absolute between-group correlation.,Correlation difference,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1c_observed.csv,n_allocations,Number of exact indicator-label assignments preserving group sizes.,Assignments,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1c_observed.csv,n_at_least_observed,Assignments whose statistic equals or exceeds the observed statistic.,Assignments,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1c_observed.csv,p_exact,"One-sided exact indicator-label-enumeration P value, including ties.",P value,Scientific-notation decimal text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1c_observed.csv,null_q025,2.5th percentile of the exact label-assignment distribution.,Correlation difference,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1c_observed.csv,null_q975,97.5th percentile of the exact label-assignment distribution.,Correlation difference,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1c_observed.csv,tail,Tail and treatment of ties in the exact enumeration.,Text,Text,Empty cell means unavailable or not applicable; NA is a region label.
