context,region,level,measure,estimate,ci_low,ci_high,se,n_records,n_players,unit
tier,NA,IRON,shared_information_maintenance,-0.6090901424529642,-0.6211928935577412,-0.5980636124265053,0.005816706492246149,119998,6000,adjusted score
tier,NA,BRONZE,shared_information_maintenance,-0.3450909686083534,-0.35511001496502553,-0.33503564447372275,0.005277353776106849,120000,6000,adjusted score
tier,NA,SILVER,shared_information_maintenance,-0.16237323675803117,-0.1716230615657533,-0.1530928851077739,0.004748266459365643,120000,6000,adjusted score
tier,NA,GOLD,shared_information_maintenance,-0.05975735044016505,-0.0685615789916463,-0.05097017485368682,0.004619993449104703,120000,6000,adjusted score
tier,NA,PLATINUM,shared_information_maintenance,0.021194735766588795,0.011710366845841685,0.03088031662962123,0.0049229897506453705,120000,6000,adjusted score
tier,NA,EMERALD,shared_information_maintenance,0.06754999821239555,0.057183611517386664,0.07701047949453024,0.004907517140576987,120000,6000,adjusted score
tier,NA,DIAMOND,shared_information_maintenance,0.11804117256463353,0.10801906813948509,0.1282957034324903,0.005129583138296912,120000,6000,adjusted score
tier,EUW,IRON,shared_information_maintenance,-0.6070112255445419,-0.6183806281116201,-0.5963735193511794,0.00582238939383647,119996,6000,adjusted score
tier,EUW,BRONZE,shared_information_maintenance,-0.3148232082184858,-0.32551645373146254,-0.303210980165451,0.005456362847017144,120000,6000,adjusted score
tier,EUW,SILVER,shared_information_maintenance,-0.10008201434558488,-0.11004341152908008,-0.08995773176364188,0.005061500411195517,120000,6000,adjusted score
tier,EUW,GOLD,shared_information_maintenance,0.004199285816055179,-0.005527999224752418,0.013882872113792506,0.0052303067427949225,120000,6000,adjusted score
tier,EUW,PLATINUM,shared_information_maintenance,0.059286725577180094,0.04831058878246907,0.07000500229641732,0.005201389982739236,120000,6000,adjusted score
tier,EUW,EMERALD,shared_information_maintenance,0.1115668917550316,0.10135648328987747,0.12279304600344179,0.005419166872796561,120000,6000,adjusted score
tier,EUW,DIAMOND,shared_information_maintenance,0.15052836822553312,0.1394183330909417,0.16144380729607344,0.005599904707380685,120000,6000,adjusted score
tier,KR,IRON,shared_information_maintenance,-0.46756893478496986,-0.47780286839946773,-0.4573017610738384,0.005386114896502872,120000,6000,adjusted score
tier,KR,BRONZE,shared_information_maintenance,-0.06720443318972774,-0.0767727454773922,-0.057368513295031114,0.005162774857396128,120000,6000,adjusted score
tier,KR,SILVER,shared_information_maintenance,0.171514301428401,0.16133954521976104,0.18251919845416828,0.005201024374833612,120000,6000,adjusted score
tier,KR,GOLD,shared_information_maintenance,0.3224624925657664,0.31165269980630134,0.3328017882111704,0.005377388493940874,120000,6000,adjusted score
tier,KR,PLATINUM,shared_information_maintenance,0.44035305196559005,0.42919675496290877,0.4511474329879722,0.005731794600705662,120000,6000,adjusted score
tier,KR,EMERALD,shared_information_maintenance,0.5432324731576201,0.5319049386032261,0.555245249154017,0.005897029712579943,120000,6000,adjusted score
tier,KR,DIAMOND,shared_information_maintenance,0.6807419788770874,0.6679227058730891,0.6925575720955788,0.006190818358665361,120000,6000,adjusted score
