context,region,level,measure,estimate,ci_low,ci_high,se,n_records,n_players,unit
tier,NA,IRON,team_signalling,-0.5562987509091639,-0.5702265673205151,-0.5415255845312246,0.007714585945640793,119998,6000,adjusted score
tier,NA,BRONZE,team_signalling,-0.3756842714541975,-0.3911061235138249,-0.358983631839851,0.008011290781712177,120000,6000,adjusted score
tier,NA,SILVER,team_signalling,-0.23905151132513858,-0.25385941361856496,-0.2226422203756739,0.008145223432573194,120000,6000,adjusted score
tier,NA,GOLD,team_signalling,-0.11982220472243449,-0.13688556749831202,-0.10205780235595502,0.008699300034087523,120000,6000,adjusted score
tier,NA,PLATINUM,team_signalling,0.010683412859571919,-0.007008180199479934,0.02690538677760201,0.009318030321298148,120000,6000,adjusted score
tier,NA,EMERALD,team_signalling,0.16082298367031722,0.1395604396232481,0.18174624116597732,0.010477286200869126,120000,6000,adjusted score
tier,NA,DIAMOND,team_signalling,0.3065180309337256,0.28580653422028085,0.32830387293541036,0.01123160803205519,120000,6000,adjusted score
tier,EUW,IRON,team_signalling,-0.41792932854121934,-0.43359602481910653,-0.401043901869779,0.008549026895537458,119996,6000,adjusted score
tier,EUW,BRONZE,team_signalling,-0.2169658362069417,-0.23297131072448513,-0.19966810910500296,0.008649089863811483,120000,6000,adjusted score
tier,EUW,SILVER,team_signalling,-0.09593775162557024,-0.11333609536367872,-0.0797751004051815,0.008827835433265178,120000,6000,adjusted score
tier,EUW,GOLD,team_signalling,0.016205252095135833,-0.0012168392726092823,0.03499141841808508,0.009456375554594526,120000,6000,adjusted score
tier,EUW,PLATINUM,team_signalling,0.10116833528106267,0.08225734386060155,0.12133832071697798,0.01020597508252483,120000,6000,adjusted score
tier,EUW,EMERALD,team_signalling,0.23598789401370507,0.21279849553294827,0.25644423424705626,0.010733768261292772,120000,6000,adjusted score
tier,EUW,DIAMOND,team_signalling,0.430421663153082,0.40664198828270215,0.4528546747202608,0.011950300954188404,120000,6000,adjusted score
tier,KR,IRON,team_signalling,-0.18132156569539484,-0.19871975335684067,-0.16327988751375233,0.009128967307219826,120000,6000,adjusted score
tier,KR,BRONZE,team_signalling,-0.03869129640470471,-0.0549082287645511,-0.022303370589816043,0.008265283225969493,120000,6000,adjusted score
tier,KR,SILVER,team_signalling,0.06517638825766188,0.04804475359320486,0.08101626455627971,0.008433055395035664,120000,6000,adjusted score
tier,KR,GOLD,team_signalling,0.13020622929554068,0.11334286016518094,0.1450927941308845,0.008668347863803582,120000,6000,adjusted score
tier,KR,PLATINUM,team_signalling,0.2084471822417111,0.19049551443999585,0.22761968390459528,0.009262518612681141,120000,6000,adjusted score
tier,KR,EMERALD,team_signalling,0.2992382422839498,0.2800230649831261,0.3191243366199143,0.009834389041947628,120000,6000,adjusted score
tier,KR,DIAMOND,team_signalling,0.40719718466312005,0.386225370937604,0.42751467350223793,0.010478522059908938,120000,6000,adjusted score
