context,region,level,measure,estimate,ci_low,ci_high,se,n_records,n_players,unit
tier,NA,IRON,push_pings_pm,0.044889630725902976,0.041663038513535464,0.04830482410535216,0.0017495373327796745,119998,6000,events per player per 10 min
tier,NA,BRONZE,push_pings_pm,0.055968734705154684,0.052516047885698365,0.05954683857596868,0.0017293806591466953,120000,6000,events per player per 10 min
tier,NA,SILVER,push_pings_pm,0.056602098706453885,0.05343984548780487,0.05976002777686829,0.0016821337451612772,120000,6000,events per player per 10 min
tier,NA,GOLD,push_pings_pm,0.06641838284765918,0.06254822248427018,0.07083095381531133,0.002169843797619785,120000,6000,events per player per 10 min
tier,NA,PLATINUM,push_pings_pm,0.07701411613318347,0.07240194592182521,0.08138400033794968,0.002359635722562269,120000,6000,events per player per 10 min
tier,NA,EMERALD,push_pings_pm,0.09750626428266844,0.09220310688259492,0.10378227869266789,0.002960676648473148,120000,6000,events per player per 10 min
tier,NA,DIAMOND,push_pings_pm,0.1159488683008191,0.11070626163084804,0.12221054015918267,0.0031554565323786607,120000,6000,events per player per 10 min
tier,EUW,IRON,push_pings_pm,0.05953111740717823,0.05575121245632239,0.0636969488519641,0.001988756023001523,119996,6000,events per player per 10 min
tier,EUW,BRONZE,push_pings_pm,0.0694162650382691,0.06598480034361758,0.07295245601217173,0.0017320368316133125,120000,6000,events per player per 10 min
tier,EUW,SILVER,push_pings_pm,0.0744791807914943,0.07049014147101061,0.07875298146893832,0.0020711250335052342,120000,6000,events per player per 10 min
tier,EUW,GOLD,push_pings_pm,0.08402649000473282,0.07946857050964301,0.08933274751161871,0.0024227566342881267,120000,6000,events per player per 10 min
tier,EUW,PLATINUM,push_pings_pm,0.10331942254156427,0.09740291450778685,0.11018475199321841,0.003529390255503015,120000,6000,events per player per 10 min
tier,EUW,EMERALD,push_pings_pm,0.1332550586567741,0.12575241138685408,0.1401201111074678,0.003771665440222434,120000,6000,events per player per 10 min
tier,EUW,DIAMOND,push_pings_pm,0.17659584095532677,0.16729540320830066,0.1866574860391362,0.004675595773855277,120000,6000,events per player per 10 min
tier,KR,IRON,push_pings_pm,0.05000148875880495,0.04723102290825955,0.05320997108038862,0.00153748023352198,120000,6000,events per player per 10 min
tier,KR,BRONZE,push_pings_pm,0.04409230615013847,0.042102601834120776,0.046102553538926616,0.0010001931297766206,120000,6000,events per player per 10 min
tier,KR,SILVER,push_pings_pm,0.03993550744606854,0.03817378927116371,0.04161802053208207,0.0008886804448920743,120000,6000,events per player per 10 min
tier,KR,GOLD,push_pings_pm,0.035181732908375216,0.03369158583216536,0.036704656441976215,0.0007751100419953313,120000,6000,events per player per 10 min
tier,KR,PLATINUM,push_pings_pm,0.036151387992177514,0.03450841838786709,0.037758774071768975,0.0008328109033056175,120000,6000,events per player per 10 min
tier,KR,EMERALD,push_pings_pm,0.038326308954674454,0.036495937185396024,0.04026044269221214,0.000976690924958113,120000,6000,events per player per 10 min
tier,KR,DIAMOND,push_pings_pm,0.04159238510387736,0.03951397869870207,0.0436361785422731,0.001021284230319611,120000,6000,events per player per 10 min
