context,region,level,measure,estimate,ci_low,ci_high,se,n_records,n_players,unit
tier,NA,IRON,all_in_pings_pm,0.1153628713762143,0.1056987188991543,0.12619245542508595,0.005287715346059514,119998,6000,events per player per 10 min
tier,NA,BRONZE,all_in_pings_pm,0.10810242508192673,0.10052239745109577,0.11595725739784149,0.0041268628636821555,120000,6000,events per player per 10 min
tier,NA,SILVER,all_in_pings_pm,0.10864935032827518,0.10131839096080007,0.1160729205906212,0.003924213410036207,120000,6000,events per player per 10 min
tier,NA,GOLD,all_in_pings_pm,0.11971778305200129,0.11152341520552057,0.12856599866275337,0.004280768988102061,120000,6000,events per player per 10 min
tier,NA,PLATINUM,all_in_pings_pm,0.13755692213700862,0.1284406404849616,0.14709583852505123,0.004701418776507195,120000,6000,events per player per 10 min
tier,NA,EMERALD,all_in_pings_pm,0.1850242556498042,0.17315509883548455,0.19654372761564,0.0062564634277064,120000,6000,events per player per 10 min
tier,NA,DIAMOND,all_in_pings_pm,0.2409715813485202,0.22566628288844917,0.2567045850586975,0.00781061005557689,120000,6000,events per player per 10 min
tier,EUW,IRON,all_in_pings_pm,0.14083108981752263,0.13170293288510776,0.15086703561299517,0.004986625849296013,119996,6000,events per player per 10 min
tier,EUW,BRONZE,all_in_pings_pm,0.13106095155209113,0.1229413237395855,0.13897765267881187,0.004186289749564139,120000,6000,events per player per 10 min
tier,EUW,SILVER,all_in_pings_pm,0.11915863169753636,0.11187739907264514,0.12599853105810851,0.003695427748654364,120000,6000,events per player per 10 min
tier,EUW,GOLD,all_in_pings_pm,0.14049779950940808,0.13129038975015841,0.15111044361568532,0.004865377148878236,120000,6000,events per player per 10 min
tier,EUW,PLATINUM,all_in_pings_pm,0.16581059668649392,0.1544874743070749,0.17720750035133065,0.005886264275637553,120000,6000,events per player per 10 min
tier,EUW,EMERALD,all_in_pings_pm,0.205296453522139,0.19227421806546383,0.21809681368456374,0.006665857234063376,120000,6000,events per player per 10 min
tier,EUW,DIAMOND,all_in_pings_pm,0.27541941725477226,0.2583647214754066,0.2908520444990167,0.008563900644094014,120000,6000,events per player per 10 min
tier,KR,IRON,all_in_pings_pm,0.11987664961984926,0.11355102853776386,0.12626574381449548,0.0031971146521894054,120000,6000,events per player per 10 min
tier,KR,BRONZE,all_in_pings_pm,0.09730860272870477,0.0916751439926924,0.10361531379794095,0.003104542677694825,120000,6000,events per player per 10 min
tier,KR,SILVER,all_in_pings_pm,0.09163454368340793,0.08538740310683021,0.09798039839604858,0.003391758968574039,120000,6000,events per player per 10 min
tier,KR,GOLD,all_in_pings_pm,0.08775590245412399,0.0827446630660498,0.09278895780061719,0.0026307207920323273,120000,6000,events per player per 10 min
tier,KR,PLATINUM,all_in_pings_pm,0.09996145843989158,0.09291338485908687,0.10849234239917845,0.003855633754595631,120000,6000,events per player per 10 min
tier,KR,EMERALD,all_in_pings_pm,0.11192581238560043,0.10441495933971094,0.12022662404153366,0.0038298302459205073,120000,6000,events per player per 10 min
tier,KR,DIAMOND,all_in_pings_pm,0.12533209162636544,0.11802396641611498,0.132801408572209,0.0038405062974880846,120000,6000,events per player per 10 min
