context,region,level,measure,estimate,ci_low,ci_high,se,n_records,n_players,unit
position,NA,TOP,team_signalling,-0.35567446487406423,-0.36517415763216676,-0.3457456010773364,0.005092914005075179,176512,23441,adjusted score
position,NA,JUNGLE,team_signalling,0.268298658554079,0.2514403870630389,0.28487775930124354,0.008525047092322881,161457,21371,adjusted score
position,NA,MIDDLE,team_signalling,-0.08181064591890193,-0.09276022837672027,-0.0703461417494638,0.005952084437635829,171199,24327,adjusted score
position,NA,BOTTOM,team_signalling,-0.26501543572323777,-0.27697851578679394,-0.25356412145838464,0.006140575866020211,158908,21835,adjusted score
position,NA,UTILITY,team_signalling,-0.14949069488319458,-0.16135368281136658,-0.13650991808108498,0.00666829249385454,171922,22076,adjusted score
position,EUW,TOP,team_signalling,-0.25456864160699244,-0.2651490294113358,-0.24445010186956578,0.005523627307953732,170865,23938,adjusted score
position,EUW,JUNGLE,team_signalling,0.42273536978846266,0.4054092307602658,0.44034241529818857,0.009220084643674598,154248,20177,adjusted score
position,EUW,MIDDLE,team_signalling,0.028409784124475635,0.015039305548239068,0.041032519052062316,0.006440154733578588,168988,23035,adjusted score
position,EUW,BOTTOM,team_signalling,-0.16439328223827296,-0.17733565502686888,-0.15172807694519513,0.006580602943088025,166198,21428,adjusted score
position,EUW,UTILITY,team_signalling,0.0055358454797962,-0.008600987946403406,0.01994720934919694,0.007347381593878585,179697,22246,adjusted score
position,KR,TOP,team_signalling,-0.22120754025718437,-0.23064416041954003,-0.21165448220568298,0.004761829625719076,179477,26015,adjusted score
position,KR,JUNGLE,team_signalling,0.562745517746992,0.5469876888971722,0.5786602305516677,0.008086410199652441,159559,23792,adjusted score
position,KR,MIDDLE,team_signalling,0.15256772889340056,0.14179238950557532,0.16367016121588754,0.005663409807897195,177757,27189,adjusted score
position,KR,BOTTOM,team_signalling,0.0039225360081651395,-0.008588049761472137,0.015357377865360823,0.006109009751759043,162779,23388,adjusted score
position,KR,UTILITY,team_signalling,0.1449404147717345,0.1316065404174421,0.15840401567903853,0.006741826476381371,160428,29180,adjusted score
