region,display_region,component,minute,time_midpoint,mean_rate,se,ci_low,ci_high,n_matches,n_teams,unit,specification,interval_method
NA1,NA,valid_ward_kills,1,0.5,0.020668489019532634,0.00012771337579887244,0.020418170802966845,0.020918807236098423,703308,1406616,events per team per minute,common_tier_patch_reference,Fixed-reference poststratification; within-cell match-cluster covariance; normal pointwise 95% CI
NA1,NA,valid_ward_kills,2,1.5,0.01926164460237552,0.00012687923017720414,0.019012961311228198,0.01951032789352284,703308,1406616,events per team per minute,common_tier_patch_reference,Fixed-reference poststratification; within-cell match-cluster covariance; normal pointwise 95% CI
NA1,NA,valid_ward_kills,3,2.5,0.014884477972625942,0.00010834267506854977,0.014672126329491584,0.0150968296157603,703308,1406616,events per team per minute,common_tier_patch_reference,Fixed-reference poststratification; within-cell match-cluster covariance; normal pointwise 95% CI
NA1,NA,valid_ward_kills,4,3.5,0.055368088239693816,0.00021183846496842496,0.054952884848355706,0.05578329163103193,703308,1406616,events per team per minute,common_tier_patch_reference,Fixed-reference poststratification; within-cell match-cluster covariance; normal pointwise 95% CI
NA1,NA,valid_ward_kills,5,4.5,0.10675312987609156,0.0002986203499331403,0.1061678339902226,0.10733842576196052,703308,1406616,events per team per minute,common_tier_patch_reference,Fixed-reference poststratification; within-cell match-cluster covariance; normal pointwise 95% CI
NA1,NA,valid_ward_kills,6,5.5,0.1640841596323431,0.00036585327863608363,0.16336708720621637,0.16480123205846983,703308,1406616,events per team per minute,common_tier_patch_reference,Fixed-reference poststratification; within-cell match-cluster covariance; normal pointwise 95% CI
NA1,NA,valid_ward_kills,7,6.5,0.21168864660834016,0.00041347259043117337,0.21087824033109506,0.21249905288558527,703308,1406616,events per team per minute,common_tier_patch_reference,Fixed-reference poststratification; within-cell match-cluster covariance; normal pointwise 95% CI
NA1,NA,valid_ward_kills,8,7.5,0.26556761065188395,0.00047240553538271853,0.2646416958025338,0.26649352550123406,703308,1406616,events per team per minute,common_tier_patch_reference,Fixed-reference poststratification; within-cell match-cluster covariance; normal pointwise 95% CI
NA1,NA,valid_ward_kills,9,8.5,0.3240515098845947,0.0005296091140644419,0.32301347602102837,0.325089543748161,703308,1406616,events per team per minute,common_tier_patch_reference,Fixed-reference poststratification; within-cell match-cluster covariance; normal pointwise 95% CI
NA1,NA,valid_ward_kills,10,9.5,0.3868607726732565,0.0005866716313987459,0.385710896275715,0.3880106490707981,703308,1406616,events per team per minute,common_tier_patch_reference,Fixed-reference poststratification; within-cell match-cluster covariance; normal pointwise 95% CI
EUW1,EUW,valid_ward_kills,1,0.5,0.019607072480398023,0.00011766086670255981,0.019376457181661005,0.01983768777913504,757420,1514840,events per team per minute,common_tier_patch_reference,Fixed-reference poststratification; within-cell match-cluster covariance; normal pointwise 95% CI
