region,display_region,component,minute,time_midpoint,mean_rate,se,ci_low,ci_high,n_matches,n_teams,unit,specification,interval_method
NA1,NA,control_ward_purchases,1,0.5,0.05506230741867324,0.0001955726111267436,0.05467898510086482,0.05544562973648166,703308,1406616,events per team per minute,common_tier_patch_reference,Fixed-reference poststratification; within-cell match-cluster covariance; normal pointwise 95% CI
NA1,NA,control_ward_purchases,2,1.5,0.020623044148427843,0.00013128233132032936,0.020365730779039998,0.02088035751781569,703308,1406616,events per team per minute,common_tier_patch_reference,Fixed-reference poststratification; within-cell match-cluster covariance; normal pointwise 95% CI
NA1,NA,control_ward_purchases,3,2.5,0.10323805336603158,0.000293349767902091,0.10266308782094348,0.10381301891111967,703308,1406616,events per team per minute,common_tier_patch_reference,Fixed-reference poststratification; within-cell match-cluster covariance; normal pointwise 95% CI
NA1,NA,control_ward_purchases,4,3.5,0.2409045796372245,0.0004344043268930598,0.2400531471565141,0.2417560121179349,703308,1406616,events per team per minute,common_tier_patch_reference,Fixed-reference poststratification; within-cell match-cluster covariance; normal pointwise 95% CI
NA1,NA,control_ward_purchases,5,4.5,0.2943478782600922,0.000479053108667739,0.2934089341671034,0.29528682235308096,703308,1406616,events per team per minute,common_tier_patch_reference,Fixed-reference poststratification; within-cell match-cluster covariance; normal pointwise 95% CI
NA1,NA,control_ward_purchases,6,5.5,0.25160919947500476,0.0004478743632118156,0.2507313657231096,0.2524870332268999,703308,1406616,events per team per minute,common_tier_patch_reference,Fixed-reference poststratification; within-cell match-cluster covariance; normal pointwise 95% CI
NA1,NA,control_ward_purchases,7,6.5,0.25300462350368125,0.00044788826065560465,0.25212676251279625,0.25388248449456624,703308,1406616,events per team per minute,common_tier_patch_reference,Fixed-reference poststratification; within-cell match-cluster covariance; normal pointwise 95% CI
NA1,NA,control_ward_purchases,8,7.5,0.24866261424139285,0.000446584318418204,0.24778730897729317,0.24953791950549253,703308,1406616,events per team per minute,common_tier_patch_reference,Fixed-reference poststratification; within-cell match-cluster covariance; normal pointwise 95% CI
NA1,NA,control_ward_purchases,9,8.5,0.2328025514501988,0.00043383088434841406,0.2319522429168759,0.23365285998352167,703308,1406616,events per team per minute,common_tier_patch_reference,Fixed-reference poststratification; within-cell match-cluster covariance; normal pointwise 95% CI
NA1,NA,control_ward_purchases,10,9.5,0.2483842140955479,0.00044675273190489067,0.2475085787410143,0.24925984945008148,703308,1406616,events per team per minute,common_tier_patch_reference,Fixed-reference poststratification; within-cell match-cluster covariance; normal pointwise 95% CI
EUW1,EUW,control_ward_purchases,1,0.5,0.04382205557275395,0.0001686647869163508,0.0434914725903979,0.044152638555109994,757420,1514840,events per team per minute,common_tier_patch_reference,Fixed-reference poststratification; within-cell match-cluster covariance; normal pointwise 95% CI
