region,display_region,maintenance_difference_sd,model_predictor_z,probability,ci_low,ci_high,se,n_model_matches,n_reference_matches,method,specification
NA1,NA,-2.0,-1.9576089465939226,0.45322161652323156,0.45085071626939477,0.45559251677706836,0.001209642986651418,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-1.95,-1.9076089465939225,0.4541621654743653,0.4518380020915971,0.45648632885713347,0.0011857976442694747,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-1.9,-1.8576089465939225,0.4551030107015447,0.45282535574221716,0.4573806656608722,0.0011620688567997525,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-1.85,-1.8076089465939227,0.45604414615982325,0.45381275266026805,0.45827553965937845,0.0011384660712016363,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-1.8,-1.7576089465939226,0.4569855657976292,0.45480016688443226,0.4591709647108262,0.0011149994455086482,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-1.75,-1.7076089465939226,0.45792726355690894,0.45578757092699823,0.46006695618681964,0.0010916799132197489,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-1.7,-1.6576089465939225,0.45886923337325775,0.4567749356360571,0.4609635311104584,0.0010685192536737903,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-1.65,-1.6076089465939225,0.45981146917606036,0.4577622300450229,0.4618607083070978,0.0010455301688966643,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-1.6,-1.5576089465939227,0.46075396488862896,0.4587494212089265,0.46275850856833145,0.001022726367195152,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-1.55,-1.5076089465939226,0.46169671442834304,0.45973647402633644,0.46365695483034963,0.0010001226540849986,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-1.5,-1.4576089465939226,0.4626397117067767,0.46072335104654377,0.46455607236700963,0.000977735030731084,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-1.45,-1.4076089465939225,0.4635829506298646,0.46171001226153546,0.46545588899819373,0.0009555808001679391,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-1.4,-1.3576089465939225,0.464526425098005,0.4626964148824954,0.4663564353135146,0.0009336786813824414,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-1.35,-1.3076089465939227,0.46547012900623,0.4636825131013371,0.46725774491112293,0.0009120489310678028,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-1.2999999999999998,-1.2576089465939224,0.46641405624433147,0.46466825783798266,0.4681598546506803,0.0008907134726269358,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-1.25,-1.2076089465939226,0.4673582006969945,0.46565359647512006,0.469062804918869,0.0008696960315686076,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-1.2,-1.1576089465939225,0.46830255624395634,0.466638472583198,0.46996663990471466,0.0008490222758970893,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-1.15,-1.1076089465939225,0.46924711676012854,0.46762282563965907,0.470871407880598,0.0008287199594231865,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-1.1,-1.0576089465939227,0.4701918761157474,0.4686065907482887,0.47177716148320614,0.0008088190650299467,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-1.0499999999999998,-1.0076089465939224,0.47113682817650926,0.46958969836642306,0.47268395798659546,0.0007893519439215411,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-1.0,-0.9576089465939225,0.4720819668037157,0.47057207405068197,0.4735918595567495,0.0007703534454253883,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-0.95,-0.9076089465939224,0.4730272858544126,0.47155363823469604,0.4745009334741292,0.0007518610304676333,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-0.8999999999999999,-0.8576089465939224,0.4739727791815338,0.4725343060560786,0.475411252306989,0.0007339148599261193,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-0.8499999999999999,-0.8076089465939223,0.4749184406340349,0.47351398725356564,0.4763228940145041,0.000716557847178183,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-0.7999999999999998,-0.7576089465939223,0.47586426405704874,0.47449258615992845,0.477235941954169,0.0006998356617960502,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-0.75,-0.7076089465939225,0.4768102432920107,0.47547000181967713,0.4781504847643443,0.0006837966695579441,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-0.7,-0.6576089465939224,0.4777563721768145,0.4764461282652507,0.4790666160883783,0.0006684917916141978,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-0.6499999999999999,-0.6076089465939224,0.4787026445459427,0.47742085498671544,0.47998443410516994,0.0006539742649118622,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-0.5999999999999999,-0.5576089465939223,0.47964905423061804,0.4783940676315335,0.48090404082970256,0.0006402992852471987,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-0.5499999999999998,-0.5076089465939223,0.4805955950589512,0.4793656489675256,0.48182554115037685,0.0006275235160334853,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-0.5,-0.4576089465939225,0.48154226085605734,0.4803354801361525,0.48274904157596216,0.0006157044489310224,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-0.44999999999999996,-0.40760894659392244,0.48248904544422994,0.4813034422110652,0.4836746486773947,0.0006048996087575113,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-0.3999999999999999,-0.3576089465939224,0.48343594264306833,0.4822694180589702,0.48460246722716643,0.0005951656041316867,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-0.34999999999999987,-0.30760894659392235,0.4843829462696119,0.4832332944766838,0.48553259806254007,0.0005865570372082434,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
