display_item,file,description,units,caption
Figure 1a,main/figures/Figure1a.csv,Pooled indicator correlation matrix,Pearson r,"Fig. 1 Correlations among behavioural indicators and comparisons of groupings. The analysis included 126,000 players, with 42,000 each on the North American (NA), Western European (EUW) and Korean (KR) servers and 20 matches per player. Each indicator was adjusted for sampling tier, team position, game patch and match duration, then averaged across each player’s 20 matches. a, Pearson correlations after removal of regional means. Circle area is proportional to |r|, and colour indicates the signed correlation coefficient; negative correlations are additionally outlined. Indicators 1–3 represent maintenance, 4–12 team signalling, 13–17 performance references and 18 the vision-score diagnostic. ‘Fewer deaths’ denotes the reverse-scored death indicator. b, Mean absolute Pearson correlations within maintenance (M), within signalling (S) and between M and S in each region. Each point summarizes 3, 36 or 27 indicator pairs, respectively. c, Comparison of the observed groupings with other possible groupings. The horizontal axis shows the difference between within-group and between-group mean absolute correlations, Δ, with equal weights assigned to all indicator pairs. Black diamonds indicate the observed groupings, and grey distributions show the results for all possible assignments that preserve the number of indicators in each group. The maintenance and signalling groups contain three and nine indicators, respectively, giving 220 possible assignments. The three functional signalling groups contain three, two and four indicators, giving 1,260 possible assignments. Each grey distribution is scaled to its maximum frequency. P values are from one-sided exact label-permutation tests, with Holm adjustment across the two tests."
Figure 1b,main/figures/Figure1b.csv,Within- and between-process correlations by region,Pearson r,"Fig. 1 Correlations among behavioural indicators and comparisons of groupings. The analysis included 126,000 players, with 42,000 each on the North American (NA), Western European (EUW) and Korean (KR) servers and 20 matches per player. Each indicator was adjusted for sampling tier, team position, game patch and match duration, then averaged across each player’s 20 matches. a, Pearson correlations after removal of regional means. Circle area is proportional to |r|, and colour indicates the signed correlation coefficient; negative correlations are additionally outlined. Indicators 1–3 represent maintenance, 4–12 team signalling, 13–17 performance references and 18 the vision-score diagnostic. ‘Fewer deaths’ denotes the reverse-scored death indicator. b, Mean absolute Pearson correlations within maintenance (M), within signalling (S) and between M and S in each region. Each point summarizes 3, 36 or 27 indicator pairs, respectively. c, Comparison of the observed groupings with other possible groupings. The horizontal axis shows the difference between within-group and between-group mean absolute correlations, Δ, with equal weights assigned to all indicator pairs. Black diamonds indicate the observed groupings, and grey distributions show the results for all possible assignments that preserve the number of indicators in each group. The maintenance and signalling groups contain three and nine indicators, respectively, giving 220 possible assignments. The three functional signalling groups contain three, two and four indicators, giving 1,260 possible assignments. Each grey distribution is scaled to its maximum frequency. P values are from one-sided exact label-permutation tests, with Holm adjustment across the two tests."
Figure 1c,main/figures/Figure1c.csv,Exact distributions over indicator-group assignments,Difference in mean absolute Pearson r,"Fig. 1 Correlations among behavioural indicators and comparisons of groupings. The analysis included 126,000 players, with 42,000 each on the North American (NA), Western European (EUW) and Korean (KR) servers and 20 matches per player. Each indicator was adjusted for sampling tier, team position, game patch and match duration, then averaged across each player’s 20 matches. a, Pearson correlations after removal of regional means. Circle area is proportional to |r|, and colour indicates the signed correlation coefficient; negative correlations are additionally outlined. Indicators 1–3 represent maintenance, 4–12 team signalling, 13–17 performance references and 18 the vision-score diagnostic. ‘Fewer deaths’ denotes the reverse-scored death indicator. b, Mean absolute Pearson correlations within maintenance (M), within signalling (S) and between M and S in each region. Each point summarizes 3, 36 or 27 indicator pairs, respectively. c, Comparison of the observed groupings with other possible groupings. The horizontal axis shows the difference between within-group and between-group mean absolute correlations, Δ, with equal weights assigned to all indicator pairs. Black diamonds indicate the observed groupings, and grey distributions show the results for all possible assignments that preserve the number of indicators in each group. The maintenance and signalling groups contain three and nine indicators, respectively, giving 220 possible assignments. The three functional signalling groups contain three, two and four indicators, giving 1,260 possible assignments. Each grey distribution is scaled to its maximum frequency. P values are from one-sided exact label-permutation tests, with Holm adjustment across the two tests."
Figure 1c,main/figures/Figure1c_observed.csv,Observed grouping contrasts and exact tests,Difference in mean absolute Pearson r; P value,"Fig. 1 Correlations among behavioural indicators and comparisons of groupings. The analysis included 126,000 players, with 42,000 each on the North American (NA), Western European (EUW) and Korean (KR) servers and 20 matches per player. Each indicator was adjusted for sampling tier, team position, game patch and match duration, then averaged across each player’s 20 matches. a, Pearson correlations after removal of regional means. Circle area is proportional to |r|, and colour indicates the signed correlation coefficient; negative correlations are additionally outlined. Indicators 1–3 represent maintenance, 4–12 team signalling, 13–17 performance references and 18 the vision-score diagnostic. ‘Fewer deaths’ denotes the reverse-scored death indicator. b, Mean absolute Pearson correlations within maintenance (M), within signalling (S) and between M and S in each region. Each point summarizes 3, 36 or 27 indicator pairs, respectively. c, Comparison of the observed groupings with other possible groupings. The horizontal axis shows the difference between within-group and between-group mean absolute correlations, Δ, with equal weights assigned to all indicator pairs. Black diamonds indicate the observed groupings, and grey distributions show the results for all possible assignments that preserve the number of indicators in each group. The maintenance and signalling groups contain three and nine indicators, respectively, giving 220 possible assignments. The three functional signalling groups contain three, two and four indicators, giving 1,260 possible assignments. Each grey distribution is scaled to its maximum frequency. P values are from one-sided exact label-permutation tests, with Holm adjustment across the two tests."
Figure 2a,main/figures/Figure2a_density.csv,Overall-score density coordinates and histogram counts,Score units; players; inverse score units,"Fig. 2 Regional patterns of overall information investment and individual pings. The sample included 126,000 players (42,000 per region), 2,519,994 player–match records and 2,240,349 unique matches. a, Player-level distributions of the overall score. Densities were estimated using all players and a common bandwidth. Boxes span the 25th–75th percentiles, central lines mark the 50th percentile and whiskers span the 5th–95th percentiles. Symbols show regional adjusted means with 95% confidence intervals. The displayed range includes 99.74%–99.83% of players in each region; full distributions are shown in Supplementary Fig. 2. b, Adjusted means and 95% confidence intervals for maintenance and signalling. c, Adjusted means and 95% confidence intervals for the nine ping types. In a–c, 95% confidence intervals for adjusted means were estimated from 1,000 player-level resamples stratified by region and tier. Estimates for each resample were calculated using a first-order approximation; see Methods for details. d, Proportion of player–match records in which each ping was used at least once. Circle area is proportional to this proportion, and numbers indicate percentages. e, Mean number of pings per 10 min among player–match records containing the corresponding ping, with 95% confidence intervals calculated using the delta method with clustering by player. Panels d and e show unadjusted occurrence proportions and conditional frequencies, respectively; panels c–e use the same ordering of ping types. NA, EUW and KR are shown in purple, grey and vermilion, respectively, with diamonds, squares and circles additionally distinguishing their point estimates. Some intervals are narrower than the symbols. The 12 comparisons involving the overall score and the two processes and the 27 comparisons of individual ping types were assessed using two-sided Wald tests, with Holm adjustment applied separately to each family (Table 1 and Supplementary Tables 4 and 6)."
Figure 2a,main/figures/Figure2a_means.csv,Overall-score adjusted regional means,Overall score units,"Fig. 2 Regional patterns of overall information investment and individual pings. The sample included 126,000 players (42,000 per region), 2,519,994 player–match records and 2,240,349 unique matches. a, Player-level distributions of the overall score. Densities were estimated using all players and a common bandwidth. Boxes span the 25th–75th percentiles, central lines mark the 50th percentile and whiskers span the 5th–95th percentiles. Symbols show regional adjusted means with 95% confidence intervals. The displayed range includes 99.74%–99.83% of players in each region; full distributions are shown in Supplementary Fig. 2. b, Adjusted means and 95% confidence intervals for maintenance and signalling. c, Adjusted means and 95% confidence intervals for the nine ping types. In a–c, 95% confidence intervals for adjusted means were estimated from 1,000 player-level resamples stratified by region and tier. Estimates for each resample were calculated using a first-order approximation; see Methods for details. d, Proportion of player–match records in which each ping was used at least once. Circle area is proportional to this proportion, and numbers indicate percentages. e, Mean number of pings per 10 min among player–match records containing the corresponding ping, with 95% confidence intervals calculated using the delta method with clustering by player. Panels d and e show unadjusted occurrence proportions and conditional frequencies, respectively; panels c–e use the same ordering of ping types. NA, EUW and KR are shown in purple, grey and vermilion, respectively, with diamonds, squares and circles additionally distinguishing their point estimates. Some intervals are narrower than the symbols. The 12 comparisons involving the overall score and the two processes and the 27 comparisons of individual ping types were assessed using two-sided Wald tests, with Holm adjustment applied separately to each family (Table 1 and Supplementary Tables 4 and 6)."
Figure 2a,main/figures/Figure2a_quantiles.csv,Overall-score distribution summaries,Overall score units,"Fig. 2 Regional patterns of overall information investment and individual pings. The sample included 126,000 players (42,000 per region), 2,519,994 player–match records and 2,240,349 unique matches. a, Player-level distributions of the overall score. Densities were estimated using all players and a common bandwidth. Boxes span the 25th–75th percentiles, central lines mark the 50th percentile and whiskers span the 5th–95th percentiles. Symbols show regional adjusted means with 95% confidence intervals. The displayed range includes 99.74%–99.83% of players in each region; full distributions are shown in Supplementary Fig. 2. b, Adjusted means and 95% confidence intervals for maintenance and signalling. c, Adjusted means and 95% confidence intervals for the nine ping types. In a–c, 95% confidence intervals for adjusted means were estimated from 1,000 player-level resamples stratified by region and tier. Estimates for each resample were calculated using a first-order approximation; see Methods for details. d, Proportion of player–match records in which each ping was used at least once. Circle area is proportional to this proportion, and numbers indicate percentages. e, Mean number of pings per 10 min among player–match records containing the corresponding ping, with 95% confidence intervals calculated using the delta method with clustering by player. Panels d and e show unadjusted occurrence proportions and conditional frequencies, respectively; panels c–e use the same ordering of ping types. NA, EUW and KR are shown in purple, grey and vermilion, respectively, with diamonds, squares and circles additionally distinguishing their point estimates. Some intervals are narrower than the symbols. The 12 comparisons involving the overall score and the two processes and the 27 comparisons of individual ping types were assessed using two-sided Wald tests, with Holm adjustment applied separately to each family (Table 1 and Supplementary Tables 4 and 6)."
Figure 2b,main/figures/Figure2b.csv,Adjusted maintenance and signalling means,Full-sample standardized process score,"Fig. 2 Regional patterns of overall information investment and individual pings. The sample included 126,000 players (42,000 per region), 2,519,994 player–match records and 2,240,349 unique matches. a, Player-level distributions of the overall score. Densities were estimated using all players and a common bandwidth. Boxes span the 25th–75th percentiles, central lines mark the 50th percentile and whiskers span the 5th–95th percentiles. Symbols show regional adjusted means with 95% confidence intervals. The displayed range includes 99.74%–99.83% of players in each region; full distributions are shown in Supplementary Fig. 2. b, Adjusted means and 95% confidence intervals for maintenance and signalling. c, Adjusted means and 95% confidence intervals for the nine ping types. In a–c, 95% confidence intervals for adjusted means were estimated from 1,000 player-level resamples stratified by region and tier. Estimates for each resample were calculated using a first-order approximation; see Methods for details. d, Proportion of player–match records in which each ping was used at least once. Circle area is proportional to this proportion, and numbers indicate percentages. e, Mean number of pings per 10 min among player–match records containing the corresponding ping, with 95% confidence intervals calculated using the delta method with clustering by player. Panels d and e show unadjusted occurrence proportions and conditional frequencies, respectively; panels c–e use the same ordering of ping types. NA, EUW and KR are shown in purple, grey and vermilion, respectively, with diamonds, squares and circles additionally distinguishing their point estimates. Some intervals are narrower than the symbols. The 12 comparisons involving the overall score and the two processes and the 27 comparisons of individual ping types were assessed using two-sided Wald tests, with Holm adjustment applied separately to each family (Table 1 and Supplementary Tables 4 and 6)."
Figure 2c,main/figures/Figure2c.csv,Adjusted means for nine ping indicators,Full-sample standardized indicator score,"Fig. 2 Regional patterns of overall information investment and individual pings. The sample included 126,000 players (42,000 per region), 2,519,994 player–match records and 2,240,349 unique matches. a, Player-level distributions of the overall score. Densities were estimated using all players and a common bandwidth. Boxes span the 25th–75th percentiles, central lines mark the 50th percentile and whiskers span the 5th–95th percentiles. Symbols show regional adjusted means with 95% confidence intervals. The displayed range includes 99.74%–99.83% of players in each region; full distributions are shown in Supplementary Fig. 2. b, Adjusted means and 95% confidence intervals for maintenance and signalling. c, Adjusted means and 95% confidence intervals for the nine ping types. In a–c, 95% confidence intervals for adjusted means were estimated from 1,000 player-level resamples stratified by region and tier. Estimates for each resample were calculated using a first-order approximation; see Methods for details. d, Proportion of player–match records in which each ping was used at least once. Circle area is proportional to this proportion, and numbers indicate percentages. e, Mean number of pings per 10 min among player–match records containing the corresponding ping, with 95% confidence intervals calculated using the delta method with clustering by player. Panels d and e show unadjusted occurrence proportions and conditional frequencies, respectively; panels c–e use the same ordering of ping types. NA, EUW and KR are shown in purple, grey and vermilion, respectively, with diamonds, squares and circles additionally distinguishing their point estimates. Some intervals are narrower than the symbols. The 12 comparisons involving the overall score and the two processes and the 27 comparisons of individual ping types were assessed using two-sided Wald tests, with Holm adjustment applied separately to each family (Table 1 and Supplementary Tables 4 and 6)."
"Figure 2d,e",main/figures/Figure2de.csv,Ping occurrence and conditional frequency,Occurrence fraction; pings per player per 10 min,"Fig. 2 Regional patterns of overall information investment and individual pings. The sample included 126,000 players (42,000 per region), 2,519,994 player–match records and 2,240,349 unique matches. a, Player-level distributions of the overall score. Densities were estimated using all players and a common bandwidth. Boxes span the 25th–75th percentiles, central lines mark the 50th percentile and whiskers span the 5th–95th percentiles. Symbols show regional adjusted means with 95% confidence intervals. The displayed range includes 99.74%–99.83% of players in each region; full distributions are shown in Supplementary Fig. 2. b, Adjusted means and 95% confidence intervals for maintenance and signalling. c, Adjusted means and 95% confidence intervals for the nine ping types. In a–c, 95% confidence intervals for adjusted means were estimated from 1,000 player-level resamples stratified by region and tier. Estimates for each resample were calculated using a first-order approximation; see Methods for details. d, Proportion of player–match records in which each ping was used at least once. Circle area is proportional to this proportion, and numbers indicate percentages. e, Mean number of pings per 10 min among player–match records containing the corresponding ping, with 95% confidence intervals calculated using the delta method with clustering by player. Panels d and e show unadjusted occurrence proportions and conditional frequencies, respectively; panels c–e use the same ordering of ping types. NA, EUW and KR are shown in purple, grey and vermilion, respectively, with diamonds, squares and circles additionally distinguishing their point estimates. Some intervals are narrower than the symbols. The 12 comparisons involving the overall score and the two processes and the 27 comparisons of individual ping types were assessed using two-sided Wald tests, with Holm adjustment applied separately to each family (Table 1 and Supplementary Tables 4 and 6)."
