file,display_items,description,row_unit,value_units,precision,rows,columns,bytes,sha256
main/figures/Figure1a.csv,Figure 1a,Pooled indicator correlation matrix,Indicator row by indicator column,Pearson r,Original numerical precision,18,19,6844,c303e4ec201b0a443f5e46c50846ee0a8d4a62cd10c58ff4276978d125ed962c
main/figures/Figure1b.csv,Figure 1b,Within- and between-process correlations by region,Region and relationship group,Pearson r,Original numerical precision,9,9,1268,deb9125bde6e61c95c316c233a146f639680fa63442548e96bbaabbe06e6a1dd
main/figures/Figure1c.csv,Figure 1c,Exact distributions over indicator-group assignments,Indicator-label assignment,Difference in mean absolute Pearson r,Original numerical precision,1480,4,87207,5c8b3ebbaaa6dd1ac82092950312874970bd357827fc2571f8f5fc5673018e22
main/figures/Figure1c_observed.csv,Figure 1c,Observed grouping contrasts and exact tests,Grouping test,Difference in mean absolute Pearson r; P value,Original numerical precision,2,11,663,4a1193744b4b87006a890ef7b55ce9395692fe40b75086d3c2115f4d41f77538
main/figures/Figure2a_density.csv,Figure 2a,Overall-score density coordinates and histogram counts,Region and score bin,Score units; players; inverse score units,Original numerical precision,4800,7,457110,482be5bfc7fc9370f90bfbba3582f6ba33555e60fa23aaad2c0d9779b70a0e33
main/figures/Figure2a_means.csv,Figure 2a,Overall-score adjusted regional means,Region,Overall score units,Original numerical precision,3,8,402,7704cab190b99aab89145b60a3df79ef3fdc009387459ffe3c5ef8624421a8b3
main/figures/Figure2a_quantiles.csv,Figure 2a,Overall-score distribution summaries,Region,Overall score units,Original numerical precision,3,22,1274,ab17fd347a9c087601ae9c5475257ce27799f30ec371ff71cb22ad96f93a9722
main/figures/Figure2b.csv,Figure 2b,Adjusted maintenance and signalling means,Region and process,Full-sample standardized process score,Original numerical precision,6,8,712,a6834b0347ff5f07e8d9995ef7b3c27d0a123e736049fc159324f025899bb8a7
main/figures/Figure2c.csv,Figure 2c,Adjusted means for nine ping indicators,Region and ping indicator,Full-sample standardized indicator score,Original numerical precision,27,9,3781,c08c0527fd6845d0e84893a543ac265ff72ccec7571daac592f460a811edad83
main/figures/Figure2de.csv,"Figure 2d,e",Ping occurrence and conditional frequency,Region and ping indicator,Occurrence fraction; pings per player per 10 min,Original numerical precision,27,15,7645,06b4fee54175705667f95afc84fc6894193865e090a70589a451cf279f33604a
main/figures/Figure3a.csv,Figure 3a,Maintenance means across sampling tiers,Region and sampling tier,Full-sample standardized maintenance score,Original numerical precision,21,11,3332,44bf3f1405fec8d271f589f0bc006658421339d8fe47c76343bd77e15a8dc28c
main/figures/Figure3b.csv,Figure 3b,Signalling means across sampling tiers,Region and sampling tier,Full-sample standardized signalling score,Original numerical precision,21,11,3018,6ee8b43c657424c9e6dd04b14f1e8a56a023248f8b113cc817394f6879863041
main/figures/Figure3c.csv,Figure 3c,Get-back frequency across sampling tiers,Region and sampling tier,Pings per player per 10 min,Original numerical precision,21,11,3278,fea550fab4bd6637d859db66fb819f603426f657e18db49079d8469fe29636c2
main/figures/Figure3d.csv,Figure 3d,Push frequency across sampling tiers,Region and sampling tier,Pings per player per 10 min,Original numerical precision,21,11,3277,25733d38afa522bcb32ea861d3f9de954aaf5e85ab670b8044d87f08382cab24
main/figures/Figure3e.csv,Figure 3e,All-in frequency across sampling tiers,Region and sampling tier,Pings per player per 10 min,Original numerical precision,21,11,3286,d53595daebc7590df6876aff7b7b4c6ee5935c075f42d0cf7723bada59458a72
main/figures/Figure3f.csv,Figure 3f,Maintenance means across positions,Region and team position,Full-sample standardized maintenance score,Original numerical precision,15,11,2472,9023f5e8c10619403f99b60c855e4728072c03d7a260e8261187ead42cd7843b
main/figures/Figure3g.csv,Figure 3g,Signalling means across positions,Region and team position,Full-sample standardized signalling score,Original numerical precision,15,11,2259,d528f4ebe681c0a1a27841fbe9bfbeca73b149cd40468e65623dd0fbe40d587f
main/figures/Figure4a.csv,Figure 4a,Minute-specific valid ward placements,Region and one-minute interval,Events per team per minute,Original numerical precision,30,14,8490,8cab110980997115276958f32c24e5cc900cd8efe2f63cdf7c893f95e179682d
main/figures/Figure4b.csv,Figure 4b,Minute-specific valid ward clearing,Region and one-minute interval,Events per team per minute,Original numerical precision,30,14,8558,907bdbfe618185de57c85f874a97ef47c8e052098d6b09ff0b5193eca92f53b3
main/figures/Figure4c.csv,Figure 4c,Minute-specific control ward purchases,Region and one-minute interval,Events per team per minute,Original numerical precision,30,14,8697,6b9282801fa4132b497162a7b236dd9b9850451737266026aa619350c045d26a
