measure,region,score,frequency,cumulative_count,n_players,cumulative_fraction
overall,NA,-1.4477283413940192,1,1,42000,2.380952380952381e-05
overall,NA,-1.409931056193274,1,2,42000,4.761904761904762e-05
overall,NA,-1.401482417457538,1,3,42000,7.1428571428571434e-05
overall,NA,-1.3906920583672986,1,4,42000,9.5238095238095241e-05
overall,NA,-1.3883641310938857,1,5,42000,0.00011904761904761905
overall,NA,-1.3864204438109875,1,6,42000,0.00014285714285714287
overall,NA,-1.3792361122705272,1,7,42000,0.00016666666666666666
overall,NA,-1.3757034580543577,1,8,42000,0.00019047619047619048
overall,NA,-1.366140309982072,1,9,42000,0.00021428571428571427
overall,NA,-1.3656732404730652,1,10,42000,0.0002380952380952381
overall,NA,-1.362220891487619,1,11,42000,0.00026190476190476192
overall,NA,-1.3593236222122185,1,12,42000,0.00028571428571428574
overall,NA,-1.3406707750552398,1,13,42000,0.0003095238095238095
overall,NA,-1.3398602393651209,1,14,42000,0.00033333333333333332
overall,NA,-1.308072901721984,1,15,42000,0.00035714285714285714
overall,NA,-1.291208485576853,1,16,42000,0.00038095238095238096
overall,NA,-1.2881492985847904,1,17,42000,0.00040476190476190478
overall,NA,-1.2752536407138848,1,18,42000,0.00042857142857142855
overall,NA,-1.2696033208619166,1,19,42000,0.00045238095238095237
overall,NA,-1.2623977783248812,1,20,42000,0.00047619047619047619
overall,NA,-1.2585074394414344,1,21,42000,0.00050000000000000001
overall,NA,-1.253832349608169,1,22,42000,0.00052380952380952383
overall,NA,-1.2391184769363872,1,23,42000,0.00054761904761904765
overall,NA,-1.2382215897028868,1,24,42000,0.00057142857142857147
overall,NA,-1.232180116172299,1,25,42000,0.00059523809523809529
overall,NA,-1.2316856785752364,1,26,42000,0.000619047619047619
overall,NA,-1.2308061830994734,1,27,42000,0.00064285714285714282
overall,NA,-1.2292998402940511,1,28,42000,0.00066666666666666664
overall,NA,-1.2281423445412418,1,29,42000,0.00069047619047619046
overall,NA,-1.2264330623523658,1,30,42000,0.00071428571428571429
overall,NA,-1.2239584252332278,1,31,42000,0.00073809523809523811
overall,NA,-1.2149097957364343,1,32,42000,0.00076190476190476193
overall,NA,-1.213649411825439,1,33,42000,0.00078571428571428575
overall,NA,-1.2132091891753038,1,34,42000,0.00080952380952380957
overall,NA,-1.211353673916665,1,35,42000,0.00083333333333333339
overall,NA,-1.2098463611855577,1,36,42000,0.0008571428571428571
overall,NA,-1.2046811538220903,1,37,42000,0.00088095238095238092
overall,NA,-1.199805477550686,1,38,42000,0.00090476190476190474
overall,NA,-1.1995582927666637,1,39,42000,0.00092857142857142856
overall,NA,-1.1983816995965948,1,40,42000,0.00095238095238095238
overall,NA,-1.1924746433387137,1,41,42000,0.0009761904761904762
overall,NA,-1.1876065862555043,1,42,42000,0.001
overall,NA,-1.1867785297053897,1,43,42000,0.0010238095238095238
overall,NA,-1.1865187579963676,1,44,42000,0.0010476190476190477
overall,NA,-1.1864633396131,1,45,42000,0.0010714285714285715
overall,NA,-1.181941611771615,1,46,42000,0.0010952380952380953
overall,NA,-1.17904741765413,1,47,42000,0.0011190476190476191
overall,NA,-1.1762341126645606,1,48,42000,0.0011428571428571429
overall,NA,-1.1700593695671442,1,49,42000,0.0011666666666666668
overall,NA,-1.169858055319414,1,50,42000,0.0011904761904761906
overall,NA,-1.1697987037116984,1,51,42000,0.0012142857142857142
overall,NA,-1.1697651319768136,1,52,42000,0.001238095238095238
overall,NA,-1.1684527335933794,1,53,42000,0.0012619047619047618
overall,NA,-1.167348398836758,1,54,42000,0.0012857142857142856
overall,NA,-1.1665655543435816,1,55,42000,0.0013095238095238095
overall,NA,-1.165006390544128,1,56,42000,0.0013333333333333333
overall,NA,-1.1644099528979344,1,57,42000,0.0013571428571428571
overall,NA,-1.1618558046974825,1,58,42000,0.0013809523809523809
overall,NA,-1.159209037576716,1,59,42000,0.0014047619047619047
overall,NA,-1.157939356806266,1,60,42000,0.0014285714285714286
overall,NA,-1.1575829164405511,1,61,42000,0.0014523809523809524
overall,NA,-1.1564060175037398,1,62,42000,0.0014761904761904762
overall,NA,-1.1555727748970626,1,63,42000,0.0015
overall,NA,-1.1554361408570135,1,64,42000,0.0015238095238095239
overall,NA,-1.1553028558116,1,65,42000,0.0015476190476190477
overall,NA,-1.1551223250785445,1,66,42000,0.0015714285714285715
overall,NA,-1.1522874721883325,1,67,42000,0.0015952380952380953
overall,NA,-1.1519923613235323,1,68,42000,0.0016190476190476191
overall,NA,-1.150943736989651,1,69,42000,0.001642857142857143
overall,NA,-1.1509185451429158,1,70,42000,0.0016666666666666668
overall,NA,-1.1494314260759406,1,71,42000,0.0016904761904761904
overall,NA,-1.1492199650891697,1,72,42000,0.0017142857142857142
overall,NA,-1.1435157207464024,1,73,42000,0.001738095238095238
overall,NA,-1.1423460881729932,1,74,42000,0.0017619047619047618
overall,NA,-1.14200601794291,1,75,42000,0.0017857142857142857
overall,NA,-1.141804294991961,1,76,42000,0.0018095238095238095
overall,NA,-1.1400268374737672,1,77,42000,0.0018333333333333333
overall,NA,-1.136064048578233,1,78,42000,0.0018571428571428571
overall,NA,-1.1355152890722626,1,79,42000,0.0018809523809523809
overall,NA,-1.132944633741098,1,80,42000,0.0019047619047619048
overall,NA,-1.132111310197612,1,81,42000,0.0019285714285714286
overall,NA,-1.1312658599846082,1,82,42000,0.0019523809523809524
overall,NA,-1.1307031767207416,1,83,42000,0.001976190476190476
overall,NA,-1.1299149753347186,1,84,42000,0.002
overall,NA,-1.1289648540061492,1,85,42000,0.0020238095238095236
overall,NA,-1.1261425705200012,1,86,42000,0.0020476190476190477
overall,NA,-1.1228659543107962,1,87,42000,0.0020714285714285713
overall,NA,-1.1210157339813929,1,88,42000,0.0020952380952380953
overall,NA,-1.11817308217879,1,89,42000,0.0021190476190476189
overall,NA,-1.1169680777408248,1,90,42000,0.002142857142857143
overall,NA,-1.116441794705834,1,91,42000,0.0021666666666666666
overall,NA,-1.1148399830884896,1,92,42000,0.0021904761904761906
overall,NA,-1.1139211438087373,1,93,42000,0.0022142857142857142
overall,NA,-1.1118436101394518,1,94,42000,0.0022380952380952382
overall,NA,-1.1090685325551008,1,95,42000,0.0022619047619047618
overall,NA,-1.1084965015176893,1,96,42000,0.0022857142857142859
overall,NA,-1.1075181981972968,1,97,42000,0.0023095238095238095
overall,NA,-1.1069895377096328,1,98,42000,0.0023333333333333335
overall,NA,-1.1045457780772263,1,99,42000,0.0023571428571428571
overall,NA,-1.1030158470738385,1,100,42000,0.0023809523809523812
overall,NA,-1.1026693960376488,1,101,42000,0.0024047619047619048
overall,NA,-1.0998758316346038,1,102,42000,0.0024285714285714284
overall,NA,-1.0998287107202116,1,103,42000,0.0024523809523809524
overall,NA,-1.099368945369222,1,104,42000,0.002476190476190476
overall,NA,-1.099334219911685,1,105,42000,0.0025000000000000001
overall,NA,-1.0961677586798235,1,106,42000,0.0025238095238095237
overall,NA,-1.095461966187945,1,107,42000,0.0025476190476190477
overall,NA,-1.0940907467762289,1,108,42000,0.0025714285714285713
overall,NA,-1.0919243506470924,1,109,42000,0.0025952380952380953
overall,NA,-1.091436864411775,1,110,42000,0.0026190476190476189
overall,NA,-1.0867318655418283,1,111,42000,0.002642857142857143
overall,NA,-1.085566718136867,1,112,42000,0.0026666666666666666
overall,NA,-1.0838575653981526,1,113,42000,0.0026904761904761906
overall,NA,-1.083134591003831,1,114,42000,0.0027142857142857142
overall,NA,-1.0831215014856976,1,115,42000,0.0027380952380952383
overall,NA,-1.0802904721039917,1,116,42000,0.0027619047619047619
overall,NA,-1.080154055970836,1,117,42000,0.0027857142857142859
overall,NA,-1.079901224860021,1,118,42000,0.0028095238095238095
overall,NA,-1.079649938190967,1,119,42000,0.0028333333333333335
overall,NA,-1.0792083631877665,1,120,42000,0.0028571428571428571
overall,NA,-1.0778271349534363,1,121,42000,0.0028809523809523807
overall,NA,-1.0773343480978157,1,122,42000,0.0029047619047619048
overall,NA,-1.0769249732804544,1,123,42000,0.0029285714285714284
overall,NA,-1.075732822649207,1,124,42000,0.0029523809523809524
overall,NA,-1.0757242866970351,1,125,42000,0.002976190476190476
overall,NA,-1.0752652314425524,1,126,42000,0.0030000000000000001
overall,NA,-1.075244717788513,1,127,42000,0.0030238095238095237
