measure,region,score,frequency,cumulative_count,n_players,cumulative_fraction
maintenance,NA,-2.091184811187558,1,1,42000,2.380952380952381e-05
maintenance,NA,-2.0811832854944434,1,2,42000,4.761904761904762e-05
maintenance,NA,-2.033184375152556,1,3,42000,7.1428571428571434e-05
maintenance,NA,-2.0209899407569,1,4,42000,9.5238095238095241e-05
maintenance,NA,-2.017812749025991,1,5,42000,0.00011904761904761905
maintenance,NA,-1.9860944004238177,1,6,42000,0.00014285714285714287
maintenance,NA,-1.962362932443348,1,7,42000,0.00016666666666666666
maintenance,NA,-1.9230378821944167,1,8,42000,0.00019047619047619048
maintenance,NA,-1.9218882783715083,1,9,42000,0.00021428571428571427
maintenance,NA,-1.915360216244512,1,10,42000,0.0002380952380952381
maintenance,NA,-1.906849254404813,1,11,42000,0.00026190476190476192
maintenance,NA,-1.902298140978167,1,12,42000,0.00028571428571428574
maintenance,NA,-1.8769579846878128,1,13,42000,0.0003095238095238095
maintenance,NA,-1.8701005829527355,1,14,42000,0.00033333333333333332
maintenance,NA,-1.8688252096828075,1,15,42000,0.00035714285714285714
maintenance,NA,-1.8682385839597213,1,16,42000,0.00038095238095238096
maintenance,NA,-1.864782568979136,1,17,42000,0.00040476190476190478
maintenance,NA,-1.8630824190693944,1,18,42000,0.00042857142857142855
maintenance,NA,-1.8552847880988683,1,19,42000,0.00045238095238095237
maintenance,NA,-1.8481859953549336,1,20,42000,0.00047619047619047619
maintenance,NA,-1.8468327177674708,1,21,42000,0.00050000000000000001
maintenance,NA,-1.8465387520981296,1,22,42000,0.00052380952380952383
maintenance,NA,-1.8145990999706656,1,23,42000,0.00054761904761904765
maintenance,NA,-1.8068215489651205,1,24,42000,0.00057142857142857147
maintenance,NA,-1.790959330107951,1,25,42000,0.00059523809523809529
maintenance,NA,-1.7899825397418652,1,26,42000,0.000619047619047619
maintenance,NA,-1.7580789670557826,1,27,42000,0.00064285714285714282
maintenance,NA,-1.7554380607741584,1,28,42000,0.00066666666666666664
maintenance,NA,-1.7172061773651923,1,29,42000,0.00069047619047619046
maintenance,NA,-1.7152735698284014,1,30,42000,0.00071428571428571429
maintenance,NA,-1.7045822287877876,1,31,42000,0.00073809523809523811
maintenance,NA,-1.6978237904680578,1,32,42000,0.00076190476190476193
maintenance,NA,-1.6934640153324416,1,33,42000,0.00078571428571428575
maintenance,NA,-1.692289190754097,1,34,42000,0.00080952380952380957
