measure,region,score,frequency,cumulative_count,n_players,cumulative_fraction
signalling,NA,-1.7292233345601815,1,1,42000,2.380952380952381e-05
signalling,NA,-1.670307618469593,1,2,42000,4.761904761904762e-05
signalling,NA,-1.6637963409542886,1,3,42000,7.1428571428571434e-05
signalling,NA,-1.6171900790928906,1,4,42000,9.5238095238095241e-05
signalling,NA,-1.5818066187557576,1,5,42000,0.00011904761904761905
signalling,NA,-1.5752291465891006,1,6,42000,0.00014285714285714287
signalling,NA,-1.5613426130030748,1,7,42000,0.00016666666666666666
signalling,NA,-1.555379632900178,1,8,42000,0.00019047619047619048
signalling,NA,-1.5343042104226363,1,9,42000,0.00021428571428571427
signalling,NA,-1.527952696546871,1,10,42000,0.0002380952380952381
signalling,NA,-1.5262695145015135,1,11,42000,0.00026190476190476192
signalling,NA,-1.5193791180760754,1,12,42000,0.00028571428571428574
signalling,NA,-1.5149097271265382,1,13,42000,0.0003095238095238095
signalling,NA,-1.5134340270340243,1,14,42000,0.00033333333333333332
signalling,NA,-1.5089795731411613,1,15,42000,0.00035714285714285714
signalling,NA,-1.501295424175208,1,16,42000,0.00038095238095238096
signalling,NA,-1.4928787231094625,1,17,42000,0.00040476190476190478
signalling,NA,-1.4900310786847184,1,18,42000,0.00042857142857142855
signalling,NA,-1.4874095726935976,1,19,42000,0.00045238095238095237
signalling,NA,-1.4801882678108995,1,20,42000,0.00047619047619047619
signalling,NA,-1.4774810424058151,1,21,42000,0.00050000000000000001
signalling,NA,-1.469999474766866,1,22,42000,0.00052380952380952383
signalling,NA,-1.46522278465811,1,23,42000,0.00054761904761904765
signalling,NA,-1.465106602884779,1,24,42000,0.00057142857142857147
signalling,NA,-1.4646910278785013,1,25,42000,0.00059523809523809529
signalling,NA,-1.4552277483433358,1,26,42000,0.000619047619047619
signalling,NA,-1.454684281156392,1,27,42000,0.00064285714285714282
signalling,NA,-1.4544919491616233,1,28,42000,0.00066666666666666664
signalling,NA,-1.453255134978555,1,29,42000,0.00069047619047619046
