measure,contrast,percentile,quantile_region_A,quantile_region_B,quantile_difference,uncertainty
maintenance,KR-NA,1,-0.654452479461141,-1.1098263355169609,0.4553738560558198,descriptive; no pointwise inference
maintenance,KR-NA,2,-0.5100357111201033,-0.9252877086687444,0.415251997548641,descriptive; no pointwise inference
maintenance,KR-NA,3,-0.4394693094946744,-0.8171909281762856,0.3777216186816112,descriptive; no pointwise inference
maintenance,KR-NA,4,-0.3909518698393048,-0.7469002902149682,0.3559484203756633,descriptive; no pointwise inference
maintenance,KR-NA,5,-0.3579805306993757,-0.6998953782588717,0.3419148475594959,descriptive; no pointwise inference
maintenance,KR-NA,6,-0.3288841690415046,-0.6606132035298925,0.3317290344883878,descriptive; no pointwise inference
maintenance,KR-NA,7,-0.3024424782324096,-0.6285991159470027,0.3261566377145931,descriptive; no pointwise inference
maintenance,KR-NA,8,-0.2823864544009333,-0.6017924930966427,0.3194060386957094,descriptive; no pointwise inference
maintenance,KR-NA,9,-0.2631413680101207,-0.5780808148099119,0.3149394467997912,descriptive; no pointwise inference
maintenance,KR-NA,10,-0.2451886411025376,-0.5589292782583486,0.3137406371558109,descriptive; no pointwise inference
maintenance,KR-NA,11,-0.228806044600111,-0.541737177942902,0.3129311333427909,descriptive; no pointwise inference
maintenance,KR-NA,12,-0.21375373563856,-0.5249294353690622,0.3111756997305022,descriptive; no pointwise inference
maintenance,KR-NA,13,-0.1996137146486048,-0.5078017442655745,0.3081880296169696,descriptive; no pointwise inference
maintenance,KR-NA,14,-0.1863569776134122,-0.4935599004654042,0.307202922851992,descriptive; no pointwise inference
maintenance,KR-NA,15,-0.1733937130162567,-0.4795928792260803,0.3061991662098236,descriptive; no pointwise inference
maintenance,KR-NA,16,-0.1611713118904142,-0.4673178554179557,0.3061465435275414,descriptive; no pointwise inference
maintenance,KR-NA,17,-0.1494708545306592,-0.4566939089215502,0.3072230543908909,descriptive; no pointwise inference
maintenance,KR-NA,18,-0.1380600505321632,-0.4461172338200828,0.3080571832879195,descriptive; no pointwise inference
maintenance,KR-NA,19,-0.1268160621629404,-0.4361006708553549,0.3092846086924145,descriptive; no pointwise inference
maintenance,KR-NA,20,-0.115374065711028,-0.4257275019088553,0.3103534361978273,descriptive; no pointwise inference
maintenance,KR-NA,21,-0.104057092472617,-0.4151740217239684,0.3111169292513513,descriptive; no pointwise inference
maintenance,KR-NA,22,-0.0938210809783908,-0.4048242436247105,0.3110031626463197,descriptive; no pointwise inference
