measure,contrast,percentile,quantile_region_A,quantile_region_B,quantile_difference,uncertainty
maintenance,KR-EUW,1,-0.654452479461141,-1.0983014803976183,0.4438490009364773,descriptive; no pointwise inference
maintenance,KR-EUW,2,-0.5100357111201033,-0.9021315617553776,0.3920958506352742,descriptive; no pointwise inference
maintenance,KR-EUW,3,-0.4394693094946744,-0.7903985779500856,0.3509292684554112,descriptive; no pointwise inference
maintenance,KR-EUW,4,-0.3909518698393048,-0.7217101806991092,0.3307583108598043,descriptive; no pointwise inference
maintenance,KR-EUW,5,-0.3579805306993757,-0.6688193431657652,0.3108388124663894,descriptive; no pointwise inference
maintenance,KR-EUW,6,-0.3288841690415046,-0.633385844415471,0.3045016753739663,descriptive; no pointwise inference
maintenance,KR-EUW,7,-0.3024424782324096,-0.6020497181698091,0.2996072399373995,descriptive; no pointwise inference
maintenance,KR-EUW,8,-0.2823864544009333,-0.5758434252477772,0.2934569708468438,descriptive; no pointwise inference
maintenance,KR-EUW,9,-0.2631413680101207,-0.5531688819417091,0.2900275139315884,descriptive; no pointwise inference
maintenance,KR-EUW,10,-0.2451886411025376,-0.5344316892319437,0.2892430481294061,descriptive; no pointwise inference
maintenance,KR-EUW,11,-0.228806044600111,-0.5173375804513946,0.2885315358512834,descriptive; no pointwise inference
maintenance,KR-EUW,12,-0.21375373563856,-0.5010983777267003,0.2873446420881402,descriptive; no pointwise inference
maintenance,KR-EUW,13,-0.1996137146486048,-0.4860749422686279,0.2864612276200231,descriptive; no pointwise inference
maintenance,KR-EUW,14,-0.1863569776134122,-0.4718671247066818,0.2855101470932696,descriptive; no pointwise inference
maintenance,KR-EUW,15,-0.1733937130162567,-0.4594697052853667,0.28607599226911,descriptive; no pointwise inference
maintenance,KR-EUW,16,-0.1611713118904142,-0.4476233233368216,0.2864520114464074,descriptive; no pointwise inference
maintenance,KR-EUW,17,-0.1494708545306592,-0.4354024582011343,0.2859316036704751,descriptive; no pointwise inference
maintenance,KR-EUW,18,-0.1380600505321632,-0.4231848542312207,0.2851248036990574,descriptive; no pointwise inference
maintenance,KR-EUW,19,-0.1268160621629404,-0.4128129565969029,0.2859968944339625,descriptive; no pointwise inference
maintenance,KR-EUW,20,-0.115374065711028,-0.4025733654278886,0.2871992997168605,descriptive; no pointwise inference
maintenance,KR-EUW,21,-0.104057092472617,-0.3927616082669598,0.2887045157943427,descriptive; no pointwise inference
maintenance,KR-EUW,22,-0.0938210809783908,-0.3829078003567018,0.289086719378311,descriptive; no pointwise inference
maintenance,KR-EUW,23,-0.0833432712752007,-0.3737173154891593,0.2903740442139586,descriptive; no pointwise inference
maintenance,KR-EUW,24,-0.073723753944371,-0.3646656692842605,0.2909419153398894,descriptive; no pointwise inference
maintenance,KR-EUW,25,-0.0633310462897923,-0.3550840756587715,0.2917530293689792,descriptive; no pointwise inference
maintenance,KR-EUW,26,-0.05381226757087,-0.3461812433963601,0.29236897582549,descriptive; no pointwise inference
maintenance,KR-EUW,27,-0.0438785475880196,-0.3373911173591744,0.2935125697711547,descriptive; no pointwise inference
maintenance,KR-EUW,28,-0.0342852865035364,-0.3288972372565482,0.2946119507530117,descriptive; no pointwise inference
maintenance,KR-EUW,29,-0.0249706095300166,-0.3201644467979754,0.2951938372679588,descriptive; no pointwise inference
maintenance,KR-EUW,30,-0.0156908840997174,-0.311814944851241,0.2961240607515236,descriptive; no pointwise inference
maintenance,KR-EUW,31,-0.0056059232548978,-0.3026798208181114,0.2970738975632136,descriptive; no pointwise inference
maintenance,KR-EUW,32,0.0028359421280438,-0.2942140115510791,0.297049953679123,descriptive; no pointwise inference
maintenance,KR-EUW,33,0.012254296931947,-0.2858161033024685,0.2980704002344155,descriptive; no pointwise inference
maintenance,KR-EUW,34,0.0215187885166968,-0.2777494438992702,0.299268232415967,descriptive; no pointwise inference
maintenance,KR-EUW,35,0.0308081504427114,-0.2692910792190611,0.3000992296617725,descriptive; no pointwise inference
maintenance,KR-EUW,36,0.0393465888201801,-0.2613497167140678,0.300696305534248,descriptive; no pointwise inference
maintenance,KR-EUW,37,0.0486280813884364,-0.2523989405686885,0.301027021957125,descriptive; no pointwise inference
maintenance,KR-EUW,38,0.0580128688654281,-0.2443935525879633,0.3024064214533915,descriptive; no pointwise inference
maintenance,KR-EUW,39,0.0663702757300735,-0.2362323469900373,0.3026026227201108,descriptive; no pointwise inference
maintenance,KR-EUW,40,0.0759287297779929,-0.2287599494078336,0.3046886791858265,descriptive; no pointwise inference
maintenance,KR-EUW,41,0.0848561426989937,-0.2204010828397192,0.3052572255387129,descriptive; no pointwise inference
maintenance,KR-EUW,42,0.0947855134066676,-0.2120970964357437,0.3068826098424114,descriptive; no pointwise inference
maintenance,KR-EUW,43,0.1052663728892517,-0.2043590239267217,0.3096253968159734,descriptive; no pointwise inference
maintenance,KR-EUW,44,0.1141571615140265,-0.1968719873955381,0.3110291489095647,descriptive; no pointwise inference
maintenance,KR-EUW,45,0.1229989565679968,-0.1887183351013746,0.3117172916693715,descriptive; no pointwise inference
maintenance,KR-EUW,46,0.1326038330521245,-0.1798697353955672,0.3124735684476917,descriptive; no pointwise inference
maintenance,KR-EUW,47,0.1420494870697422,-0.1717144481888831,0.3137639352586253,descriptive; no pointwise inference
maintenance,KR-EUW,48,0.1514015600138047,-0.1634996664333692,0.314901226447174,descriptive; no pointwise inference
maintenance,KR-EUW,49,0.1612922244819344,-0.1545268193178141,0.3158190437997485,descriptive; no pointwise inference
maintenance,KR-EUW,50,0.170277636179004,-0.1462332224620858,0.3165108586410899,descriptive; no pointwise inference
maintenance,KR-EUW,51,0.1801299272194342,-0.1371405650520771,0.3172704922715114,descriptive; no pointwise inference
maintenance,KR-EUW,52,0.1901047760212573,-0.1288771690954739,0.3189819451167313,descriptive; no pointwise inference
maintenance,KR-EUW,53,0.2012771865676249,-0.120438650727755,0.32171583729538,descriptive; no pointwise inference
maintenance,KR-EUW,54,0.2121910876489632,-0.1120719173306206,0.3242630049795839,descriptive; no pointwise inference
maintenance,KR-EUW,55,0.2221943011817305,-0.1033433347054032,0.3255376358871338,descriptive; no pointwise inference
maintenance,KR-EUW,56,0.2320317281411579,-0.0944693438626123,0.3265010720037702,descriptive; no pointwise inference
maintenance,KR-EUW,57,0.2432526501935292,-0.084865048016858,0.3281176982103873,descriptive; no pointwise inference
maintenance,KR-EUW,58,0.2536281695609139,-0.0750129970765506,0.3286411666374645,descriptive; no pointwise inference
maintenance,KR-EUW,59,0.2643120345247359,-0.0657396087239427,0.3300516432486786,descriptive; no pointwise inference
maintenance,KR-EUW,60,0.2753546009488648,-0.056676262159192,0.3320308631080569,descriptive; no pointwise inference
maintenance,KR-EUW,61,0.286843758920543,-0.0462681411457641,0.3331119000663072,descriptive; no pointwise inference
maintenance,KR-EUW,62,0.2984055999412321,-0.0363251124067162,0.3347307123479484,descriptive; no pointwise inference
maintenance,KR-EUW,63,0.3105143191990145,-0.0262049514878205,0.3367192706868351,descriptive; no pointwise inference
maintenance,KR-EUW,64,0.3220729779934918,-0.0165294019092915,0.3386023799027834,descriptive; no pointwise inference
maintenance,KR-EUW,65,0.3341891849373686,-0.0067854217586221,0.3409746066959908,descriptive; no pointwise inference
maintenance,KR-EUW,66,0.3464249483061167,0.0040661327663513,0.3423588155397653,descriptive; no pointwise inference
maintenance,KR-EUW,67,0.3596766233555244,0.0151542064460243,0.3445224169095001,descriptive; no pointwise inference
