measure,contrast,percentile,quantile_region_A,quantile_region_B,quantile_difference,uncertainty
maintenance,EUW-NA,1,-1.0983014803976183,-1.1098263355169609,0.0115248551193425,descriptive; no pointwise inference
maintenance,EUW-NA,2,-0.9021315617553776,-0.9252877086687444,0.0231561469133668,descriptive; no pointwise inference
maintenance,EUW-NA,3,-0.7903985779500856,-0.8171909281762856,0.0267923502261999,descriptive; no pointwise inference
maintenance,EUW-NA,4,-0.7217101806991092,-0.7469002902149682,0.0251901095158589,descriptive; no pointwise inference
maintenance,EUW-NA,5,-0.6688193431657652,-0.6998953782588717,0.0310760350931065,descriptive; no pointwise inference
maintenance,EUW-NA,6,-0.633385844415471,-0.6606132035298925,0.0272273591144215,descriptive; no pointwise inference
maintenance,EUW-NA,7,-0.6020497181698091,-0.6285991159470027,0.0265493977771935,descriptive; no pointwise inference
maintenance,EUW-NA,8,-0.5758434252477772,-0.6017924930966427,0.0259490678488655,descriptive; no pointwise inference
maintenance,EUW-NA,9,-0.5531688819417091,-0.5780808148099119,0.0249119328682028,descriptive; no pointwise inference
maintenance,EUW-NA,10,-0.5344316892319437,-0.5589292782583486,0.0244975890264048,descriptive; no pointwise inference
maintenance,EUW-NA,11,-0.5173375804513946,-0.541737177942902,0.0243995974915074,descriptive; no pointwise inference
maintenance,EUW-NA,12,-0.5010983777267003,-0.5249294353690622,0.0238310576423619,descriptive; no pointwise inference
maintenance,EUW-NA,13,-0.4860749422686279,-0.5078017442655745,0.0217268019969464,descriptive; no pointwise inference
maintenance,EUW-NA,14,-0.4718671247066818,-0.4935599004654042,0.0216927757587223,descriptive; no pointwise inference
maintenance,EUW-NA,15,-0.4594697052853667,-0.4795928792260803,0.0201231739407136,descriptive; no pointwise inference
maintenance,EUW-NA,16,-0.4476233233368216,-0.4673178554179557,0.019694532081134,descriptive; no pointwise inference
maintenance,EUW-NA,17,-0.4354024582011343,-0.4566939089215502,0.0212914507204158,descriptive; no pointwise inference
maintenance,EUW-NA,18,-0.4231848542312207,-0.4461172338200828,0.022932379588862,descriptive; no pointwise inference
maintenance,EUW-NA,19,-0.4128129565969029,-0.4361006708553549,0.0232877142584519,descriptive; no pointwise inference
maintenance,EUW-NA,20,-0.4025733654278886,-0.4257275019088553,0.0231541364809667,descriptive; no pointwise inference
maintenance,EUW-NA,21,-0.3927616082669598,-0.4151740217239684,0.0224124134570085,descriptive; no pointwise inference
maintenance,EUW-NA,22,-0.3829078003567018,-0.4048242436247105,0.0219164432680087,descriptive; no pointwise inference
maintenance,EUW-NA,23,-0.3737173154891593,-0.3949170053273567,0.0211996898381973,descriptive; no pointwise inference
maintenance,EUW-NA,24,-0.3646656692842605,-0.3857799750093061,0.0211143057250456,descriptive; no pointwise inference
maintenance,EUW-NA,25,-0.3550840756587715,-0.3769407903095514,0.0218567146507798,descriptive; no pointwise inference
maintenance,EUW-NA,26,-0.3461812433963601,-0.3680151921388641,0.021833948742504,descriptive; no pointwise inference
maintenance,EUW-NA,27,-0.3373911173591744,-0.3591777974397846,0.0217866800806101,descriptive; no pointwise inference
maintenance,EUW-NA,28,-0.3288972372565482,-0.3509146439068786,0.0220174066503304,descriptive; no pointwise inference
maintenance,EUW-NA,29,-0.3201644467979754,-0.3425606109290072,0.0223961641310317,descriptive; no pointwise inference
maintenance,EUW-NA,30,-0.311814944851241,-0.3342681151478928,0.0224531702966517,descriptive; no pointwise inference
maintenance,EUW-NA,31,-0.3026798208181114,-0.3260785220173939,0.0233987011992825,descriptive; no pointwise inference
maintenance,EUW-NA,32,-0.2942140115510791,-0.3182641292897904,0.0240501177387112,descriptive; no pointwise inference
maintenance,EUW-NA,33,-0.2858161033024685,-0.3096144047343186,0.0237983014318501,descriptive; no pointwise inference
maintenance,EUW-NA,34,-0.2777494438992702,-0.3012307330102545,0.0234812891109842,descriptive; no pointwise inference
maintenance,EUW-NA,35,-0.2692910792190611,-0.2927130422082805,0.0234219629892193,descriptive; no pointwise inference
maintenance,EUW-NA,36,-0.2613497167140678,-0.2854891470392995,0.0241394303252316,descriptive; no pointwise inference
maintenance,EUW-NA,37,-0.2523989405686885,-0.2782255834864903,0.0258266429178017,descriptive; no pointwise inference
maintenance,EUW-NA,38,-0.2443935525879633,-0.2707890527140794,0.026395500126116,descriptive; no pointwise inference
maintenance,EUW-NA,39,-0.2362323469900373,-0.2634331921750292,0.0272008451849918,descriptive; no pointwise inference
maintenance,EUW-NA,40,-0.2287599494078336,-0.255791834674589,0.0270318852667553,descriptive; no pointwise inference
