context,region,level,measure,estimate,ci_low,ci_high,se,n_records,n_players,unit
tier,NA,IRON,enemy_missing_pings_pm,0.6613120940328601,0.6386478517220477,0.6855941486246119,0.0117091222875453,119998,6000,events per player per 10 min
tier,NA,BRONZE,enemy_missing_pings_pm,1.0092365206146956,0.9846540489712788,1.0345592847740472,0.0128924888811793,120000,6000,events per player per 10 min
tier,NA,SILVER,enemy_missing_pings_pm,1.2707057415239689,1.243991404464646,1.300573771505885,0.0145801781577609,120000,6000,events per player per 10 min
tier,NA,GOLD,enemy_missing_pings_pm,1.441060532855538,1.412979379452059,1.469393530060808,0.0153087550880353,120000,6000,events per player per 10 min
tier,NA,PLATINUM,enemy_missing_pings_pm,1.5969355383014256,1.5641116596479134,1.631347756456487,0.0168148867539849,120000,6000,events per player per 10 min
tier,NA,EMERALD,enemy_missing_pings_pm,1.7659646266840645,1.7300930184294072,1.8002982815165964,0.0179525525432989,120000,6000,events per player per 10 min
tier,NA,DIAMOND,enemy_missing_pings_pm,1.9290959729091623,1.888040548759944,1.968422060936389,0.0209163759067358,120000,6000,events per player per 10 min
tier,EUW,IRON,enemy_missing_pings_pm,0.8069659563411333,0.780416294984454,0.8348017033727632,0.0136770827137478,119996,6000,events per player per 10 min
tier,EUW,BRONZE,enemy_missing_pings_pm,1.2257000517662986,1.1966621999642884,1.25503319637046,0.0144661513893738,120000,6000,events per player per 10 min
tier,EUW,SILVER,enemy_missing_pings_pm,1.3987016461008634,1.3716064952849367,1.4265398506584743,0.0143161543141191,120000,6000,events per player per 10 min
tier,EUW,GOLD,enemy_missing_pings_pm,1.4997333397999275,1.4730579118780556,1.529801199612419,0.0151698769610559,120000,6000,events per player per 10 min
tier,EUW,PLATINUM,enemy_missing_pings_pm,1.590623032416187,1.558529450404753,1.6241487799598888,0.0166158265918301,120000,6000,events per player per 10 min
tier,EUW,EMERALD,enemy_missing_pings_pm,1.7071294491783315,1.6742668048862457,1.7410626326391212,0.0173954278936511,120000,6000,events per player per 10 min
tier,EUW,DIAMOND,enemy_missing_pings_pm,1.9121295133692584,1.875572170393207,1.947699494783992,0.019180070457742,120000,6000,events per player per 10 min
tier,KR,IRON,enemy_missing_pings_pm,1.3325460168445729,1.3006433872454033,1.3682973991907896,0.0173656687814212,120000,6000,events per player per 10 min
tier,KR,BRONZE,enemy_missing_pings_pm,1.61180726386865,1.578773956850801,1.6441382150681905,0.0164181376541914,120000,6000,events per player per 10 min
tier,KR,SILVER,enemy_missing_pings_pm,1.6503974335952458,1.6185638920279162,1.680963657119948,0.0165406750528559,120000,6000,events per player per 10 min
tier,KR,GOLD,enemy_missing_pings_pm,1.6350585323959803,1.6027304105238205,1.6647538588178756,0.0161666221251679,120000,6000,events per player per 10 min
tier,KR,PLATINUM,enemy_missing_pings_pm,1.6770724467928488,1.6438425789060105,1.7122726164463344,0.0174214516802415,120000,6000,events per player per 10 min
tier,KR,EMERALD,enemy_missing_pings_pm,1.7570522448571984,1.720630597067777,1.794018306477432,0.0183062532523532,120000,6000,events per player per 10 min
tier,KR,DIAMOND,enemy_missing_pings_pm,1.89170976557176,1.855306551990349,1.9302865438161887,0.0196472164460595,120000,6000,events per player per 10 min
