context,region,level,measure,estimate,ci_low,ci_high,se,n_records,n_players,unit
tier,NA,IRON,enemy_vision_pings_pm,0.1577338483266331,0.146332336002271,0.1702773652940797,0.0060752335736188,119998,6000,events per player per 10 min
tier,NA,BRONZE,enemy_vision_pings_pm,0.3028035438337244,0.2872102406664382,0.3190198095673142,0.0082416459596233,120000,6000,events per player per 10 min
tier,NA,SILVER,enemy_vision_pings_pm,0.5139802655142318,0.4940813437659612,0.5342852813784957,0.010207309910758,120000,6000,events per player per 10 min
tier,NA,GOLD,enemy_vision_pings_pm,0.6737851089520702,0.6515378123602179,0.6951530531095022,0.0118847411809913,120000,6000,events per player per 10 min
tier,NA,PLATINUM,enemy_vision_pings_pm,0.8038011170630364,0.7781032458930383,0.8290104150671452,0.0131245279334583,120000,6000,events per player per 10 min
tier,NA,EMERALD,enemy_vision_pings_pm,0.9647367292370502,0.9338632689765908,0.9958566078075098,0.0150727846352396,120000,6000,events per player per 10 min
tier,NA,DIAMOND,enemy_vision_pings_pm,1.097482322908057,1.0642142151703455,1.1324970042408462,0.0173132002851602,120000,6000,events per player per 10 min
tier,EUW,IRON,enemy_vision_pings_pm,0.200870680503752,0.1889032568404565,0.21342568855632,0.0064254065970495,119996,6000,events per player per 10 min
tier,EUW,BRONZE,enemy_vision_pings_pm,0.3425260260948637,0.326592888032563,0.3597590911299893,0.0084583279784944,120000,6000,events per player per 10 min
tier,EUW,SILVER,enemy_vision_pings_pm,0.5735955372415162,0.5497801419308007,0.5948351902169197,0.011656181375139,120000,6000,events per player per 10 min
tier,EUW,GOLD,enemy_vision_pings_pm,0.7501988097203608,0.723253427654791,0.7762966753265231,0.014121237955834,120000,6000,events per player per 10 min
tier,EUW,PLATINUM,enemy_vision_pings_pm,0.878309127261233,0.8442427582610261,0.9115919007405224,0.0160106983714903,120000,6000,events per player per 10 min
tier,EUW,EMERALD,enemy_vision_pings_pm,1.0256337880233046,0.9936892693317004,1.0554560022494883,0.0162354467728485,120000,6000,events per player per 10 min
tier,EUW,DIAMOND,enemy_vision_pings_pm,1.24154621090342,1.2038614391284417,1.27666694005069,0.019679368270294,120000,6000,events per player per 10 min
tier,KR,IRON,enemy_vision_pings_pm,0.2325697564791214,0.2223497643565092,0.2425852644540845,0.0055050980429444,120000,6000,events per player per 10 min
tier,KR,BRONZE,enemy_vision_pings_pm,0.495597625756974,0.4783446394941971,0.513758688388816,0.0089158002617696,120000,6000,events per player per 10 min
tier,KR,SILVER,enemy_vision_pings_pm,0.6727659355465092,0.6493269706113804,0.6958856065324853,0.0111202046563947,120000,6000,events per player per 10 min
tier,KR,GOLD,enemy_vision_pings_pm,0.7986766125740055,0.7730833613589382,0.8259031498935288,0.0131704499383365,120000,6000,events per player per 10 min
tier,KR,PLATINUM,enemy_vision_pings_pm,0.9080420855767296,0.8792866455106999,0.9376723447067036,0.0148421383784339,120000,6000,events per player per 10 min
tier,KR,EMERALD,enemy_vision_pings_pm,1.0317650906716398,0.998719777167447,1.0658286241069783,0.017073835664411,120000,6000,events per player per 10 min
tier,KR,DIAMOND,enemy_vision_pings_pm,1.120695010800016,1.0859737676766863,1.1570135220877118,0.0181740101847645,120000,6000,events per player per 10 min
