context,region,level,measure,estimate,ci_low,ci_high,se,n_records,n_players,unit
tier,NA,IRON,command_pings_pm,0.944902384456253,0.911513139767722,0.979769584277352,0.0172940389131103,119998,6000,events per player per 10 min
tier,NA,BRONZE,command_pings_pm,0.9998745758257976,0.967544412212368,1.0326408396586826,0.0164521786339525,120000,6000,events per player per 10 min
tier,NA,SILVER,command_pings_pm,1.1179119094224568,1.0841101857076654,1.1498525845578822,0.0160566467413335,120000,6000,events per player per 10 min
tier,NA,GOLD,command_pings_pm,1.2605348863189545,1.2270406225452763,1.2963306159422374,0.017090671728946,120000,6000,events per player per 10 min
tier,NA,PLATINUM,command_pings_pm,1.4614053320821605,1.4236118336195736,1.4981687933665542,0.0186758991512854,120000,6000,events per player per 10 min
tier,NA,EMERALD,command_pings_pm,1.6592145792751611,1.617658681004997,1.697383205429801,0.0206976879633085,120000,6000,events per player per 10 min
tier,NA,DIAMOND,command_pings_pm,1.8494567356765008,1.806240751756519,1.8945059762486505,0.0226516715619024,120000,6000,events per player per 10 min
tier,EUW,IRON,command_pings_pm,1.0192506861598434,0.9851367926425072,1.0578322961206117,0.0184930766872497,119996,6000,events per player per 10 min
tier,EUW,BRONZE,command_pings_pm,1.17869624970045,1.1467553637306045,1.2152458344326806,0.0174733430317473,120000,6000,events per player per 10 min
tier,EUW,SILVER,command_pings_pm,1.3736450377971907,1.3362820403231042,1.4097637556187377,0.0182542291235335,120000,6000,events per player per 10 min
tier,EUW,GOLD,command_pings_pm,1.5281433032632528,1.492560733334542,1.56449071863013,0.0187343874089153,120000,6000,events per player per 10 min
tier,EUW,PLATINUM,command_pings_pm,1.6254129490849965,1.5895759154526945,1.663340232288615,0.0187839963337752,120000,6000,events per player per 10 min
tier,EUW,EMERALD,command_pings_pm,1.7926908911589423,1.75386121773256,1.828944169387708,0.020239764027429,120000,6000,events per player per 10 min
tier,EUW,DIAMOND,command_pings_pm,1.988463362588591,1.9470442970082087,2.036198537424056,0.0223879715970427,120000,6000,events per player per 10 min
tier,KR,IRON,command_pings_pm,1.140025210833724,1.102056178462725,1.1797297244485618,0.0202657296844705,120000,6000,events per player per 10 min
tier,KR,BRONZE,command_pings_pm,1.4253936699680254,1.388667323041824,1.460438923911933,0.0188964866868755,120000,6000,events per player per 10 min
tier,KR,SILVER,command_pings_pm,1.832753374450513,1.7944006149953922,1.8723684315223976,0.0210473359668272,120000,6000,events per player per 10 min
tier,KR,GOLD,command_pings_pm,2.147881551866736,2.1000597583084573,2.196776653426291,0.0257461415801573,120000,6000,events per player per 10 min
tier,KR,PLATINUM,command_pings_pm,2.435702873279882,2.3844689205877194,2.4851486008906885,0.0269291791024842,120000,6000,events per player per 10 min
tier,KR,EMERALD,command_pings_pm,2.662725813840036,2.6053095153151755,2.72032292814801,0.0283422554840254,120000,6000,events per player per 10 min
tier,KR,DIAMOND,command_pings_pm,2.9585158224912145,2.89796729388571,3.0164143879897054,0.0304764058393647,120000,6000,events per player per 10 min
