context,region,level,measure,estimate,ci_low,ci_high,se,n_records,n_players,unit
tier,NA,IRON,assist_me_pings_pm,0.4748479726802173,0.452448319799405,0.4976130881484577,0.0120660316959764,119998,6000,events per player per 10 min
tier,NA,BRONZE,assist_me_pings_pm,0.6195048771342719,0.5957935990895721,0.641372829823131,0.0115464036703239,120000,6000,events per player per 10 min
tier,NA,SILVER,assist_me_pings_pm,0.7003845368605749,0.6803036578164173,0.7216569322934928,0.0111282562052286,120000,6000,events per player per 10 min
tier,NA,GOLD,assist_me_pings_pm,0.7500173063697417,0.7274147544908851,0.7736415179484588,0.0113157193605044,120000,6000,events per player per 10 min
tier,NA,PLATINUM,assist_me_pings_pm,0.85153347898058,0.8253082903865003,0.8770679321287511,0.012938675750584,120000,6000,events per player per 10 min
tier,NA,EMERALD,assist_me_pings_pm,0.9109786734983716,0.8851202943593799,0.9373961256890582,0.0131962459584814,120000,6000,events per player per 10 min
tier,NA,DIAMOND,assist_me_pings_pm,0.9979430768420214,0.9714194084856488,1.0250208172284807,0.0142760496287017,120000,6000,events per player per 10 min
tier,EUW,IRON,assist_me_pings_pm,0.6291110705915408,0.6048272101225972,0.6553548873156558,0.0130612058943041,119996,6000,events per player per 10 min
tier,EUW,BRONZE,assist_me_pings_pm,0.828137721161329,0.804013676974736,0.85408568544794,0.0129301250335504,120000,6000,events per player per 10 min
tier,EUW,SILVER,assist_me_pings_pm,0.9034880217726076,0.8788558845725389,0.9285082324541244,0.0131705797576987,120000,6000,events per player per 10 min
tier,EUW,GOLD,assist_me_pings_pm,0.9438584843166292,0.9172050432595178,0.9713334779176648,0.013188528608102,120000,6000,events per player per 10 min
tier,EUW,PLATINUM,assist_me_pings_pm,0.976914495011842,0.9504427242868776,1.004413387504831,0.0142883791550616,120000,6000,events per player per 10 min
tier,EUW,EMERALD,assist_me_pings_pm,1.0254315543011714,0.9971717821719828,1.0535684669310297,0.014502997275603,120000,6000,events per player per 10 min
tier,EUW,DIAMOND,assist_me_pings_pm,1.1357154606145743,1.1063864104238557,1.1656448192651776,0.0151600684889403,120000,6000,events per player per 10 min
tier,KR,IRON,assist_me_pings_pm,0.8294062381037856,0.8065121151965159,0.8547812001947945,0.0127146286926032,120000,6000,events per player per 10 min
tier,KR,BRONZE,assist_me_pings_pm,0.8737387284489092,0.8517499298144283,0.8967049841835867,0.0116285826625036,120000,6000,events per player per 10 min
tier,KR,SILVER,assist_me_pings_pm,0.9071690758635478,0.885251746569113,0.9291685322263462,0.0115122664039078,120000,6000,events per player per 10 min
tier,KR,GOLD,assist_me_pings_pm,0.913910231133616,0.8890508743615614,0.9382739160521576,0.0120708378170779,120000,6000,events per player per 10 min
tier,KR,PLATINUM,assist_me_pings_pm,0.9475240278940203,0.923580490402322,0.9727227228299712,0.0123162913812168,120000,6000,events per player per 10 min
tier,KR,EMERALD,assist_me_pings_pm,0.9863281491406796,0.9631941635210912,1.01045455150687,0.0122407039923908,120000,6000,events per player per 10 min
tier,KR,DIAMOND,assist_me_pings_pm,1.044879905141951,1.0185341784314177,1.0730887875693595,0.0134010515088899,120000,6000,events per player per 10 min
