context,region,level,measure,estimate,ci_low,ci_high,se,n_records,n_players,unit
tier,NA,IRON,on_my_way_pings_pm,0.87320347330494,0.8375607993670895,0.9067932271076036,0.0190125050573381,119998,6000,events per player per 10 min
tier,NA,BRONZE,on_my_way_pings_pm,1.4634608685349124,1.42396710446269,1.504829738882157,0.0211853490996886,120000,6000,events per player per 10 min
tier,NA,SILVER,on_my_way_pings_pm,1.9048027274666184,1.8579707167628692,1.9525528727185335,0.0244991046392124,120000,6000,events per player per 10 min
tier,NA,GOLD,on_my_way_pings_pm,2.261136660067021,2.20786838533369,2.311706177542552,0.0267704707537439,120000,6000,events per player per 10 min
tier,NA,PLATINUM,on_my_way_pings_pm,2.6993341080259112,2.63961110988738,2.7606410266774035,0.0310827725010685,120000,6000,events per player per 10 min
tier,NA,EMERALD,on_my_way_pings_pm,3.1714473098308686,3.1056416396301416,3.241626963905825,0.0365536493941493,120000,6000,events per player per 10 min
tier,NA,DIAMOND,on_my_way_pings_pm,3.7278149091198336,3.6463545365970496,3.8122426199910486,0.0425335918031207,120000,6000,events per player per 10 min
tier,EUW,IRON,on_my_way_pings_pm,1.1172976670154604,1.0757634212939955,1.158218333137874,0.0211733882523358,119996,6000,events per player per 10 min
tier,EUW,BRONZE,on_my_way_pings_pm,1.7647236050546613,1.7213610750671025,1.8115417580486408,0.0230394710038332,120000,6000,events per player per 10 min
tier,EUW,SILVER,on_my_way_pings_pm,2.121334613540148,2.0746953192188657,2.166423196520584,0.0254045191151286,120000,6000,events per player per 10 min
tier,EUW,GOLD,on_my_way_pings_pm,2.4830077310885748,2.4304922890098,2.5425480410954577,0.0289402198946999,120000,6000,events per player per 10 min
tier,EUW,PLATINUM,on_my_way_pings_pm,2.751521012762421,2.699588295870073,2.814270568908206,0.0310885537169472,120000,6000,events per player per 10 min
tier,EUW,EMERALD,on_my_way_pings_pm,3.201411458073528,3.1279471320207333,3.2750258843666358,0.0367957554235557,120000,6000,events per player per 10 min
tier,EUW,DIAMOND,on_my_way_pings_pm,3.799383690527922,3.714966961662292,3.886992856457999,0.0430957692372273,120000,6000,events per player per 10 min
tier,KR,IRON,on_my_way_pings_pm,1.6808020732953084,1.635394813205117,1.7314391759896866,0.0248063130969467,120000,6000,events per player per 10 min
tier,KR,BRONZE,on_my_way_pings_pm,2.2853179635253507,2.23164584116517,2.3333534392637696,0.0265802987916367,120000,6000,events per player per 10 min
tier,KR,SILVER,on_my_way_pings_pm,2.649345641769382,2.591681171432895,2.7022157931773547,0.029379033010223,120000,6000,events per player per 10 min
tier,KR,GOLD,on_my_way_pings_pm,2.874998605810257,2.81547669419204,2.934506310428548,0.0307827957198856,120000,6000,events per player per 10 min
tier,KR,PLATINUM,on_my_way_pings_pm,3.1263388876386218,3.060664481014405,3.1915190405188083,0.0334593696996646,120000,6000,events per player per 10 min
tier,KR,EMERALD,on_my_way_pings_pm,3.502248977468596,3.4310722914428085,3.575225014423672,0.0371769599679768,120000,6000,events per player per 10 min
tier,KR,DIAMOND,on_my_way_pings_pm,3.843737582239961,3.762061825030451,3.927787492959447,0.0417838034656592,120000,6000,events per player per 10 min
