context,region,level,measure,estimate,ci_low,ci_high,se,n_records,n_players,unit
tier,NA,IRON,push_pings_pm,0.0448896307259029,0.0416630385135354,0.0483048241053521,0.0017495373327796,119998,6000,events per player per 10 min
tier,NA,BRONZE,push_pings_pm,0.0559687347051546,0.0525160478856983,0.0595468385759686,0.0017293806591466,120000,6000,events per player per 10 min
tier,NA,SILVER,push_pings_pm,0.0566020987064538,0.0534398454878048,0.0597600277768682,0.0016821337451612,120000,6000,events per player per 10 min
tier,NA,GOLD,push_pings_pm,0.0664183828476591,0.0625482224842701,0.0708309538153113,0.0021698437976197,120000,6000,events per player per 10 min
tier,NA,PLATINUM,push_pings_pm,0.0770141161331834,0.0724019459218252,0.0813840003379496,0.0023596357225622,120000,6000,events per player per 10 min
tier,NA,EMERALD,push_pings_pm,0.0975062642826684,0.0922031068825949,0.1037822786926678,0.0029606766484731,120000,6000,events per player per 10 min
tier,NA,DIAMOND,push_pings_pm,0.1159488683008191,0.110706261630848,0.1222105401591826,0.0031554565323786,120000,6000,events per player per 10 min
tier,EUW,IRON,push_pings_pm,0.0595311174071782,0.0557512124563223,0.0636969488519641,0.0019887560230015,119996,6000,events per player per 10 min
tier,EUW,BRONZE,push_pings_pm,0.0694162650382691,0.0659848003436175,0.0729524560121717,0.0017320368316133,120000,6000,events per player per 10 min
tier,EUW,SILVER,push_pings_pm,0.0744791807914943,0.0704901414710106,0.0787529814689383,0.0020711250335052,120000,6000,events per player per 10 min
tier,EUW,GOLD,push_pings_pm,0.0840264900047328,0.079468570509643,0.0893327475116187,0.0024227566342881,120000,6000,events per player per 10 min
tier,EUW,PLATINUM,push_pings_pm,0.1033194225415642,0.0974029145077868,0.1101847519932184,0.003529390255503,120000,6000,events per player per 10 min
tier,EUW,EMERALD,push_pings_pm,0.1332550586567741,0.125752411386854,0.1401201111074678,0.0037716654402224,120000,6000,events per player per 10 min
tier,EUW,DIAMOND,push_pings_pm,0.1765958409553267,0.1672954032083006,0.1866574860391362,0.0046755957738552,120000,6000,events per player per 10 min
tier,KR,IRON,push_pings_pm,0.0500014887588049,0.0472310229082595,0.0532099710803886,0.0015374802335219,120000,6000,events per player per 10 min
tier,KR,BRONZE,push_pings_pm,0.0440923061501384,0.0421026018341207,0.0461025535389266,0.0010001931297766,120000,6000,events per player per 10 min
tier,KR,SILVER,push_pings_pm,0.0399355074460685,0.0381737892711637,0.041618020532082,0.000888680444892,120000,6000,events per player per 10 min
tier,KR,GOLD,push_pings_pm,0.0351817329083752,0.0336915858321653,0.0367046564419762,0.0007751100419953,120000,6000,events per player per 10 min
tier,KR,PLATINUM,push_pings_pm,0.0361513879921775,0.034508418387867,0.0377587740717689,0.0008328109033056,120000,6000,events per player per 10 min
tier,KR,EMERALD,push_pings_pm,0.0383263089546744,0.036495937185396,0.0402604426922121,0.0009766909249581,120000,6000,events per player per 10 min
tier,KR,DIAMOND,push_pings_pm,0.0415923851038773,0.039513978698702,0.0436361785422731,0.0010212842303196,120000,6000,events per player per 10 min
