context,region,level,measure,estimate,ci_low,ci_high,se,n_records,n_players,unit
tier,NA,IRON,all_in_pings_pm,0.1153628713762143,0.1056987188991543,0.1261924554250859,0.0052877153460595,119998,6000,events per player per 10 min
tier,NA,BRONZE,all_in_pings_pm,0.1081024250819267,0.1005223974510957,0.1159572573978414,0.0041268628636821,120000,6000,events per player per 10 min
tier,NA,SILVER,all_in_pings_pm,0.1086493503282751,0.1013183909608,0.1160729205906212,0.0039242134100362,120000,6000,events per player per 10 min
tier,NA,GOLD,all_in_pings_pm,0.1197177830520012,0.1115234152055205,0.1285659986627533,0.004280768988102,120000,6000,events per player per 10 min
tier,NA,PLATINUM,all_in_pings_pm,0.1375569221370086,0.1284406404849616,0.1470958385250512,0.0047014187765071,120000,6000,events per player per 10 min
tier,NA,EMERALD,all_in_pings_pm,0.1850242556498042,0.1731550988354845,0.19654372761564,0.0062564634277064,120000,6000,events per player per 10 min
tier,NA,DIAMOND,all_in_pings_pm,0.2409715813485202,0.2256662828884491,0.2567045850586975,0.0078106100555768,120000,6000,events per player per 10 min
tier,EUW,IRON,all_in_pings_pm,0.1408310898175226,0.1317029328851077,0.1508670356129951,0.004986625849296,119996,6000,events per player per 10 min
tier,EUW,BRONZE,all_in_pings_pm,0.1310609515520911,0.1229413237395855,0.1389776526788118,0.0041862897495641,120000,6000,events per player per 10 min
tier,EUW,SILVER,all_in_pings_pm,0.1191586316975363,0.1118773990726451,0.1259985310581085,0.0036954277486543,120000,6000,events per player per 10 min
tier,EUW,GOLD,all_in_pings_pm,0.140497799509408,0.1312903897501584,0.1511104436156853,0.0048653771488782,120000,6000,events per player per 10 min
tier,EUW,PLATINUM,all_in_pings_pm,0.1658105966864939,0.1544874743070749,0.1772075003513306,0.0058862642756375,120000,6000,events per player per 10 min
tier,EUW,EMERALD,all_in_pings_pm,0.205296453522139,0.1922742180654638,0.2180968136845637,0.0066658572340633,120000,6000,events per player per 10 min
tier,EUW,DIAMOND,all_in_pings_pm,0.2754194172547722,0.2583647214754066,0.2908520444990167,0.008563900644094,120000,6000,events per player per 10 min
tier,KR,IRON,all_in_pings_pm,0.1198766496198492,0.1135510285377638,0.1262657438144954,0.0031971146521894,120000,6000,events per player per 10 min
tier,KR,BRONZE,all_in_pings_pm,0.0973086027287047,0.0916751439926924,0.1036153137979409,0.0031045426776948,120000,6000,events per player per 10 min
tier,KR,SILVER,all_in_pings_pm,0.0916345436834079,0.0853874031068302,0.0979803983960485,0.003391758968574,120000,6000,events per player per 10 min
tier,KR,GOLD,all_in_pings_pm,0.0877559024541239,0.0827446630660498,0.0927889578006171,0.0026307207920323,120000,6000,events per player per 10 min
tier,KR,PLATINUM,all_in_pings_pm,0.0999614584398915,0.0929133848590868,0.1084923423991784,0.0038556337545956,120000,6000,events per player per 10 min
tier,KR,EMERALD,all_in_pings_pm,0.1119258123856004,0.1044149593397109,0.1202266240415336,0.0038298302459205,120000,6000,events per player per 10 min
tier,KR,DIAMOND,all_in_pings_pm,0.1253320916263654,0.1180239664161149,0.132801408572209,0.003840506297488,120000,6000,events per player per 10 min
