contrast,component,minute,mean_difference,se,ci_low,ci_high,simultaneous_low,simultaneous_high,z,log10_p,p_value,family,simultaneous_method,log10_p_holm,p_holm
KR-NA,valid_wards_placed,1,0.1306676404190645,0.0011340173777073,0.1284449663587581,0.1328903144793708,0.1267525214726979,0.1345827593654311,115.22543039264455,-2885.2018029343503,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-2883.409411244852,0.0
KR-NA,valid_wards_placed,2,-0.1027822155365987,0.0009628441383989,-0.1046693900478606,-0.1008950410253368,-0.1061063703535777,-0.0994580607196197,-106.74854988213472,-2476.5741876281063,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-2474.796036377723,0.0
KR-NA,valid_wards_placed,3,0.09780594232772,0.001080044424088,0.0956890552565073,0.0999228293989326,0.0940771613841564,0.1015347232712835,90.5573327785102,-1782.7993279761745,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-1781.0917578000765,0.0
KR-NA,valid_wards_placed,4,0.1482766530735351,0.001414577161265,0.1455040818374556,0.1510492243096145,0.1433929202895074,0.1531603858575627,104.82047719541428,-2387.987470239014,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-2386.216618227372,0.0
KR-NA,valid_wards_placed,5,0.1036040988504525,0.001398410336673,0.1008632145905734,0.1063449831103316,0.0987761809441393,0.1084320167567657,74.08705165676831,-1193.865466336923,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-1192.2122538231476,0.0
KR-NA,valid_wards_placed,6,0.0083972054362941,0.0013776107303372,0.0056970884048331,0.0110973224677552,0.0036410967759792,0.0131533140966091,6.095484922826066,-8.962150584821453,1.0910619622e-09,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-8.309012258955914,4.9089401935e-09
KR-NA,valid_wards_placed,7,0.0996539577509718,0.0014583281631373,0.0967956345512227,0.1025122809507209,0.0946191775670366,0.104688737934907,68.33438472215032,-1015.9209721548242,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-1014.2977228644264,0.0
KR-NA,valid_wards_placed,8,0.1556636030161284,0.001582627935141,0.152561652263252,0.1587655537690048,0.1501996862052179,0.161127519827039,98.35767432113347,-2102.823721446473,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-2101.0913276866504,0.0
KR-NA,valid_wards_placed,9,0.1595196935310696,0.001695674036744,0.1561961724190513,0.1628432146430879,0.1536654926355415,0.1653738944265977,94.07450375154194,-1923.8273247334305,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-1922.1030488638291,0.0
KR-NA,valid_wards_placed,10,0.2283973579405402,0.0017432491209046,0.2249805896635671,0.2318141262175134,0.222378907257457,0.2344158086236235,131.018197687094,-3729.714604052752,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-3727.908424078768,0.0
