contrast,component,minute,mean_difference,se,ci_low,ci_high,simultaneous_low,simultaneous_high,z,log10_p,p_value,family,simultaneous_method,log10_p_holm,p_holm
KR-NA,valid_ward_kills,1,0.036770410716002,0.0002302365208736,0.0363191471350897,0.0372216742969143,0.0359755345679484,0.0375652868640556,159.7071158671075,-5540.93772268441,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-5539.111647881709,0.0
KR-NA,valid_ward_kills,2,0.0101608483443522,0.0001936650294716,0.0097812648865878,0.0105404318021166,0.0094922328177842,0.0108294638709202,52.466097632979626,-599.5574392116524,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-598.0133711673021,0.0
KR-NA,valid_ward_kills,3,0.0087416950579611,0.0001685451862187,0.0084113464929724,0.0090720436229499,0.0081598041056214,0.0093235860103009,51.86558722961696,-585.9476775482985,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-584.4161986312563,0.0
KR-NA,valid_ward_kills,4,0.0213290449515767,0.0003192236974736,0.0207033665045284,0.0219547233986251,0.0202269465440241,0.0224311433591294,66.81535587857792,-971.3316765383393,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-969.7188926816194,0.0
KR-NA,valid_ward_kills,5,0.0510465981651636,0.0004548398094241,0.0501551121386922,0.0519380841916349,0.0494762942258725,0.0526169021044547,112.22983808252998,-2737.2342141955064,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-2735.448884360496,0.0
KR-NA,valid_ward_kills,6,0.0562122402356762,0.0005408651091777,0.0551521446216878,0.0572723358496646,0.0543449397180672,0.0580795407532852,103.93023931814125,-2347.629602319468,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-2345.873727463796,0.0
KR-NA,valid_ward_kills,7,0.0821745291657634,0.0006171668782354,0.0809648820844219,0.083384176247105,0.0800438019074786,0.0843052564240483,133.1479897312447,-3851.892779419004,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-3850.0732354834618,0.0
KR-NA,valid_ward_kills,8,0.1380623480719094,0.0007196841943338,0.136651767051015,0.1394729290928038,0.1355776866548739,0.1405470094889449,191.83740473791687,-7993.744705018693,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-7991.875473298962,0.0
KR-NA,valid_ward_kills,9,0.1623848089881305,0.000808602120834,0.1607999488312958,0.1639696691449653,0.1595931643929216,0.1651764535833395,200.82164615229243,-8759.804393921248,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-8757.923580328967,0.0
KR-NA,valid_ward_kills,10,0.1874451438553916,0.0008898042884302,0.1857011274500684,0.1891891602607148,0.1843731542221864,0.1905171334885968,210.65884520075696,-9638.797129387438,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-9636.905034784748,0.0
