contrast,component,minute,mean_difference,se,ci_low,ci_high,simultaneous_low,simultaneous_high,z,log10_p,p_value,family,simultaneous_method,log10_p_holm,p_holm
KR-NA,control_ward_purchases,1,-0.0208384490816884,0.0002475143756467,-0.0213235772579559,-0.0203533209054208,-0.021692975864648,-0.0199839222987287,-84.19086377201454,-1541.1850797305765,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-1539.5038384932006,0.0
KR-NA,control_ward_purchases,2,0.022511481286464,0.0002269318076913,0.022066694943389,0.022956267629539,0.0217280144390496,0.0232949481338784,99.1993212211394,-2138.93319489996,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-2137.192832210466,0.0
KR-NA,control_ward_purchases,3,0.0893109044858265,0.0004885282819497,0.088353389053205,0.0902684199184481,0.0876242933543778,0.0909975156172753,182.81624173195715,-7259.807020438203,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-7257.949687941772,0.0
KR-NA,control_ward_purchases,4,0.165464086850178,0.0006951707889397,0.1641015521038562,0.1668266215964998,0.1630640563213329,0.1678641173790231,238.0193320587432,-12304.561279385916,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-12302.637000099852,0.0
KR-NA,control_ward_purchases,5,0.1736843841684168,0.0007503816347606,0.172213636164286,0.1751551321725475,0.1710937418969585,0.176275026439875,231.461400602945,-11635.991342600406,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-11634.077528748025,0.0
KR-NA,control_ward_purchases,6,0.1696717722748535,0.0007117545694344,0.1682767333187621,0.171066811230945,0.1672144873560021,0.172129057193705,238.38522372913155,-12342.413415932244,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-12340.48399700653,0.0
KR-NA,control_ward_purchases,7,0.1748815194617752,0.0007153794488857,0.173479375741959,0.1762836631815913,0.1724117198897117,0.1773513190338386,244.45980344299343,-12979.33470498172,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-12977.400206530478,0.0
KR-NA,control_ward_purchases,8,0.1797201574217772,0.0007173383301105,0.1783141742947606,0.1811261405487939,0.177243594943653,0.1821967198999015,250.5375077253742,-13632.621395862714,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-13630.676913190564,0.0
KR-NA,control_ward_purchases,9,0.1797536888341731,0.0007035858253238,0.1783746606165384,0.1811327170518079,0.177324605956546,0.1821827717118002,255.48224873836023,-14175.961952122529,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-14174.012562115884,0.0
KR-NA,control_ward_purchases,10,0.1974307242869842,0.0007244108395654,0.1960108790414358,0.1988505695325325,0.1949297444442677,0.1999317041297006,272.5397157301076,-16131.773816875148,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-16129.819574365709,0.0
