contrast,component,minute,mean_difference,se,ci_low,ci_high,simultaneous_low,simultaneous_high,z,log10_p,p_value,family,simultaneous_method,log10_p_holm,p_holm
KR-EUW,valid_wards_placed,1,0.1455451633487525,0.0011082077735099,0.143373076112673,0.1477172505848321,0.1417191503300177,0.1493711763674873,131.33382279730273,-3747.696501293441,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-3745.8835879367984,0.0
KR-EUW,valid_wards_placed,2,-0.0818870619091527,0.0009409479837516,-0.0837313199573059,-0.0800428038609995,-0.0851356217206253,-0.0786385020976801,-87.02613037403194,-1646.6126820873594,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-1644.922486007331,0.0
KR-EUW,valid_wards_placed,3,0.0761864240719191,0.0010679515300542,0.0740932390730128,0.0782796090708254,0.0724993930340263,0.0798734551098118,71.33884069443636,-1107.063765959433,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-1105.4302975038538,0.0
KR-EUW,valid_wards_placed,4,0.1161258643885114,0.0013934170643858,0.1133947669423151,0.1188569618347077,0.1113151854199078,0.1209365433571151,83.33891363652378,-1510.1878860027607,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-1508.515788144825,0.0
KR-EUW,valid_wards_placed,5,0.0833009388284682,0.0013761896361313,0.0806036071416507,0.0859982705152856,0.0785497364005969,0.0880521412563395,60.5301309074219,-797.4852198924885,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-795.894155285462,0.0
KR-EUW,valid_wards_placed,6,0.0052960103369581,0.0013564560434828,0.0026373564917318,0.0079546641821844,0.0006129368143196,0.0099790838595966,3.904299267494263,-4.024573762114503,9.4498787872e-05,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-3.5474525073948406,0.00028349636362
KR-EUW,valid_wards_placed,7,0.0787237143924377,0.0014323818223078,0.0759162460207143,0.0815311827641612,0.0737785122101867,0.0836689165746887,54.96000658930211,-657.7537111062494,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-656.1974086054821,0.0
KR-EUW,valid_wards_placed,8,0.1282992141460197,0.0015570768279365,0.125247343563264,0.1313510847287754,0.1229235108192085,0.1336749174728309,82.39748472529803,-1476.3016786524354,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-1474.6389208207538,0.0
KR-EUW,valid_wards_placed,9,0.121956059491032,0.0016736801367063,0.1186756464230875,0.1252364725589765,0.1161777910604156,0.1277343279216484,72.86700535923748,-1154.925765236752,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-1153.2823125602658,0.0
KR-EUW,valid_wards_placed,10,0.178751772273723,0.0017197154331081,0.1753811300248311,0.182122414522615,0.1728145700695267,0.1846889744779193,103.94264587755352,-2348.18967412694,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-2346.4262461333774,0.0
