contrast,component,minute,mean_difference,se,ci_low,ci_high,simultaneous_low,simultaneous_high,z,log10_p,p_value,family,simultaneous_method,log10_p_holm,p_holm
KR-EUW,valid_ward_kills,1,0.0378318272551366,0.0002248159886201,0.0373911879174412,0.0382724665928321,0.0370556651311732,0.0386079893791001,168.2790778687156,-6151.466678782655,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-6149.627829691918,0.0
KR-EUW,valid_ward_kills,2,0.0113159997571464,0.0001882766720106,0.0109469774800055,0.0116850220342873,0.0106659871733551,0.0119660123409377,60.10303685687508,-786.2943495882181,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-784.7145659916013,0.0
KR-EUW,valid_ward_kills,3,0.009770635899397,0.0001643009510963,0.0094486060352481,0.0100926657635459,0.0092033978841877,0.0103378739146062,59.46792050927125,-769.7992578782499,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-768.231056154183,0.0
KR-EUW,valid_ward_kills,4,0.0203559725931952,0.0003163622123891,0.0197359026569124,0.020976042529478,0.019263753270998,0.0214481919153924,64.34388114644563,-900.9255733450318,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-899.3235133537039,0.0
KR-EUW,valid_ward_kills,5,0.0449792499949631,0.0004523749855555,0.0440925950232743,0.0458659049666518,0.043417455694781,0.0465410442951451,99.42912723109484,-2148.846105016161,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-2147.097916989155,0.0
KR-EUW,valid_ward_kills,6,0.0484843164802901,0.0005374330475259,0.0474309477071392,0.049537685253441,0.0466288649253709,0.0503397680352094,90.21461687829525,-1769.3446671279814,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-1767.6456971236455,0.0
KR-EUW,valid_ward_kills,7,0.0713911432365687,0.0006142869014019,0.0701871409098208,0.0725951455633166,0.0692703589051627,0.0735119275679747,116.21791555970324,-2935.085136037846,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-2933.2857954883925,0.0
KR-EUW,valid_ward_kills,8,0.1195909967195152,0.0007164969174207,0.1181866627613705,0.1209953306776599,0.1171173391622751,0.1220646542767553,166.91069258192596,-6051.864479461296,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-6050.031970548589,0.0
KR-EUW,valid_ward_kills,9,0.1401788007803018,0.0008067108893422,0.138597647437191,0.1417599541234127,0.1373936855349873,0.1429639160256163,173.76584676400233,-6559.005497738428,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-6557.160399698414,0.0
KR-EUW,valid_ward_kills,10,0.1638311495359192,0.0008855376931077,0.1620954956574281,0.1655668034144103,0.1607738900369359,0.1668884090349024,185.00753927364647,-7434.835334979219,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-7432.972012119098,0.0
