contrast,component,minute,mean_difference,se,ci_low,ci_high,simultaneous_low,simultaneous_high,z,log10_p,p_value,family,simultaneous_method,log10_p_holm,p_holm
KR-EUW,control_ward_purchases,1,-0.0095981972357691,0.0002268535436672,-0.0100428301813569,-0.0091535642901812,-0.010381393881889,-0.0088150005896491,-42.31010492764218,-390.44978939664657,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-388.9584277028123,0.0
KR-EUW,control_ward_purchases,2,0.0210101403884713,0.0002255215694766,0.020568118112297,0.0214521626646456,0.0202315422939187,0.0217887384830239,93.16244311896804,-1886.74054582064,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-1885.0245424770053,0.0
KR-EUW,control_ward_purchases,3,0.0843374796022331,0.0004845702727481,0.0833877218676468,0.0852872373368194,0.0826645332321186,0.0860104259723476,174.045921397388,-6580.159216341496,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-6578.307957992777,0.0
KR-EUW,control_ward_purchases,4,0.1362057789825591,0.0006993783731743,0.1348349973711373,0.1375765605939808,0.1337912220513153,0.1386203359138028,194.75263206144103,-8238.47572585434,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-8236.600664590947,0.0
KR-EUW,control_ward_purchases,5,0.1526090095272675,0.0007510528892849,0.1511369458642691,0.154081073190266,0.1500160497945802,0.1552019692599549,203.1934257953112,-8967.887519110272,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-8966.0010283851,0.0
KR-EUW,control_ward_purchases,6,0.1551800310443984,0.0007100646091857,0.1537883044103943,0.1565717576784024,0.1527285805999723,0.1576314814888245,218.54353679498223,-10373.66723498909,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-10371.764145002098,0.0
KR-EUW,control_ward_purchases,7,0.1554205636989482,0.0007153410743961,0.1540184951931316,0.1568226322047647,0.1529508966122365,0.1578902307856598,217.26777513808315,-10252.932702323626,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-10251.035075232336,0.0
KR-EUW,control_ward_purchases,8,0.160141788837942,0.0007171165459907,0.1587362404078001,0.161547337268084,0.1576659920546178,0.1626175856212662,223.31347635646156,-10831.342921918496,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-10829.434436899615,0.0
KR-EUW,control_ward_purchases,9,0.1647665413409112,0.0007020245730811,0.1633905731776721,0.1661425095041502,0.1623428485819503,0.167190234099872,234.70195725166388,-11964.02624973476,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-11962.107171642385,0.0
KR-EUW,control_ward_purchases,10,0.1801994476736338,0.0007228655740839,0.1787826311484293,0.1816162641988384,0.1777038027563628,0.1826950925909049,249.2848658645652,-13496.663672860666,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-13494.724153608047,0.0
