contrast,component,minute,mean_difference,se,ci_low,ci_high,simultaneous_low,simultaneous_high,z,log10_p,p_value,family,simultaneous_method,log10_p_holm,p_holm
EUW-NA,valid_wards_placed,1,-0.014877522929688,0.001172588962031,-0.0171757972952689,-0.0125792485641071,-0.0189258076842211,-0.0108292381751548,-12.687756248292146,-36.16028207253893,6.9138177535e-37,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-35.16028207253893,6.9138177535e-36
EUW-NA,valid_wards_placed,2,-0.0208951536274459,0.0009810781965513,-0.0228180668926866,-0.0189722403622052,-0.0242822603073727,-0.0175080469475191,-21.298153094111303,-99.927801814274,1.1808593855e-100,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-98.67252930917068,2.1255468939000002e-99
EUW-NA,valid_wards_placed,3,0.0216195182558008,0.0010609691509966,0.0195400187198474,0.0236990177917543,0.0179565934133479,0.0252824430982538,20.377141253816788,-91.57383263034384,2.6678866242e-92,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-90.34338370896558,4.5354072612e-91
EUW-NA,valid_wards_placed,4,0.0321507886850236,0.0014011535751764,0.0294045276776778,0.0348970496923693,0.0273133999317462,0.036988177438301,22.94594201137156,-115.79113883891496,1.6175628389e-116,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-114.49010884325097,3.2351256777000003e-115
EUW-NA,valid_wards_placed,5,0.0203031600219842,0.001388667779613,0.0175813711739426,0.0230249488700259,0.0155088776405592,0.0250974424034093,14.620602796474016,-47.68286785458511,2.07554496e-48,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-46.56892450227828,2.698208448e-47
EUW-NA,valid_wards_placed,6,0.003101195099336,0.0013833216208444,0.0003898847224809,0.0058125054761911,-0.0016746300274677,0.0078770202261398,2.241846764053973,-1.6025592360057446,0.0249712776783,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-1.6025592360057446,0.0249712776783
EUW-NA,valid_wards_placed,7,0.0209302433585341,0.0014486077651452,0.0180909721388493,0.0237695145782188,0.0159290221967911,0.025931464520277,14.448523514876486,-46.591560906586864,2.5611740532e-47,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-45.55016822142864,2.8172914585e-46
EUW-NA,valid_wards_placed,8,0.0273643888701087,0.0015626007599744,0.0243016913805587,0.0304270863596587,0.0219696145383859,0.0327591632018314,17.512079586186555,-67.93598338177995,1.1588216975e-68,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-66.75989212272427,1.7382325462e-67
EUW-NA,valid_wards_placed,9,0.0375636340400376,0.0016638418675805,0.0343025039795796,0.0408247641004955,0.0318193315737979,0.0433079365062772,22.57644477636524,-112.13161286747156,7.3856229534e-113,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-110.85285926651876,1.4032683611e-111
EUW-NA,valid_wards_placed,10,0.0496455856668172,0.001707584084641,0.0462987208609207,0.0529924504727136,0.0437502661296436,0.0555409052039907,29.073581859515503,-185.11080576922168,7.7480824006e-186,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-183.69583242125088,2.0145014242000002e-184
