contrast,component,minute,mean_difference,se,ci_low,ci_high,simultaneous_low,simultaneous_high,z,log10_p,p_value,family,simultaneous_method,log10_p_holm,p_holm
EUW-NA,valid_ward_kills,1,-0.0010614165391346,0.00017365133432,-0.0014017731544019,-0.0007210599238672,-0.0016609361253625,-0.0004618969529066,-6.1123431230204,-9.007982263291932,9.817880387e-10,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-8.309012258955914,4.9089401935e-09
EUW-NA,valid_ward_kills,2,-0.0011551514127941,0.0001736048377317,-0.0014954168947484,-0.0008148859308398,-0.0017545104726692,-0.000555792352919,-6.653912574595261,-10.54454261571916,2.8540224453e-11,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-9.766391365335515,1.7124134672e-10
EUW-NA,valid_ward_kills,3,-0.0010289408414358,0.0001485381877352,-0.0013200756893969,-0.0007378059934747,-0.0015417589732328,-0.0005161227096387,-6.927113203169625,-11.367021783808902,4.2951488216e-12,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-10.521923743794645,3.0066041751e-11
EUW-NA,valid_ward_kills,4,0.0009730723583815,0.0002965338949924,0.0003918659241963,0.0015542787925667,-5.06910277421719e-05,0.0019968357445052,3.28148779891204,-2.986063707664784,0.00103260991871,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-2.685033712000802,0.00206521983741
EUW-NA,valid_ward_kills,5,0.0060673481702005,0.0004196571244572,0.0052448202062643,0.0068898761341366,0.004618510091315,0.0075161862490859,14.457870048191916,-46.6505067901896,2.2361102368999997e-47,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-45.57132554414198,2.6833322843e-46
EUW-NA,valid_ward_kills,6,0.007727923755386,0.0005138058555765,0.006720864278456,0.008734983232316,0.005954043496171,0.0095018040146011,15.040552129781904,-50.399882553759824,3.9821484522000004e-51,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-49.25375451808159,5.5750078331e-50
EUW-NA,valid_ward_kills,7,0.0107833859291947,0.0005816980382628,0.0096432577741995,0.0119235140841899,0.0087751124622823,0.0127916593961071,18.537772555323684,-75.98980685918701,1.0237481756e-76,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-74.78568687653109,1.6379970809e-75
EUW-NA,valid_ward_kills,8,0.0184713513523941,0.0006646476305682,0.0171686419964805,0.0197740607083078,0.0161766999808639,0.0207660027239244,27.791194164948948,-169.25630192510076,5.5424026659e-170,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-167.87609068338915,1.3301766398e-168
EUW-NA,valid_ward_kills,9,0.0222060082078286,0.0007469382146913,0.0207420093070336,0.0236700071086237,0.0196272541132347,0.0247847623024226,29.72937757242001,-193.4942608982969,3.204343767e-194,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-192.06289713413787,8.6517281709e-193
EUW-NA,valid_ward_kills,10,0.0236139943194724,0.0008251015333774,0.0219967953140525,0.0252311933248922,0.020765386608951,0.0264626020299937,28.619501193763394,-179.41531126424078,3.843162391e-180,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-178.01737125556875,9.6079059775e-179
