contrast,component,minute,mean_difference,se,ci_low,ci_high,simultaneous_low,simultaneous_high,z,log10_p,p_value,family,simultaneous_method,log10_p_holm,p_holm
EUW-NA,control_ward_purchases,1,-0.0112402518459192,0.0002582565712009,-0.0117464347254731,-0.0107340689663654,-0.0121318653386302,-0.0103486383532083,-43.523585067554,-413.0795656557973,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-411.5744156774774,0.0
EUW-NA,control_ward_purchases,2,0.0015013408979927,0.0001839348634462,0.0011408285656381,0.0018618532303472,0.000866318117097,0.0021363636788883,8.162350898918458,-15.483377330291116,3.2856603712e-16,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-14.580287343299172,2.628528297e-15
EUW-NA,control_ward_purchases,3,0.0049734248835934,0.0004101909794508,0.0041694505638698,0.005777399203317,0.0035572680355181,0.0063895817316687,12.124656886048328,-33.10686559700005,7.818697357699999e-34,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-32.15262308756073,7.036827622e-33
EUW-NA,control_ward_purchases,4,0.0292583078676189,0.0006190976671865,0.0280448764399333,0.0304717392953045,0.0271209146899643,0.0313957010452735,47.25959960498965,-486.764539216464,0.0,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-485.2460252765861,0.0
EUW-NA,control_ward_purchases,5,0.0210753746411492,0.0006782268105624,0.0197460500924468,0.0224046991898515,0.0187338420613442,0.0234169072209542,31.074228138626097,-211.26994688993668,5.3709747424e-212,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-209.792825635217,1.6112924227e-210
EUW-NA,control_ward_purchases,6,0.0144917412304551,0.0006314903582416,0.0132540201283016,0.0157294623326087,0.0123115631180191,0.0166719193428911,22.94847584182852,-115.81643837793304,1.5260249072000002e-116,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-114.49421908319913,3.2046523051000004e-115
EUW-NA,control_ward_purchases,7,0.019460955762827,0.0006333663117788,0.0182195577917404,0.0207023537339136,0.0172743010466099,0.0216476104790441,30.72622493635409,-206.59493330375116,2.5413629623e-207,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-205.1477752724089,7.1158162945e-206
EUW-NA,control_ward_purchases,8,0.0195783685838352,0.0006313136839971,0.0183409937632007,0.0208157434044696,0.0173988004273798,0.0217579367402905,31.012108687197152,-210.43159284426247,3.7017506023999997e-211,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-208.9691948463636,1.0735076747e-209
EUW-NA,control_ward_purchases,9,0.0149871474932619,0.000611738473567,0.0137881400850704,0.0161861549014534,0.0128751614380517,0.0170991335484721,24.499272386565725,-131.82282323407492,1.5037538972999998e-132,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-130.4804005532527,3.3082585741e-131
EUW-NA,control_ward_purchases,10,0.0172312766133503,0.0006300314124269,0.0159964150449934,0.0184661381817072,0.0150561354134985,0.019406417813202,27.349869027914743,-163.96506022541897,1.0837766118e-164,90 exploratory regional-by-component-by-minute contrasts,Bonferroni 95% across 90 contrasts,-162.60333238940137,2.4926862071e-163
