region,tier,estimate,se,ci_low,ci_high,n_matches,n_teams,reference,method
NA,IRON,-0.8296449555207605,0.003199681645876,-0.8359163315466775,-0.8233735794948434,83360,166720,one pooled patch distribution shared by all 21 cells,within-cell match mean variance; fixed reference weights; pointwise Wald CI
NA,BRONZE,-0.475664835554933,0.0027352370324611,-0.4810259001385569,-0.4703037709713092,106560,213120,one pooled patch distribution shared by all 21 cells,within-cell match mean variance; fixed reference weights; pointwise Wald CI
NA,SILVER,-0.1967729655246983,0.0024617487449109,-0.2015979930647237,-0.1919479379846729,98604,197208,one pooled patch distribution shared by all 21 cells,within-cell match mean variance; fixed reference weights; pointwise Wald CI
NA,GOLD,-0.0963724344053098,0.0022471234439208,-0.1007767963553947,-0.0919680724552249,107351,214702,one pooled patch distribution shared by all 21 cells,within-cell match mean variance; fixed reference weights; pointwise Wald CI
NA,PLATINUM,-0.0748941650508787,0.0024097855895351,-0.0796173448063676,-0.0701709852953898,90943,181886,one pooled patch distribution shared by all 21 cells,within-cell match mean variance; fixed reference weights; pointwise Wald CI
NA,EMERALD,-0.073535529083432,0.0024129942529761,-0.0782649978192653,-0.0688060603475987,86222,172444,one pooled patch distribution shared by all 21 cells,within-cell match mean variance; fixed reference weights; pointwise Wald CI
NA,DIAMOND,-0.0570027016112562,0.0024875084431094,-0.0618782181597507,-0.0521271850627617,86777,173554,one pooled patch distribution shared by all 21 cells,within-cell match mean variance; fixed reference weights; pointwise Wald CI
EUW,IRON,-0.855640689917596,0.0029090925749475,-0.8613425113644931,-0.8499388684706989,94323,188646,one pooled patch distribution shared by all 21 cells,within-cell match mean variance; fixed reference weights; pointwise Wald CI
EUW,BRONZE,-0.4347750859979276,0.0025708040375262,-0.439813861911479,-0.4297363100843762,110897,221794,one pooled patch distribution shared by all 21 cells,within-cell match mean variance; fixed reference weights; pointwise Wald CI
EUW,SILVER,-0.0849604483776133,0.0023359470746426,-0.089538904643913,-0.0803819921113137,106815,213630,one pooled patch distribution shared by all 21 cells,within-cell match mean variance; fixed reference weights; pointwise Wald CI
EUW,GOLD,0.0238742112835976,0.0022191374728894,0.0195247018367342,0.028223720730461,111923,223846,one pooled patch distribution shared by all 21 cells,within-cell match mean variance; fixed reference weights; pointwise Wald CI
EUW,PLATINUM,0.0404187058204487,0.002402558680044,0.0357096908075623,0.0451277208333351,94564,189128,one pooled patch distribution shared by all 21 cells,within-cell match mean variance; fixed reference weights; pointwise Wald CI
EUW,EMERALD,0.0496397665213481,0.0024816443544919,0.0447757435865439,0.0545037894561524,85788,171576,one pooled patch distribution shared by all 21 cells,within-cell match mean variance; fixed reference weights; pointwise Wald CI
EUW,DIAMOND,0.0589210339910855,0.0028941218869008,0.0532485550927599,0.0645935128894111,85026,170052,one pooled patch distribution shared by all 21 cells,within-cell match mean variance; fixed reference weights; pointwise Wald CI
KR,IRON,-0.5104306699947669,0.0032050349026462,-0.5167125384039535,-0.5041488015855804,97485,194970,one pooled patch distribution shared by all 21 cells,within-cell match mean variance; fixed reference weights; pointwise Wald CI
KR,BRONZE,-0.0087672244331555,0.0027124963887409,-0.0140837173550878,-0.0034507315112232,111311,222622,one pooled patch distribution shared by all 21 cells,within-cell match mean variance; fixed reference weights; pointwise Wald CI
KR,SILVER,0.3643194573490201,0.0022269511464993,0.3599546331018813,0.3686842815961588,106355,212710,one pooled patch distribution shared by all 21 cells,within-cell match mean variance; fixed reference weights; pointwise Wald CI
KR,GOLD,0.5521746289903857,0.0020284998355056,0.5481987693127947,0.5561504886679768,111865,223730,one pooled patch distribution shared by all 21 cells,within-cell match mean variance; fixed reference weights; pointwise Wald CI
KR,PLATINUM,0.6893270361688331,0.0021238401063551,0.685164309560377,0.6934897627772891,95289,190578,one pooled patch distribution shared by all 21 cells,within-cell match mean variance; fixed reference weights; pointwise Wald CI
KR,EMERALD,0.815928882110153,0.0021121371141943,0.8117890933663322,0.8200686708539738,90303,180606,one pooled patch distribution shared by all 21 cells,within-cell match mean variance; fixed reference weights; pointwise Wald CI
KR,DIAMOND,0.9465592999388488,0.0023479628984589,0.9419572926578694,0.9511613072198284,88443,176886,one pooled patch distribution shared by all 21 cells,within-cell match mean variance; fixed reference weights; pointwise Wald CI
