region,display_region_linear,maintenance_difference_sd,model_predictor_z_linear,probability_linear,ci_low_linear,ci_high_linear,se_linear,n_model_matches_linear,n_reference_matches_linear,method_linear,specification_linear,display_region_spline,model_predictor_z_spline,probability_spline,ci_low_spline,ci_high_spline,se_spline,n_model_matches_spline,n_reference_matches_spline,method_spline,specification_spline,difference_percentage_points
NA,NA,-2.0,-1.9576089465939224,0.4532216165232315,0.4508507162693947,0.4555925167770683,0.0012096429866514,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-1.9576089465939224,0.4537731955017656,0.4502124581380395,0.4573339328654918,0.0018167027365949,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,0.0551578978534084
NA,NA,-1.95,-1.9076089465939223,0.4541621654743653,0.4518380020915971,0.4564863288571334,0.0011857976442694,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-1.9076089465939223,0.4546399735135296,0.4512379651993772,0.4580419818276819,0.0017357185276287,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,0.0477808039164306
NA,NA,-1.9,-1.8576089465939225,0.4551030107015447,0.4528253557422171,0.4573806656608722,0.0011620688567997,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-1.8576089465939225,0.4555070004558907,0.452260562324732,0.4587534385870495,0.001656345985285,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,0.0403989754346023
NA,NA,-1.85,-1.807608946593923,0.4560441461598232,0.453812752660268,0.4582755396593784,0.0011384660712016,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-1.807608946593923,0.4563742715976396,0.4532797430159141,0.4594688001793651,0.0015788411131252,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,0.0330125437816408
NA,NA,-1.8,-1.7576089465939226,0.4569855657976292,0.4548001668844322,0.4591709647108262,0.0011149994455086,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-1.7576089465939226,0.4572417822028528,0.4542949105635143,0.4601886538421914,0.001503505938438,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,0.0256216405223552
NA,NA,-1.75,-1.7076089465939226,0.4579272635569089,0.4557875709269982,0.4600669561868196,0.0010916799132197,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-1.7076089465939226,0.4581095275309422,0.455305362063916,0.4609136929979684,0.0014306966668501,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,0.0182263974033314
NA,NA,-1.7,-1.6576089465939223,0.4588692333732577,0.4567749356360571,0.4609635311104584,0.0010685192536737,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-1.6576089465939223,0.4589775028367908,0.456310271213491,0.4616447344600906,0.0013608324608672,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,0.0108269463533094
NA,NA,-1.65,-1.6076089465939225,0.4598114691760603,0.4577622300450229,0.4618607083070978,0.0010455301688966,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-1.6076089465939225,0.4598457688408996,0.4573086988837408,0.4623828387980584,0.00129442344753,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,0.003429966483931
NA,NA,-1.6,-1.557608946593923,0.4607539648886289,0.4587494212089265,0.4627585085683314,0.0010227263671951,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-1.557608946593923,0.4607146812563908,0.4582997251803137,0.4631296373324678,0.001232120446978,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.0039283632238096
NA,NA,-1.55,-1.5076089465939226,0.461696714428343,0.4597364740263364,0.4636569548303496,0.0010001226540849,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-1.5076089465939226,0.4615846791564881,0.4592824655819848,0.4638868927309914,0.0011745987625016,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.0112035271854882
NA,NA,-1.5,-1.4576089465939226,0.4626397117067767,0.4607233510465437,0.4645560723670096,0.000977735030731,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-1.4576089465939226,0.4624562020277827,0.4602561007145669,0.4646563033409985,0.001122500670008,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.0183509678993998
NA,NA,-1.45,-1.4076089465939223,0.4635829506298646,0.4617100122615354,0.4654558889981937,0.0009555808001679,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-1.4076089465939223,0.4633296897425733,0.4612199470842651,0.4654394324008815,0.0010763993154633,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.0253260887291273
NA,NA,-1.4,-1.3576089465939225,0.464526425098005,0.4626964148824954,0.4663564353135146,0.0009336786813824,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-1.3576089465939225,0.4642055825360365,0.4621735435406736,0.4662376215313993,0.0010367545894708,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.0320842561968515
NA,NA,-1.35,-1.307608946593923,0.46547012900623,0.4636825131013371,0.4672577449111229,0.0009120489310678,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-1.307608946593923,0.4650843209836179,0.4631167453716288,0.4670518965956071,0.0010038651081577,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.0385808022612121
NA,NA,-1.2999999999999998,-1.2576089465939224,0.4664140562443314,0.4646682578379826,0.4681598546506803,0.0008907134726269,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-1.2576089465939224,0.4659663459785105,0.4640498118496821,0.467882880107339,0.0009778235351165,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.044771026582091
NA,NA,-1.25,-1.2076089465939226,0.4673582006969945,0.46565359647512,0.469062804918869,0.0008696960315686,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-1.2076089465939226,0.4668520987091725,0.4649734692259201,0.4687307281924249,0.0009584844302308,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.0506101987822027
