region,tier,canonical,downloaded,identity_verified,parsed,valid_window,eligible,usable_primary_outcome,coverage_percent
EUW,BRONZE,116220,115323,115323,115320,115317,115317,114534,99.2230252968508
EUW,DIAMOND,108250,108201,108201,108200,108200,108200,107918,99.95381062355658
EUW,EMERALD,106608,106430,106430,106427,106427,106427,106202,99.83021912051628
EUW,GOLD,115407,114678,114678,114673,114672,114672,114413,99.36312355403052
EUW,IRON,98600,96344,96344,96342,96342,96342,95340,97.70993914807302
EUW,PLATINUM,107152,106950,106950,106949,106949,106949,106732,99.81054949977602
EUW,SILVER,110707,109936,109936,109935,109934,109934,109533,99.30176050294922
KR,BRONZE,117024,116192,116192,116192,116191,116191,114818,99.28818020235164
KR,DIAMOND,108258,108203,108203,108203,108203,108203,107434,99.94919544052172
KR,EMERALD,106846,106648,106648,106648,106648,106648,105944,99.81468655822398
KR,GOLD,115021,114563,114563,114562,114562,114562,113877,99.60094243659852
KR,IRON,101731,99641,99641,99640,99640,99640,97878,97.94457933176712
KR,PLATINUM,107001,106745,106745,106743,106743,106743,106095,99.75888075812377
KR,SILVER,110104,109401,109401,109400,109400,109400,108559,99.3606045193635
NA,BRONZE,112510,111332,111332,111312,111312,111312,110640,98.93520575948804
NA,DIAMOND,101331,100185,100185,100176,100176,100176,99888,98.86017112236136
NA,EMERALD,98394,98130,98130,98112,98112,98112,97895,99.71339715836332
NA,GOLD,111319,110527,110527,110511,110511,110511,110211,99.27415805028792
NA,IRON,87407,85170,85170,85137,85137,85137,84458,97.40295399681948
NA,PLATINUM,97588,97248,97248,97227,97226,97226,97043,99.6290527523876
NA,SILVER,102876,101862,101862,101844,101844,101844,101509,98.99685057739414
