contrast,tier,estimate,ci_low,ci_high
KR-NA,IRON,0.3192142855259935,0.3103377981594287,0.32809077289255834
KR-NA,BRONZE,0.4668976111217775,0.4593473720223356,0.47444785022121944
KR-NA,SILVER,0.5610924228737184,0.5545860735539836,0.5675987721934532
KR-NA,GOLD,0.6485470633956956,0.6426136104074897,0.6544805163839015
KR-NA,PLATINUM,0.7642212012197118,0.7579254312255485,0.7705169712138752
KR-NA,EMERALD,0.889464411193585,0.8831790531793832,0.8957497692077868
KR-NA,DIAMOND,1.0035620015501052,0.9968575901196489,1.0102664129805614
KR-EUW,IRON,0.34521001992282907,0.3367263509923113,0.35369368885334684
KR-EUW,BRONZE,0.4260078615647721,0.418682947934159,0.4333327751953852
KR-EUW,SILVER,0.44927990572663346,0.4429542474612172,0.4556055639920497
KR-EUW,GOLD,0.528300417706788,0.5224075667325779,0.5341932686809981
KR-EUW,PLATINUM,0.6489083303483844,0.6426231799756138,0.6551934807211549
KR-EUW,EMERALD,0.7662891155888049,0.7599018963226635,0.7726763348549462
KR-EUW,DIAMOND,0.8876382659477634,0.880333781854678,0.8949427500408488
EUW-NA,IRON,-0.025995734396835557,-0.03447163700781126,-0.017519831785859856
EUW-NA,BRONZE,0.04088974955700542,0.03353242149739222,0.04824707761661862
EUW-NA,SILVER,0.11181251714708496,0.10516096450545141,0.1184640697887185
EUW-NA,GOLD,0.12024664568890753,0.11405660234368697,0.12643668903412808
EUW-NA,PLATINUM,0.11531287087132748,0.10864329446841782,0.12198244727423714
EUW-NA,EMERALD,0.12317529560478019,0.11639100539625236,0.12995958581330802
EUW-NA,DIAMOND,0.11592373560234182,0.10844391752523641,0.12340355367944722
