region,tier,patch,n_matches,reference_weight
NA,IRON,14.24,339,0.0039015629664170006
NA,IRON,15.1,269,0.0027124130086566994
NA,IRON,15.10,226,0.0028021601752801183
NA,IRON,15.11,207,0.003078230263915201
NA,IRON,15.12,251,0.0037796238813308336
NA,IRON,15.13,421,0.005731136999049851
NA,IRON,15.14,269,0.005090712924177301
NA,IRON,15.15,300,0.004807814246777394
NA,IRON,15.16,330,0.005245819440406906
NA,IRON,15.17,422,0.005383854484724447
NA,IRON,15.18,381,0.005962821260713568
NA,IRON,15.19,455,0.007402677977411029
NA,IRON,15.20,521,0.00809870627508287
NA,IRON,15.21,541,0.008540125763094795
NA,IRON,15.22,789,0.01233877214169907
NA,IRON,15.23,1121,0.016694436260976955
NA,IRON,15.24,5198,0.0681390729898098
NA,IRON,15.3,208,0.002533894188090551
NA,IRON,15.4,167,0.0024626817624002293
NA,IRON,15.8,132,0.002169540201853084
NA,IRON,15.9,148,0.0025153594471574534
NA,IRON,16.1,10134,0.11492222237396864
NA,IRON,16.2,12599,0.13776190076694808
NA,IRON,16.3,18741,0.18221503811328044
NA,IRON,16.4,25534,0.21594143802275287
NA,IRON,16.5,3657,0.16976798406402485
NA,BRONZE,14.24,808,0.0039015629664170006
NA,BRONZE,15.1,624,0.0027124130086566994
NA,BRONZE,15.10,499,0.0028021601752801183
NA,BRONZE,15.11,511,0.003078230263915201
NA,BRONZE,15.12,734,0.0037796238813308336
NA,BRONZE,15.13,1181,0.005731136999049851
NA,BRONZE,15.14,920,0.005090712924177301
NA,BRONZE,15.15,926,0.004807814246777394
NA,BRONZE,15.16,969,0.005245819440406906
NA,BRONZE,15.17,1063,0.005383854484724447
NA,BRONZE,15.18,1094,0.005962821260713568
NA,BRONZE,15.19,1353,0.007402677977411029
NA,BRONZE,15.20,1411,0.00809870627508287
NA,BRONZE,15.21,1600,0.008540125763094795
NA,BRONZE,15.22,2592,0.01233877214169907
NA,BRONZE,15.23,3312,0.016694436260976955
NA,BRONZE,15.24,14077,0.0681390729898098
NA,BRONZE,15.3,443,0.002533894188090551
NA,BRONZE,15.4,380,0.0024626817624002293
NA,BRONZE,15.8,354,0.002169540201853084
NA,BRONZE,15.9,461,0.0025153594471574534
NA,BRONZE,16.1,16547,0.11492222237396864
NA,BRONZE,16.2,14436,0.13776190076694808
NA,BRONZE,16.3,15666,0.18221503811328044
NA,BRONZE,16.4,17560,0.21594143802275287
NA,BRONZE,16.5,7039,0.16976798406402485
NA,SILVER,14.24,584,0.0039015629664170006
NA,SILVER,15.1,454,0.0027124130086566994
NA,SILVER,15.10,413,0.0028021601752801183
NA,SILVER,15.11,374,0.003078230263915201
NA,SILVER,15.12,566,0.0037796238813308336
NA,SILVER,15.13,848,0.005731136999049851
NA,SILVER,15.14,660,0.005090712924177301
NA,SILVER,15.15,659,0.004807814246777394
NA,SILVER,15.16,839,0.005245819440406906
NA,SILVER,15.17,750,0.005383854484724447
