matrix,test,statistic,n_allocations,n_at_least_observed,p_exact,null_q025,null_q975,tail,interpretation,p_holm_primary_two_tests
player_region_centered_Pearson,maintenance_vs_signalling,0.1983699515307375,220,1,0.004545454545454545,-0.05808598833925664,0.09799709840531128,upper; ties included; exhaustive enumeration,indicator-label structure diagnostic; not a player-sampling P value,0.00909090909090909
player_pooled_Pearson,maintenance_vs_signalling,0.17893514978522018,220,1,0.004545454545454545,-0.06302334416097466,0.08893557068417578,upper; ties included; exhaustive enumeration,indicator-label structure diagnostic; not a player-sampling P value,
player_pooled_Spearman,maintenance_vs_signalling,0.18901150659524074,220,1,0.004545454545454545,-0.0626959906522427,0.11483501742585059,upper; ties included; exhaustive enumeration,indicator-label structure diagnostic; not a player-sampling P value,
player_NA_Pearson,maintenance_vs_signalling,0.20870280608107764,220,1,0.004545454545454545,-0.05203327777018953,0.10928236763075604,upper; ties included; exhaustive enumeration,indicator-label structure diagnostic; not a player-sampling P value,
player_NA_Spearman,maintenance_vs_signalling,0.1993312125337498,220,1,0.004545454545454545,-0.05811545052418845,0.1294206524596717,upper; ties included; exhaustive enumeration,indicator-label structure diagnostic; not a player-sampling P value,
player_EUW_Pearson,maintenance_vs_signalling,0.20577763201639826,220,1,0.004545454545454545,-0.057359036558023935,0.10934623473886526,upper; ties included; exhaustive enumeration,indicator-label structure diagnostic; not a player-sampling P value,
player_EUW_Spearman,maintenance_vs_signalling,0.19987314919318117,220,1,0.004545454545454545,-0.0632293007451292,0.13155372622929068,upper; ties included; exhaustive enumeration,indicator-label structure diagnostic; not a player-sampling P value,
player_KR_Pearson,maintenance_vs_signalling,0.18138847417865794,220,1,0.004545454545454545,-0.06601122440589488,0.0888385471138002,upper; ties included; exhaustive enumeration,indicator-label structure diagnostic; not a player-sampling P value,
player_KR_Spearman,maintenance_vs_signalling,0.20868943662822337,220,1,0.004545454545454545,-0.06420188329118766,0.1148659736318438,upper; ties included; exhaustive enumeration,indicator-label structure diagnostic; not a player-sampling P value,
player_region_centered_rank,maintenance_vs_signalling,0.20732432418509944,220,1,0.004545454545454545,-0.06324932100037312,0.12484617893136582,upper; ties included; exhaustive enumeration,indicator-label structure diagnostic; not a player-sampling P value,
legacy_record_Pearson,maintenance_vs_signalling,0.1217811151626709,220,1,0.004545454545454545,-0.0473728677918004,0.05843564405964558,upper; ties included; exhaustive enumeration,indicator-label structure diagnostic; not a player-sampling P value,
player_region_centered_Pearson,signal_functional_subgroups,-0.007012924637993911,1260,693,0.55,-0.05857565536480301,0.07545728031103519,upper; ties included; exhaustive enumeration,indicator-label structure diagnostic; not a player-sampling P value,0.55
player_pooled_Pearson,signal_functional_subgroups,-0.010876873708123236,1260,743,0.5896825396825397,-0.05965993316220467,0.07675873276710365,upper; ties included; exhaustive enumeration,indicator-label structure diagnostic; not a player-sampling P value,
player_pooled_Spearman,signal_functional_subgroups,-0.011173632217340745,1260,750,0.5952380952380952,-0.0677411185383809,0.0878524535951857,upper; ties included; exhaustive enumeration,indicator-label structure diagnostic; not a player-sampling P value,
player_NA_Pearson,signal_functional_subgroups,0.0025198648719793604,1260,537,0.4261904761904762,-0.05533814858274377,0.07569698973558624,upper; ties included; exhaustive enumeration,indicator-label structure diagnostic; not a player-sampling P value,
player_NA_Spearman,signal_functional_subgroups,0.0031184351415705636,1260,536,0.4253968253968254,-0.06219521367701887,0.08496878401233278,upper; ties included; exhaustive enumeration,indicator-label structure diagnostic; not a player-sampling P value,
player_EUW_Pearson,signal_functional_subgroups,-0.005037494715074364,1260,661,0.5246031746031746,-0.05837495086886171,0.07715471858979617,upper; ties included; exhaustive enumeration,indicator-label structure diagnostic; not a player-sampling P value,
player_EUW_Spearman,signal_functional_subgroups,-0.006973784392933224,1260,669,0.530952380952381,-0.06646239476091687,0.08855917446253726,upper; ties included; exhaustive enumeration,indicator-label structure diagnostic; not a player-sampling P value,
player_KR_Pearson,signal_functional_subgroups,-0.011587830449527159,1260,716,0.5682539682539682,-0.06509075034351076,0.08119356870692167,upper; ties included; exhaustive enumeration,indicator-label structure diagnostic; not a player-sampling P value,
player_KR_Spearman,signal_functional_subgroups,0.008847466607128873,1260,466,0.36984126984126986,-0.06469107239708657,0.08534887314882328,upper; ties included; exhaustive enumeration,indicator-label structure diagnostic; not a player-sampling P value,
player_region_centered_rank,signal_functional_subgroups,-0.0048121528651768886,1260,655,0.5198412698412699,-0.06664995791288518,0.08620238769884954,upper; ties included; exhaustive enumeration,indicator-label structure diagnostic; not a player-sampling P value,
legacy_record_Pearson,signal_functional_subgroups,-0.0012912891364862122,1260,599,0.4753968253968254,-0.042578260962276286,0.055913636430427356,upper; ties included; exhaustive enumeration,indicator-label structure diagnostic; not a player-sampling P value,
