region,patch,n_unique_matches,n_dates_available,first_match_utc,last_match_utc,queue_420,queue_other
EUW1,14.10,485,5,2024-05-29 18:28:45.999000+00:00,2024-05-29 20:13:33.616000+00:00,5,0
EUW1,14.11,403,67,2024-06-02 20:44:21.663000+00:00,2024-06-11 22:47:24.652000+00:00,67,0
EUW1,14.12,411,296,2024-06-12 07:49:59.853000+00:00,2024-06-25 23:22:27.666000+00:00,296,0
EUW1,14.13,681,641,2024-06-26 10:28:33.335000+00:00,2024-07-16 22:47:29.995000+00:00,641,0
EUW1,14.14,402,388,2024-07-17 06:00:02.386000+00:00,2024-07-31 02:07:28.617000+00:00,388,0
EUW1,14.15,405,405,2024-07-31 09:01:40.825000+00:00,2024-08-14 00:40:06.469000+00:00,405,0
EUW1,14.16,542,542,2024-08-14 07:37:51.100000+00:00,2024-08-27 23:43:58.849000+00:00,542,0
EUW1,14.17,605,600,2024-08-28 08:21:07.256000+00:00,2024-09-10 23:34:00.109000+00:00,600,0
EUW1,14.18,696,690,2024-09-11 09:37:55.171000+00:00,2024-09-24 22:03:28.539000+00:00,690,0
EUW1,14.19,711,698,2024-09-25 07:27:28.095000+00:00,2024-10-09 00:18:11.497000+00:00,698,0
EUW1,14.20,722,720,2024-10-09 07:11:38.102000+00:00,2024-10-23 02:01:50.567000+00:00,720,0
EUW1,14.21,886,882,2024-10-23 06:13:13.064000+00:00,2024-11-06 03:30:33.550000+00:00,882,0
EUW1,14.22,1101,1100,2024-11-06 08:27:12.822000+00:00,2024-11-20 03:22:53.373000+00:00,1100,0
EUW1,14.23,1686,1666,2024-11-20 09:45:34.249000+00:00,2024-12-11 02:16:06.795000+00:00,1666,0
EUW1,14.24,2355,2346,2024-12-11 07:07:45.334000+00:00,2025-01-08 23:55:35.553000+00:00,2346,0
EUW1,14.5,31,0,NaT,NaT,0,0
EUW1,14.6,278,0,NaT,NaT,0,0
EUW1,14.7,334,0,NaT,NaT,0,0
EUW1,14.8,341,0,NaT,NaT,0,0
EUW1,14.9,369,0,NaT,NaT,0,0
EUW1,15.1,1871,1868,2025-01-09 09:46:45.989000+00:00,2025-01-23 03:05:10.214000+00:00,1868,0
EUW1,15.10,1765,1757,2025-05-14 07:23:15.173000+00:00,2025-05-29 02:02:59.846000+00:00,1757,0
EUW1,15.11,1981,1962,2025-05-29 07:12:34.120000+00:00,2025-06-11 01:30:47.432000+00:00,1962,0
EUW1,15.12,2482,2472,2025-06-11 07:52:15.350000+00:00,2025-06-25 02:09:24.664000+00:00,2472,0
EUW1,15.13,3327,3310,2025-06-25 05:25:24.955000+00:00,2025-07-16 02:17:23.883000+00:00,3310,0
EUW1,15.14,2918,2914,2025-07-16 07:45:32.383000+00:00,2025-07-30 02:27:40.923000+00:00,2914,0
EUW1,15.15,2624,2610,2025-07-30 08:06:24.945000+00:00,2025-08-13 02:35:51.388000+00:00,2610,0
EUW1,15.16,3010,3007,2025-08-13 06:15:35.619000+00:00,2025-08-26 23:57:16.598000+00:00,3007,0
EUW1,15.17,3208,3207,2025-08-27 12:16:00.839000+00:00,2025-09-10 02:26:37.420000+00:00,3207,0
EUW1,15.18,3851,3849,2025-09-10 05:02:31.774000+00:00,2025-09-24 02:33:25.094000+00:00,3849,0
EUW1,15.19,4347,4327,2025-09-24 05:37:52.717000+00:00,2025-10-08 02:34:57.546000+00:00,4327,0
EUW1,15.2,1505,1504,2025-01-23 07:26:58.493000+00:00,2025-02-05 03:05:48.248000+00:00,1504,0
EUW1,15.20,4917,4907,2025-10-08 06:06:45.637000+00:00,2025-10-22 01:57:43.177000+00:00,4907,0
EUW1,15.21,6205,6165,2025-10-22 05:52:53.907000+00:00,2025-11-05 03:06:42.290000+00:00,6165,0
EUW1,15.22,8175,8157,2025-11-05 06:35:26.189000+00:00,2025-11-19 03:34:36.224000+00:00,8157,0
EUW1,15.23,10027,9997,2025-11-19 06:44:31.880000+00:00,2025-12-03 03:28:37.517000+00:00,9997,0
EUW1,15.24,40646,40414,2025-12-03 06:07:53.338000+00:00,2026-01-08 00:04:22.817000+00:00,40414,0
EUW1,15.3,1575,1567,2025-02-05 07:25:45.439000+00:00,2025-02-20 01:34:41.598000+00:00,1567,0
EUW1,15.4,1516,1498,2025-02-20 06:38:12.089000+00:00,2025-03-05 02:56:09.377000+00:00,1498,0
EUW1,15.5,1238,1236,2025-03-05 09:45:20.167000+00:00,2025-03-19 02:11:57.826000+00:00,1236,0
EUW1,15.6,1333,1324,2025-03-19 07:18:41.407000+00:00,2025-04-02 02:31:47.114000+00:00,1324,0
EUW1,15.7,1152,1151,2025-04-02 07:49:45.806000+00:00,2025-04-16 01:58:32.953000+00:00,1151,0
EUW1,15.8,1357,1352,2025-04-16 05:25:43.070000+00:00,2025-04-29 23:02:29.088000+00:00,1352,0
EUW1,15.9,1476,1474,2025-04-30 12:28:04.832000+00:00,2025-05-14 02:20:53.709000+00:00,1474,0
EUW1,16.1,76966,76598,2026-01-08 12:09:59.834000+00:00,2026-01-22 03:36:40.719000+00:00,76598,0
EUW1,16.2,91139,90809,2026-01-22 06:38:56.837000+00:00,2026-02-04 03:34:14.648000+00:00,90809,0
EUW1,16.3,124390,123820,2026-02-04 06:05:04.280000+00:00,2026-02-19 03:34:49.974000+00:00,123820,0
EUW1,16.4,155459,154697,2026-02-19 06:21:31.960000+00:00,2026-03-04 03:34:34.043000+00:00,154697,0
EUW1,16.5,134478,134222,2026-03-04 06:00:43.688000+00:00,2026-03-18 02:34:45.169000+00:00,134222,0
EUW1,16.6,54562,54557,2026-03-18 05:28:35.445000+00:00,2026-03-30 22:59:11.395000+00:00,54557,0
KR,14.10,366,0,NaT,NaT,0,0
KR,14.11,309,66,2024-06-01 01:52:05.104000+00:00,2024-06-11 18:47:29.138000+00:00,66,0
KR,14.12,320,175,2024-06-12 02:01:54.379000+00:00,2024-06-25 18:18:48.064000+00:00,175,0
KR,14.13,557,449,2024-06-26 05:01:44.934000+00:00,2024-07-16 15:54:14.885000+00:00,449,0
KR,14.14,585,583,2024-07-17 04:56:17.611000+00:00,2024-07-30 19:24:33.770000+00:00,583,0
KR,14.15,589,589,2024-07-31 00:44:41.030000+00:00,2024-08-13 19:17:44.467000+00:00,589,0
KR,14.16,593,593,2024-08-14 03:57:11.432000+00:00,2024-08-27 19:16:47.229000+00:00,593,0
KR,14.17,586,586,2024-08-28 02:59:27.975000+00:00,2024-09-10 14:43:20.299000+00:00,586,0
KR,14.18,820,817,2024-09-11 04:51:15.953000+00:00,2024-09-24 18:58:19.229000+00:00,817,0
KR,14.19,795,795,2024-09-25 01:01:13.406000+00:00,2024-10-08 19:26:03.487000+00:00,795,0
KR,14.20,761,761,2024-10-08 22:04:41.471000+00:00,2024-10-22 18:23:43.393000+00:00,761,0
KR,14.21,830,826,2024-10-22 23:36:31.803000+00:00,2024-11-05 17:21:56.720000+00:00,826,0
KR,14.22,1112,1109,2024-11-06 01:16:12.629000+00:00,2024-11-19 18:17:40.357000+00:00,1109,0
KR,14.23,1673,1667,2024-11-20 00:36:39.861000+00:00,2024-12-10 18:08:26.488000+00:00,1667,0
KR,14.24,2783,2775,2024-12-11 00:21:33.701000+00:00,2025-01-08 14:20:46.724000+00:00,2775,0
KR,14.5,20,0,NaT,NaT,0,0
KR,14.6,198,0,NaT,NaT,0,0
KR,14.7,270,0,NaT,NaT,0,0
KR,14.8,367,0,NaT,NaT,0,0
KR,14.9,355,0,NaT,NaT,0,0
KR,15.1,1639,1636,2025-01-09 00:58:53.230000+00:00,2025-01-22 17:27:26.598000+00:00,1636,0
KR,15.10,1993,1985,2025-05-14 00:45:09.246000+00:00,2025-05-28 19:19:37.468000+00:00,1985,0
KR,15.11,2277,2277,2025-05-28 23:21:59.840000+00:00,2025-06-10 19:29:25.262000+00:00,2277,0
