contrast,component,minute,main_difference,disjoint_difference,disjoint_ci_low,disjoint_ci_high,same_direction
KR-NA,valid_wards_placed,1,0.13066764041906453,0.13683814903360836,0.1234984510792676,0.15017784698794912,True
KR-NA,valid_wards_placed,2,-0.10278221553659872,-0.089648777986709,-0.10059901908803591,-0.0786985368853821,True
KR-NA,valid_wards_placed,3,0.09780594232772,0.09597491161651617,0.08372186003366981,0.10822796319936252,True
KR-NA,valid_wards_placed,4,0.1482766530735351,0.1398942406775967,0.1237012583767434,0.15608722297845,True
KR-NA,valid_wards_placed,5,0.10360409885045252,0.09446042281933131,0.07847058472505508,0.11045026091360755,True
KR-NA,valid_wards_placed,6,0.008397205436294186,0.017249952023105086,0.0017574722855273096,0.032742431760682866,True
KR-NA,valid_wards_placed,7,0.09965395775097186,0.09624936703555753,0.07963738453385223,0.11286134953726283,True
KR-NA,valid_wards_placed,8,0.15566360301612847,0.1549313524675573,0.13696586056018736,0.17289684437492722,True
KR-NA,valid_wards_placed,9,0.15951969353106965,0.15811598487021938,0.13906230057298005,0.17716966916745872,True
KR-NA,valid_wards_placed,10,0.22839735794054028,0.23132019379282243,0.21152084036554647,0.2511195472200984,True
KR-NA,valid_ward_kills,1,0.03677041071600208,0.03621154636468872,0.03350252234367616,0.038920570385701285,True
KR-NA,valid_ward_kills,2,0.010160848344352276,0.01024845376433087,0.008116046117317338,0.012380861411344403,True
KR-NA,valid_ward_kills,3,0.008741695057961196,0.007841569542809918,0.006019441916822278,0.009663697168797558,True
KR-NA,valid_ward_kills,4,0.021329044951576795,0.020935128080479697,0.017224867035224984,0.02464538912573441,True
KR-NA,valid_ward_kills,5,0.051046598165163604,0.05333940358327187,0.04823507164140487,0.05844373552513887,True
KR-NA,valid_ward_kills,6,0.05621224023567625,0.06133258187978477,0.05518017786643186,0.06748498589313767,True
KR-NA,valid_ward_kills,7,0.08217452916576348,0.08373048326263832,0.07689943936533696,0.09056152715993969,True
KR-NA,valid_ward_kills,8,0.13806234807190942,0.13554256816476257,0.12736239103440827,0.14372274529511686,True
KR-NA,valid_ward_kills,9,0.16238480898813057,0.16788811001860288,0.15885262769748046,0.1769235923397253,True
KR-NA,valid_ward_kills,10,0.18744514385539163,0.19445510784932418,0.18446796748524352,0.20444224821340484,True
KR-NA,control_ward_purchases,1,-0.0208384490816884,-0.020680868813844636,-0.023534753921994202,-0.01782698370569507,True
KR-NA,control_ward_purchases,2,0.022511481286464057,0.023953784506033797,0.02140428706532114,0.026503281946746456,True
KR-NA,control_ward_purchases,3,0.08931090448582658,0.08971023199842577,0.08428592734370707,0.09513453665314447,True
KR-NA,control_ward_purchases,4,0.16546408685017805,0.1701345755850513,0.1624054964881859,0.1778636546819167,True
KR-NA,control_ward_purchases,5,0.1736843841684168,0.17244060945065542,0.16413633086704396,0.1807448880342669,True
KR-NA,control_ward_purchases,6,0.16967177227485358,0.17425035599133593,0.16650599351789067,0.18199471846478119,True
KR-NA,control_ward_purchases,7,0.17488151946177521,0.17637942933233092,0.16852010352869212,0.1842387551359697,True
KR-NA,control_ward_purchases,8,0.17972015742177727,0.1838631926883797,0.17588612400469422,0.19184026137206517,True
KR-NA,control_ward_purchases,9,0.17975368883417314,0.17671458846534693,0.16896109351494235,0.18446808341575152,True
KR-NA,control_ward_purchases,10,0.19743072428698422,0.20158321753348596,0.19355176817090336,0.20961466689606856,True
KR-EUW,valid_wards_placed,1,0.14554516334875256,0.14409647399977676,0.13307906019188964,0.15511388780766389,True
KR-EUW,valid_wards_placed,2,-0.08188706190915274,-0.07443520706131745,-0.0837128634761875,-0.0651575506464474,True
KR-EUW,valid_wards_placed,3,0.07618642407191911,0.0765548513400316,0.06598799910276522,0.08712170357729797,True
KR-EUW,valid_wards_placed,4,0.11612586438851147,0.10927991571914153,0.09536901420147172,0.12319081723681134,True
KR-EUW,valid_wards_placed,5,0.08330093882846823,0.07596400052714869,0.062267731182833165,0.08966026987146422,True
KR-EUW,valid_wards_placed,6,0.005296010336958146,0.0004699050733114607,-0.01301395858492332,0.013953768731546242,True
KR-EUW,valid_wards_placed,7,0.07872371439243775,0.0850989875112369,0.0708810096238907,0.0993169653985831,True
KR-EUW,valid_wards_placed,8,0.12829921414601975,0.12991351185990352,0.11429645198615286,0.1455305717336542,True
KR-EUW,valid_wards_placed,9,0.12195605949103205,0.11214413333543627,0.09550867499027994,0.1287795916805926,True
KR-EUW,valid_wards_placed,10,0.17875177227372308,0.18871207102425647,0.17152288574497823,0.2059012563035347,True
KR-EUW,valid_ward_kills,1,0.037831827255136695,0.03911713385796707,0.03676656155054497,0.041467706165389175,True
KR-EUW,valid_ward_kills,2,0.01131599975714644,0.009709190983050533,0.007842726093974725,0.01157565587212634,True
KR-EUW,valid_ward_kills,3,0.009770635899397017,0.009443951485169352,0.007871472889091437,0.011016430081247267,True
KR-EUW,valid_ward_kills,4,0.020355972593195257,0.019491227967246852,0.016289901616386892,0.022692554318106812,True
KR-EUW,valid_ward_kills,5,0.0449792499949631,0.04803468567288058,0.04351720149660148,0.052552169849159676,True
KR-EUW,valid_ward_kills,6,0.04848431648029017,0.050817036602058496,0.04541559283187862,0.05621848037223837,True
KR-EUW,valid_ward_kills,7,0.07139114323656873,0.07311205947121938,0.06700926037543904,0.07921485856699971,True
KR-EUW,valid_ward_kills,8,0.11959099671951523,0.11969872498915468,0.11252298981609989,0.1268744601622095,True
KR-EUW,valid_ward_kills,9,0.14017880078030187,0.1418848571482197,0.1338355233548808,0.14993419094155858,True
KR-EUW,valid_ward_kills,10,0.1638311495359192,0.16316976537979927,0.1542981167011324,0.17204141405846615,True
KR-EUW,control_ward_purchases,1,-0.009598197235769108,-0.009624109720747197,-0.011828979311357847,-0.007419240130136546,True
KR-EUW,control_ward_purchases,2,0.021010140388471356,0.023500603601438762,0.021205028356735097,0.025796178846142426,True
KR-EUW,control_ward_purchases,3,0.08433747960223315,0.08393780589902163,0.07906407888965593,0.08881153290838732,True
KR-EUW,control_ward_purchases,4,0.1362057789825591,0.13888457172830687,0.1318602492763902,0.14590889418022354,True
KR-EUW,control_ward_purchases,5,0.15260900952726758,0.15109993618356865,0.14369797303757367,0.15850189932956363,True
KR-EUW,control_ward_purchases,6,0.15518003104439843,0.15525666463656496,0.1481998542588534,0.1623134750142765,True
KR-EUW,control_ward_purchases,7,0.1554205636989482,0.16093673654412838,0.15381218312935266,0.1680612899589041,True
KR-EUW,control_ward_purchases,8,0.16014178883794206,0.1664885690165484,0.15933513988243758,0.17364199815065923,True
KR-EUW,control_ward_purchases,9,0.1647665413409112,0.16620563482898476,0.15923469024760414,0.17317657941036538,True
KR-EUW,control_ward_purchases,10,0.18019944767363388,0.18838043358869982,0.18114160759213593,0.19561925958526372,True
EUW-NA,valid_wards_placed,1,-0.014877522929688025,-0.007258324966168406,-0.020741568645940255,0.006224918713603441,True
EUW-NA,valid_wards_placed,2,-0.020895153627445984,-0.01521357092539155,-0.02614093756758579,-0.004286204283197311,True
EUW-NA,valid_wards_placed,3,0.021619518255800885,0.019420060276484574,0.007461903551896186,0.03137821700107296,True
EUW-NA,valid_wards_placed,4,0.032150788685023635,0.030614324958455175,0.014742599643394819,0.04648605027351553,True
EUW-NA,valid_wards_placed,5,0.02030316002198429,0.018496422292182624,0.00279291181355721,0.03419993277080804,True
EUW-NA,valid_wards_placed,6,0.0031011950993360404,0.016780046949793626,0.0014465098881215784,0.032113584011465676,True
EUW-NA,valid_wards_placed,7,0.020930243358534106,0.01115037952432063,-0.005123765939553011,0.02742452498819427,True
EUW-NA,valid_wards_placed,8,0.027364388870108725,0.025017840607653774,0.007473852864936351,0.0425618283503712,True
EUW-NA,valid_wards_placed,9,0.0375636340400376,0.045971851534783115,0.02743387682390995,0.06450982624565628,True
EUW-NA,valid_wards_placed,10,0.049645585666817205,0.04260812276856596,0.02340370356176711,0.06181254197536481,True
EUW-NA,valid_ward_kills,1,-0.001061416539134611,-0.002905587493278357,-0.005021111829288612,-0.0007900631572681019,True
EUW-NA,valid_ward_kills,2,-0.0011551514127941635,0.0005392627812803377,-0.0014109440289981653,0.0024894695915588408,False
EUW-NA,valid_ward_kills,3,-0.001028940841435821,-0.0016023819423594335,-0.0032351122817945604,3.0348397075693426e-05,True
EUW-NA,valid_ward_kills,4,0.0009730723583815382,0.0014439001132328447,-0.002022076950289035,0.004909877176754724,True
EUW-NA,valid_ward_kills,5,0.006067348170200507,0.005304717910391291,0.0006423681755439352,0.009967067645238647,True
EUW-NA,valid_ward_kills,6,0.007727923755386085,0.010515545277726274,0.004714460498178168,0.01631663005727438,True
EUW-NA,valid_ward_kills,7,0.010783385929194755,0.010618423791418946,0.004249147623694039,0.016987699959143853,True
EUW-NA,valid_ward_kills,8,0.018471351352394194,0.015843843175607886,0.008256920589286485,0.023430765761929286,True
EUW-NA,valid_ward_kills,9,0.022206008207828698,0.026003252870383187,0.017657407514728343,0.03434909822603803,True
EUW-NA,valid_ward_kills,10,0.02361399431947242,0.03128534246952491,0.02203683260448816,0.040533852334561665,True
EUW-NA,control_ward_purchases,1,-0.011240251845919293,-0.011056759093097439,-0.01397980603637492,-0.008133712149819958,True
EUW-NA,control_ward_purchases,2,0.0015013408979927013,0.00045318090459503524,-0.0016226327413129283,0.0025289945505029988,True
EUW-NA,control_ward_purchases,3,0.004973424883593439,0.005772426099404149,0.0011352458412847025,0.010409606357523596,True
EUW-NA,control_ward_purchases,4,0.02925830786761896,0.031250003856744424,0.024352653350218315,0.03814735436327053,True
EUW-NA,control_ward_purchases,5,0.021075374641149225,0.021340673267086774,0.013819563624590114,0.028861782909583432,True
EUW-NA,control_ward_purchases,6,0.014491741230455157,0.01899369135477097,0.01210977339529669,0.02587760931424525,True
