region,minute,net_minus_gross,ci_low,ci_high
NA1,1,-0.0017435081860023155,-0.0018125286395529875,-0.0016744877324516435
NA1,2,-0.0003297673013062351,-0.00036108503312513705,-0.0002984495694873331
NA1,3,-0.0014151274952034915,-0.0014788143921173134,-0.0013514405982896695
NA1,4,-0.0028258229903627696,-0.0029159388864230546,-0.0027357070943024846
NA1,5,-0.003379510864695845,-0.003477966305861322,-0.003281055423530368
NA1,6,-0.0030066162492178305,-0.003101985544684927,-0.002911246953750734
NA1,7,-0.0029881752302735043,-0.0030848234015045696,-0.002891527059042439
NA1,8,-0.002888095037615279,-0.002985151193211129,-0.0027910388820194293
NA1,9,-0.002472481240296004,-0.002567750634210584,-0.002377211846381424
NA1,10,-0.0025697244312447576,-0.0026696994986929136,-0.0024697493637966016
EUW1,1,-0.0016191619366848209,-0.0016964729714747135,-0.0015418509018949283
EUW1,2,-0.00030774083461729274,-0.00033676862148293086,-0.0002787130477516546
EUW1,3,-0.001311715988175699,-0.001371281866412937,-0.001252150109938461
EUW1,4,-0.0029506710149413973,-0.0030399439259357858,-0.002861398103947009
EUW1,5,-0.0033610392175477677,-0.0034585522979120533,-0.003263526137183482
EUW1,6,-0.0030957165833453426,-0.003189993547450942,-0.003001439619239743
EUW1,7,-0.0029185163512602252,-0.0030129190640541814,-0.002824113638466269
EUW1,8,-0.0027571982958643493,-0.0028523053856522383,-0.0026620912060764603
EUW1,9,-0.0023826428047785675,-0.0024754365085315547,-0.0022898491010255803
EUW1,10,-0.0024162288469697923,-0.0025133824191905367,-0.002319075274749048
KR,1,-0.002084900600170962,-0.0021774728713115413,-0.001992328329030383
KR,2,-0.0007011560805951222,-0.0007446679697930735,-0.000657644191397171
KR,3,-0.002928842926658959,-0.0030176870794164203,-0.0028399987739014974
KR,4,-0.005676431579730856,-0.005800782659293322,-0.00555208050016839
KR,5,-0.006499028898533488,-0.006633237311957577,-0.006364820485109398
KR,6,-0.006475136453450991,-0.006610587824262348,-0.006339685082639635
KR,7,-0.006237433141253912,-0.0063741873379015435,-0.00610067894460628
KR,8,-0.00603020153159195,-0.006167988743526154,-0.005892414319657746
KR,9,-0.0054362923943608865,-0.005571832100107392,-0.005300752688614381
KR,10,-0.005654623942735193,-0.00579778694972267,-0.005511460935747716
