region,objective,n_matches,percent,lag_p05,lag_p25,lag_median,lag_p75,lag_p95,within_60_seconds
All,ATAKHAN,4,0.0001809200781031977,673.91565,683.45025,718.0355,769.246,818.6812,0
All,DRAGON,1665674,75.33846754361643,31.635,107.643,164.91,238.867,336.511,161601
All,HORDE,513145,23.20955836956635,1.269,7.382,26.861,65.398,146.12939999999998,370940
All,RIFTHERALD,32098,1.4517931667391102,323.49685,336.612,356.898,391.08525,466.5465,0
All,All assigned objectives,2210921,100.0,5.147,63.17,135.99,217.916,335.253,532541
EUW,ATAKHAN,1,0.00013250789747068926,671.532,671.532,671.532,671.532,671.532,0
EUW,DRAGON,577455,76.51734793393686,36.552,109.6325,163.627,234.25,332.8348999999998,49057
EUW,HORDE,168600,22.340831513558207,1.236,7.221,26.096,64.073,143.61804999999998,123022
EUW,RIFTHERALD,8616,1.1416880446074587,323.04225,336.17625,355.8055,388.7645,463.3595,0
EUW,All assigned objectives,754672,100.0,5.327550000000003,67.88475,137.01049999999998,214.205,330.46944999999994,172079
KR,ATAKHAN,2,0.000265039325209878,690.48425,702.72925,718.0355,733.34175,745.58675,0
KR,DRAGON,548507,72.68796257644728,23.136600000000005,101.957,171.143,254.733,349.34169999999995,70562
KR,HORDE,189305,25.086634729427978,1.336,7.74,28.196,67.831,151.08299999999994,134711
KR,RIFTHERALD,16791,2.2251376547995307,323.9,337.343,359.043,394.651,473.66200000000003,0
KR,All assigned objectives,754605,100.0,4.7492000000000045,52.611,134.565,231.554,349.0133999999998,205273
NA,ATAKHAN,1,0.00014252241877647353,831.04,831.04,831.04,831.04,831.04,0
NA,DRAGON,539712,76.92105968268808,41.329100000000004,109.87275,161.21249999999998,228.588,325.7394499999999,41982
NA,HORDE,155240,22.125180290859753,1.236,7.15475,26.076,63.965250000000005,142.61514999999997,113207
NA,RIFTHERALD,6691,0.9536175040333844,323.22299999999996,335.3405,353.803,385.7285,456.1335,0
NA,All assigned objectives,701644,100.0,5.457,70.21975,136.084,209.43625,323.22684999999996,155189
