region,tier,n_matches,mean_duration,mean_maintenance_difference,mean_absolute_gold_difference,first_game,last_game,sample,sample_fraction
EUW1,BRONZE,114534,1877.8858242967153,-0.005672180508389938,1597.5662074143922,2024-06-05 12:01:56.572000+00:00,2026-03-22 09:54:09.648000+00:00,all_primary_outcomes,0.05180375056367912
EUW1,DIAMOND,107918,1744.5835171148465,-0.0014869847423065494,1641.3541763190572,2024-06-30 23:05:41.182000+00:00,2026-03-30 22:59:11.395000+00:00,all_primary_outcomes,0.04881133247185223
EUW1,EMERALD,106202,1792.4432496563154,-0.005447679135222678,1615.2305606297434,2024-06-19 11:27:45.027000+00:00,2026-03-30 22:22:51.701000+00:00,all_primary_outcomes,0.04803518533678951
EUW1,GOLD,114413,1860.2427958361375,0.0016332487154143208,1584.7856100268327,2024-06-09 22:42:09.831000+00:00,2026-03-30 02:56:37.034000+00:00,all_primary_outcomes,0.0517490222400529
EUW1,IRON,95340,1830.6475351374029,-0.01664265828211371,1692.7651248164464,2024-05-29 18:28:45.999000+00:00,2026-03-30 04:42:11.362000+00:00,all_primary_outcomes,0.043122300615897176
EUW1,PLATINUM,106732,1833.100204249897,-0.0015682677717580966,1589.647359742158,2024-06-26 21:26:49.814000+00:00,2026-03-30 01:22:52.379000+00:00,all_primary_outcomes,0.048274904440276246
EUW1,SILVER,109533,1881.2831658039129,-0.0007865104334271477,1576.4720221303169,2024-06-12 09:09:00.679000+00:00,2026-03-28 15:42:53.798000+00:00,all_primary_outcomes,0.04954179728719389
KR,BRONZE,114818,1768.0209461931056,0.008145626818385193,1683.3317859569056,2024-06-04 05:29:05.683000+00:00,2026-03-22 20:59:03.047000+00:00,all_primary_outcomes,0.05193220381913239
KR,DIAMOND,107434,1654.8308356758569,0.0021891590067425,1699.167656421617,2024-07-12 14:25:30.420000+00:00,2026-03-30 21:33:20.592000+00:00,all_primary_outcomes,0.04859241917734736
KR,EMERALD,105944,1692.4669164841803,0.0003420134270609171,1684.2465831005059,2024-06-17 06:14:53.484000+00:00,2026-03-30 18:19:47.936000+00:00,all_primary_outcomes,0.04791849188641295
KR,GOLD,113877,1752.328793347208,0.017980663215290526,1661.3434231671013,2024-06-18 10:05:57.391000+00:00,2026-03-29 10:19:51.999000+00:00,all_primary_outcomes,0.05150658933539461
KR,IRON,97878,1731.9143116941498,-0.016527602364859204,1790.2474815586752,2024-06-01 01:52:05.104000+00:00,2026-03-13 14:56:01.910000+00:00,all_primary_outcomes,0.044270238511461966
KR,PLATINUM,106095,1729.173354069466,0.005956350767811963,1663.373853621754,2024-06-07 09:18:20.165000+00:00,2026-03-30 05:06:07.606000+00:00,all_primary_outcomes,0.047986789215896906
KR,SILVER,108559,1768.01509778093,0.01649687120500942,1668.1394172753987,2024-06-07 15:12:57.848000+00:00,2026-03-24 09:51:40.375000+00:00,all_primary_outcomes,0.0491012568970126
NA1,BRONZE,110640,1860.183143528561,0.006292348819862483,1580.147921185828,2024-05-29 08:29:43.617000+00:00,2026-03-21 19:03:37.868000+00:00,all_primary_outcomes,0.050042493603344486
NA1,DIAMOND,99888,1740.8015277110364,-0.006473558195233544,1636.0855858561588,2024-07-03 21:41:00.775000+00:00,2026-03-28 20:48:44.384000+00:00,all_primary_outcomes,0.045179361903930536
NA1,EMERALD,97895,1786.7946984013483,-0.0019339104775925897,1597.9639511721743,2024-06-21 14:41:00.248000+00:00,2026-03-28 19:59:35.748000+00:00,all_primary_outcomes,0.04427792761478135
NA1,GOLD,110211,1847.1012966037872,-0.0013201003699352424,1564.5492464454546,2024-05-28 04:55:15.437000+00:00,2026-03-27 04:17:17.399000+00:00,all_primary_outcomes,0.04984845681957881
NA1,IRON,84458,1819.5459873546615,-0.010540771998706813,1681.7938383575267,2024-05-30 02:06:03.654000+00:00,2026-03-23 07:03:38.042000+00:00,all_primary_outcomes,0.038200369891099685
