metric,contrast,estimate,se,ci_low,ci_high,standardized_difference,d_ci_low,d_ci_high,pooled_player_sd,n_a,n_b,log10_p,log10_p_holm,p_value,p_holm,correction_family
enemy_missing_pings_pm,KR-NA,0.157277228785624,0.004672090835345572,0.14816504123087812,0.16605796396779507,0.23101297810975172,0.21740517782028324,0.24420680850425744,0.6808155544876069,42000,42000,-247.6983094698715,-246.39727947420752,2.0030441880e-248,4.0060883761e-247,27 signal by regional comparisons
enemy_vision_pings_pm,KR-NA,0.09884272940836103,0.0052358590426447435,0.08933014550495438,0.10997236818329147,0.13058480837774222,0.11824507635385953,0.14476744347337825,0.7569236470634395,42000,42000,-78.76220392475834,-77.68302267871071,1.7290043075e-79,2.0748051690e-78,27 signal by regional comparisons
command_pings_pm,KR-NA,0.36242793799456635,0.0052351542853208595,0.3518621739191115,0.3727044431429088,0.47681130627937074,0.46290064867284797,0.4905815549412883,0.7601076845736844,42000,42000,-1042.669898934544,-1041.2549255865733,2.1384596764e-1043,5.5599951587e-1042,27 signal by regional comparisons
need_vision_pings_pm,KR-NA,0.054311700210453014,0.0035864033789140453,0.047046183310444314,0.06103721123276211,0.10438579912805336,0.09071424346247892,0.11753889137619415,0.5202977863284558,42000,42000,-51.07942233750001,-50.07942233750001,8.3287085039e-52,8.3287085039e-51,27 signal by regional comparisons
assist_me_pings_pm,KR-NA,0.1342643728443699,0.004347890057246941,0.1255563993613407,0.14242091258085773,0.21337530022371792,0.19937494843859094,0.2265531403332609,0.6292404636506547,42000,42000,-208.65895915810538,-207.38020555715255,2.1930111607e-209,4.1667212053e-208,27 signal by regional comparisons
on_my_way_pings_pm,KR-NA,0.18082351019461212,0.004796930341102797,0.17140396666347374,0.19044022037411115,0.2601535040561912,0.24678448315465684,0.27402394949040926,0.6950646728769627,42000,42000,-310.2329920559096,-308.9107727611757,5.8480078119e-311,1.2280816405e-309,27 signal by regional comparisons
push_pings_pm,KR-NA,-0.12108613606164227,0.0031422463104943932,-0.12703076685026946,-0.11465832956552457,-0.2625862818887921,-0.27374022815344623,-0.24982426643512567,0.46112894851423913,42000,42000,-324.13444815576423,-322.792025474942,7.3375630191e-325,1.6142638642e-323,27 signal by regional comparisons
all_in_pings_pm,KR-NA,-0.07493881756817108,0.004215095608795168,-0.08327962738880328,-0.06662742283041752,-0.12231014925188936,-0.13530428129082137,-0.1094136446432432,0.6126950054965572,42000,42000,-69.9855063864546,-68.94411370129637,1.0339358965e-70,1.1373294861e-69,27 signal by regional comparisons
get_back_pings_pm,KR-NA,0.378593463236052,0.005239717932567054,0.3683883658407062,0.3880481008561826,0.5000328028488485,0.4866596262519506,0.5128365526884617,0.7571372539543059,42000,42000,-1135.6219624637695,-1134.1905986996105,2.3880176712e-1136,6.4476477123e-1135,27 signal by regional comparisons
enemy_missing_pings_pm,KR-EUW,0.11368061445138636,0.004695942413007437,0.1034840226994581,0.12282119607159213,0.16670195638491453,0.1517944295459533,0.1800486260199023,0.6819392940350263,42000,42000,-128.7397423378727,-127.56365107881703,1.8207807874e-129,2.7311711811e-128,27 signal by regional comparisons
enemy_vision_pings_pm,KR-EUW,0.05751541660838079,0.00543473270536616,0.04722244985698563,0.06868396395343092,0.0733061337181258,0.060203426625390806,0.08782618647012246,0.7845921438107358,42000,42000,-25.44662349257515,-24.668472242191505,3.5758270670e-26,2.1454962402e-25,27 signal by regional comparisons
command_pings_pm,KR-EUW,0.26860358882236646,0.00533180653907319,0.2581154479531396,0.2788530303547565,0.34695907262082604,0.33346533486838226,0.36027825412110837,0.7741650529366895,42000,42000,-552.8988957080034,-551.5371678719857,1.2621305878e-553,2.9029003518e-552,27 signal by regional comparisons
need_vision_pings_pm,KR-EUW,0.004077170200547781,0.003762087312342753,-0.0030661046418704726,0.011581532160145052,0.007480867603730025,-0.005647937244292242,0.021201257672210615,0.5450130140673616,42000,42000,-0.5552142430941198,-0.5552142430941198,2.7847470779e-1,2.7847470779e-1,27 signal by regional comparisons
assist_me_pings_pm,KR-EUW,0.01231070241575434,0.004567547769630715,0.0032334246016754637,0.02129079554664384,0.018635994782497233,0.0048872426069318286,0.032200374988757934,0.6605873504169709,42000,42000,-2.152828847197383,-1.8517988515334016,7.0334945099e-3,1.4066989020e-2,27 signal by regional comparisons
on_my_way_pings_pm,KR-EUW,0.12142905315150587,0.004861812030369194,0.11196514548369589,0.13069423533930033,0.1726195984551563,0.15915457662282742,0.18593117206017828,0.7034488217921046,42000,42000,-136.95382427299018,-135.74970429033425,1.1121816543e-137,1.7794906469e-136,27 signal by regional comparisons
push_pings_pm,KR-EUW,-0.2143310958851008,0.003505374006023773,-0.2211727642064761,-0.20747599274039008,-0.4158184829430632,-0.4266137737608195,-0.40437205704082996,0.5154438888048383,42000,42000,-813.6974509448473,-812.3172397031358,2.0070077761e-814,4.8168186626e-813,27 signal by regional comparisons
all_in_pings_pm,KR-EUW,-0.13607527839009817,0.0044336037684658105,-0.14478694336145503,-0.12754339126343378,-0.21104962881280395,-0.22449915570907097,-0.19839569613598101,0.6447548813781319,42000,42000,-206.13532528491922,-204.8800527798159,7.3227585585e-207,1.3180965405e-205,27 signal by regional comparisons
