measure,contrast,type,estimate,ci_low,ci_high,se,family,log10_p,log10_p_holm,p_value,p_holm
overall,KR-NA TOP,position_regional,0.15068784318654815,0.1425191342507203,0.15837306437848703,0.004186264362834214,position_regional_processes,-283.0114668890676,-281.58010312490865,9.7394203656e-284,2.6296434987e-282
overall,KR-EUW TOP,position_regional,0.08795381864697971,0.07953271510318477,0.09661826871662488,0.004364405037864224,position_regional_processes,-89.59229005282599,-88.24986737200378,2.5568776513e-90,5.6251308328e-89
overall,EUW-NA TOP,position_regional,0.06273402453956844,0.05351131184556075,0.0715019884053688,0.004436176684852566,position_regional_processes,-44.6760111498935,-43.47189116723757,2.1085740146e-45,3.3737184234e-44
overall,KR-NA JUNGLE,position_regional,0.4071195947004197,0.39331546435342263,0.42155853791401565,0.006835878012641392,position_regional_processes,-772.084113009122,-770.515911285055,8.2392369136e-773,3.0485176580e-771
overall,KR-EUW JUNGLE,position_regional,0.3171563389527044,0.3041991305872674,0.3317374013152965,0.007092047741291235,position_regional_processes,-436.0167566824844,-434.51160670416454,9.6215118154e-437,3.0788837809e-435
overall,EUW-NA JUNGLE,position_regional,0.0899632557477153,0.07566113237295112,0.10290799223955743,0.0069960182427764835,position_regional_processes,-37.11716420262905,-36.003220850322215,7.6354703909e-38,9.9261115082e-37
overall,KR-NA MIDDLE,position_regional,0.26577317964416675,0.25607367522062363,0.27532318639502373,0.004897829448665675,position_regional_processes,-641.227814944811,-639.6837469004607,5.9181375545e-642,2.0713481441e-640
overall,KR-EUW MIDDLE,position_regional,0.20007624814613512,0.18989939093209054,0.2104979811783956,0.00510635098460397,position_regional_processes,-335.0595426985652,-333.612384667223,8.7188117626e-336,2.4412672935e-334
overall,EUW-NA MIDDLE,position_regional,0.06569693149803163,0.055426764194867174,0.07552825043173263,0.005126466113549544,position_regional_processes,-36.87060648929602,-35.7914252432484,1.3470803798e-37,1.6164964558e-36
overall,KR-NA BOTTOM,position_regional,0.2640495944075916,0.2543682425562514,0.2741133186946692,0.005109205324092226,position_regional_processes,-581.7990268882336,-580.2675479711913,1.5884484008e-582,5.4007245628e-581
overall,KR-EUW BOTTOM,position_regional,0.20870050021185071,0.19742863650882936,0.21869933188862603,0.005274239352125436,position_regional_processes,-341.6978213482965,-340.2354233503975,2.0052967581e-342,5.8153605985e-341
overall,EUW-NA BOTTOM,position_regional,0.05534909419574091,0.044802294599401965,0.0661589265430418,0.005232546561532014,position_regional_processes,-25.423059528863984,-24.64490827848034,3.7752044055e-26,2.2651226433e-25
overall,KR-NA UTILITY,position_regional,0.46300392111265004,0.4477466030182911,0.47757211424039836,0.007247780815922951,position_regional_processes,-888.0664202883646,-886.4643602970367,8.5818261353e-889,3.4327304541e-887
overall,KR-EUW UTILITY,position_regional,0.33011076497027947,0.3156232161905252,0.34532097860688005,0.0075601818942305785,position_regional_processes,-415.74686036207595,-414.25549866824167,1.7911816769e-416,5.5526631983e-415
overall,EUW-NA UTILITY,position_regional,0.13289315614237057,0.11788605965187542,0.1485981283310297,0.00756308408623018,position_regional_processes,-68.38853259358793,-67.1097789926351,4.0875907379e-69,7.7664224020e-68
shared_information_maintenance,KR-NA TOP,position_regional,0.1669087617562165,0.16036437750046525,0.17307865417312826,0.003250707561130729,position_regional_processes,-574.2840652137794,-572.7655512739016,5.1991791965e-575,1.7157291349e-573
shared_information_maintenance,KR-EUW TOP,position_regional,0.14254653594415134,0.13572444924779067,0.14902430745482806,0.003325681004289808,position_regional_processes,-400.6693509972237,-399.1922297425041,2.1411594145e-401,6.4234782435e-400
shared_information_maintenance,EUW-NA TOP,position_regional,0.024362225812065152,0.0180810093427144,0.030713890209276964,0.003280975718365836,position_regional_processes,-12.948749418857272,-12.249779414521253,1.1252540407e-13,5.6262702037e-13
shared_information_maintenance,KR-NA JUNGLE,position_regional,0.5197923302079264,0.5087658343297035,0.5300508156396717,0.005445385568355859,position_regional_processes,-1980.6723178771947,-1979.0191053634194,2.1265819473e-1981,9.5696187629e-1980
shared_information_maintenance,KR-EUW JUNGLE,position_regional,0.49430252994687945,0.48348924059235654,0.5053093675957344,0.005540886560940452,position_regional_processes,-1730.1986423140272,-1728.555189637541,6.3293292184e-1731,2.7849048561e-1729
shared_information_maintenance,EUW-NA JUNGLE,position_regional,0.025489800261046913,0.015869070043620735,0.0354422360119069,0.0049873990735836435,position_regional_processes,-6.493861776296874,-6.016740521577211,3.2072899521e-7,9.6218698564e-7
shared_information_maintenance,KR-NA MIDDLE,position_regional,0.297167984476031,0.289451102894527,0.30549220102677893,0.0040677422842605076,position_regional_processes,-1160.876547165988,-1159.2430787104086,1.3287792389e-1161,5.7137507275e-1160
shared_information_maintenance,KR-EUW MIDDLE,position_regional,0.27599455152334534,0.26756262880983883,0.2844453455179167,0.004237005667637194,position_regional_processes,-923.2887408743867,-921.675957017667,5.1435045176e-924,2.1088368522e-922
shared_information_maintenance,EUW-NA MIDDLE,position_regional,0.021173432952685645,0.0130570339537263,0.029064075062371783,0.004009700553384269,position_regional_processes,-6.890100508414961,-6.288040517086999,1.2879514477e-7,5.1518057906e-7
shared_information_maintenance,KR-NA BOTTOM,position_regional,0.2591612170837803,0.250820733255468,0.2670320155873752,0.004119353108729072,position_regional_processes,-861.3779397883721,-859.7868751813456,4.1885163169e-862,1.6335213636e-860
shared_information_maintenance,KR-EUW BOTTOM,position_regional,0.24908518217726328,0.24089319837022166,0.2566213318109118,0.0041558803395040705,position_regional_processes,-781.9287228821686,-780.3489392855518,1.1783576288e-782,4.4777589895e-781
shared_information_maintenance,EUW-NA BOTTOM,position_regional,0.01007603490651704,0.00215133746604268,0.017845002595803367,0.003996415798307832,position_regional_processes,-1.9320637052835117,-1.9320637052835117,1.1693278534e-2,1.1693278534e-2
shared_information_maintenance,KR-NA UTILITY,position_regional,0.631576732570371,0.6132042946282402,0.648987553636729,0.009170934599750985,position_regional_processes,-1031.798954401882,-1030.175705111484,1.5887135445e-1032,6.6725968869e-1031
shared_information_maintenance,KR-EUW UTILITY,position_regional,0.5208169606486206,0.5033180778486798,0.5396444862856876,0.009365373148239455,position_regional_processes,-673.387218629912,-671.8309161291447,4.0999765248e-674,1.4759915489e-672
shared_information_maintenance,EUW-NA UTILITY,position_regional,0.11075977192175035,0.0925051540438738,0.12931214857367507,0.009267429866788936,position_regional_processes,-32.19547274249975,-31.241230233060428,6.3756909535e-33,5.7381218581e-32
team_signalling,KR-NA TOP,position_regional,0.13446692461687987,0.12058423701060889,0.147984024112662,0.0069661534417795705,position_regional_processes,-82.29427878172535,-80.97205948699144,5.0783335021e-83,1.0664500354e-81
team_signalling,KR-EUW TOP,position_regional,0.033361101349808076,0.019372673108154527,0.047695960660298665,0.0072891685496669755,position_regional_processes,-5.3259368385462365,-5.024906842882255,4.7213170057e-6,9.4426340113e-6
team_signalling,EUW-NA TOP,position_regional,0.10110582326707179,0.08577275158016757,0.11603703568687734,0.00752832870228702,position_regional_processes,-40.39453901190096,-39.24841097622272,4.0314473104e-41,5.6440262346e-40
team_signalling,KR-NA JUNGLE,position_regional,0.294446859192913,0.27243977457184904,0.31780069110976905,0.011744933942526525,position_regional_processes,-137.97727512578004,-136.61554728976245,1.0537191533e-138,2.4235540525e-137
team_signalling,KR-EUW JUNGLE,position_regional,0.14001014795852934,0.11655554085908175,0.16549302423269852,0.012261100613677644,position_regional_processes,-29.47381993466002,-28.570729947668077,3.3587684521e-30,2.6870147617e-29
team_signalling,EUW-NA JUNGLE,position_regional,0.15443671123438368,0.12976935864526495,0.1778414095749623,0.0125600348456919,position_regional_processes,-34.020860359679446,-33.020860359679446,9.5310256938e-35,9.5310256938e-34
team_signalling,KR-NA MIDDLE,position_regional,0.2343783748123025,0.2183404225532651,0.2508330769407562,0.008206680219142063,position_regional_processes,-178.66894401882067,-177.28873277710906,2.1431668406e-179,5.1436004174e-178
team_signalling,KR-EUW MIDDLE,position_regional,0.12415794476892493,0.10759589351537821,0.14101497419581266,0.008573130904222383,position_regional_processes,-46.8042352311114,-45.57378630973312,1.5695124639e-47,2.6681711886e-46
team_signalling,EUW-NA MIDDLE,position_regional,0.11022043004337756,0.09342568851136548,0.12700081694788365,0.008782253675519061,position_regional_processes,-35.40261689339619,-34.36122420823797,3.9571554090e-36,4.3528709499e-35
team_signalling,KR-NA BOTTOM,position_regional,0.2689379717314029,0.2527183642628905,0.28568779793898025,0.008666912151313497,position_regional_processes,-210.67861938961482,-209.2806793809428,2.0959485149e-211,5.2398712872e-210
team_signalling,KR-EUW BOTTOM,position_regional,0.1683158182464381,0.15044076744765783,0.18514145703074653,0.008987512618258881,position_regional_processes,-77.53146266298623,-76.23043266732225,2.9412865501e-78,5.8825731003e-77
