region,tier,n_records,n_players,n_matches
EUW,BRONZE,52594,4931,51159
EUW,DIAMOND,91839,5832,83161
EUW,EMERALD,85765,5459,81590
EUW,GOLD,73888,5347,72221
EUW,IRON,78482,5411,66870
EUW,PLATINUM,83307,5506,80825
EUW,SILVER,65289,5194,63887
KR,BRONZE,47477,5026,46515
KR,DIAMOND,88327,5872,79915
KR,EMERALD,79950,5378,76461
KR,GOLD,72317,5435,70892
KR,IRON,72200,5503,63148
KR,PLATINUM,79849,5524,77744
KR,SILVER,62447,5304,61175
NA,BRONZE,46301,4712,43995
NA,DIAMOND,82109,5833,69847
NA,EMERALD,76683,5404,70835
NA,GOLD,64124,5225,61708
NA,IRON,71158,5305,55165
NA,PLATINUM,74569,5448,70763
NA,SILVER,55795,5047,53824
