measure,contrast,estimate,ci_low,ci_high,se,z,p_value,log10_p,standardized_difference,d_ci_low,d_ci_high,pooled_player_sd,p_holm,correction_family,log10_p_holm
overall,KR-NA,0.3068900430428817,0.300847101889395,0.3129242347866384,0.003069555370394844,99.97866336042205,2.2704890314e-2173,-2172.643880591815,0.6912633833778501,0.6759730067050107,0.7053744647703425,0.4439553004287125,2.2704890314e-2172,12 primary regional and between-process comparisons,-2171.643880591815
maintenance,KR-NA,0.37050255474279803,0.3644273084163742,0.37629480582039915,0.0028529436382536185,129.86676279717707,3.3001451548e-3665,-3664.48146695754,0.8889548952196735,0.8742870207233248,0.9028767188220583,0.4167844248737069,3.9601741857e-3664,12 primary regional and between-process comparisons,-3663.4022857114924
signalling,KR-NA,0.24327753134296537,0.23409924021104395,0.2522919531383008,0.004895206296312645,49.69709479378146,7.8507364423e-539,-538.1050896021313,0.3426268596782943,0.3284378339058664,0.35600724468517236,0.7100363689273751,6.2805891538e-538,12 primary regional and between-process comparisons,-537.2019996151394
overall,KR-EUW,0.22552428282962622,0.2188563672253614,0.2319489789221351,0.0031751598309149773,71.02769461675808,3.6062609315e-1098,-1097.4429428530368,0.49058465187075045,0.47589845580245455,0.5045181362349483,0.4597051333946805,3.2456348384e-1097,12 primary regional and between-process comparisons,-1096.4887003435974
maintenance,KR-EUW,0.3316189205327468,0.3256622345018252,0.33724013428912486,0.0029320074180382814,113.1030291712642,1.0884840955e-2780,-2779.963177912308,0.7736951954697896,0.758982563248594,0.7881957882691364,0.4286170089648637,1.1973325051e-2779,12 primary regional and between-process comparisons,-2778.9217852271495
signalling,KR-EUW,0.11942964512650564,0.10901001802824262,0.12930113841887148,0.005076689938155595,23.52510131235146,2.2581080144e-122,-121.64625528785713,0.16233479450544894,0.14824890671183646,0.1758160666024344,0.73569961073562,6.7743240432e-122,12 primary regional and between-process comparisons,-121.16913403313747
overall,EUW-NA,0.08136576021325548,0.07486416527887003,0.08754941135350172,0.0031201018713660346,26.077917826968946,6.4916680036e-150,-149.18764369893157,0.180111705815203,0.16595934098780074,0.19370050940416708,0.45175164959426806,3.8950008022e-149,12 primary regional and between-process comparisons,-148.40949244854792
maintenance,EUW-NA,0.03888363421005121,0.033813664724981395,0.04414846799353685,0.002803052300759213,13.871890367339736,9.3772465294e-44,-43.027924666165056,0.09544483600798531,0.08307087646977666,0.10824947374227605,0.4073937976780435,9.3772465294e-44,12 primary regional and between-process comparisons,-43.027924666165056
signalling,EUW-NA,0.12384788621645974,0.1133874782045413,0.1340347840963037,0.00507145116347485,24.420601170021285,1.0334245976e-131,-130.98572120556054,0.16846420016458766,0.15467707891866583,0.18163323245604335,0.735158485277357,4.1336983906e-131,12 primary regional and between-process comparisons,-130.38366121423257
maintenance_minus_signalling,KR-NA,0.1272250233998326,0.11742366704238694,0.13710022268953406,0.005149367289807766,24.706923441186913,9.0110193731e-135,-134.0452260766049,,,,,4.5055096865e-134,12 primary regional and between-process comparisons,-133.3462560722689
maintenance_minus_signalling,KR-EUW,0.21218927540624116,0.20191209415511815,0.22266388376838708,0.005330322377472064,39.8079628922694,1.5636127200e-346,-345.8058708052263,,,,,1.0945289040e-345,12 primary regional and between-process comparisons,-344.960772765212
maintenance_minus_signalling,EUW-NA,-0.08496425200640853,-0.09496195705745872,-0.07430877006409936,0.005311618911198027,-15.995923922043001,1.3641931864e-57,-56.865124123916495,,,,,2.7283863729e-57,12 primary regional and between-process comparisons,-56.56409412825251
