region,measure,estimate,ci_low,ci_high,n_players,n_records,distribution_mean
NA,overall,-0.12731883612731124,-0.13144462050478517,-0.12305050511599454,42000,839998,-0.12731985225472198
NA,maintenance,-0.1384552679182404,-0.14241509910401604,-0.13499343832682084,42000,839998,-0.138456167980894
NA,signalling,-0.11618240433638206,-0.12243624983622564,-0.10946190579268142,42000,839998,-0.11618353652854997
NA,indicator_equal_weight,-0.07506015975249362,-0.07791877255358728,-0.07199146249082918,42000,839998,-0.07506077139292397
EUW,overall,-0.04595307591405575,-0.05051756814859898,-0.04159244910505206,42000,839996,-0.045953782364899894
EUW,maintenance,-0.09957163370818918,-0.10334567022460114,-0.0956812828365478,42000,839996,-0.09957257343177982
EUW,signalling,0.007665481880077675,5.482345820665299e-05,0.014814294397214857,42000,839996,0.007665008701980027
EUW,indicator_equal_weight,-0.018150650631485864,-0.021511002563891032,-0.014942570565191654,42000,839996,-0.018151029343485343
KR,overall,0.17957120691557046,0.17499441092003373,0.18410693872211178,42000,840000,0.17957120691558182
KR,maintenance,0.2320472868245576,0.22767208970764405,0.23595274532841012,42000,840000,0.23204728682458994
KR,signalling,0.12709512700658332,0.1204139996781798,0.1339344161542839,42000,840000,0.1270951270065737
KR,indicator_equal_weight,0.09953931826882807,0.09649699906136579,0.10263575182449121,42000,840000,0.09953931826883779
