region,patch,field,n_participants,field_absent,null_value,invalid_value,observed_zero
EUW,14.10,allInPings,50,0,0,0,45
EUW,14.10,assistMePings,50,0,0,0,32
EUW,14.10,commandPings,50,0,0,0,36
EUW,14.10,enemyMissingPings,50,0,0,0,21
EUW,14.10,enemyVisionPings,50,0,0,0,44
EUW,14.10,getBackPings,50,0,0,0,39
EUW,14.10,needVisionPings,50,0,0,0,48
EUW,14.10,onMyWayPings,50,0,0,0,24
EUW,14.10,pushPings,50,0,0,0,47
EUW,14.11,allInPings,670,0,0,0,543
EUW,14.11,assistMePings,670,0,0,0,311
EUW,14.11,commandPings,670,0,0,0,231
EUW,14.11,enemyMissingPings,670,0,0,0,223
EUW,14.11,enemyVisionPings,670,0,0,0,439
EUW,14.11,getBackPings,670,0,0,0,464
EUW,14.11,needVisionPings,670,0,0,0,576
EUW,14.11,onMyWayPings,670,0,0,0,183
EUW,14.11,pushPings,670,0,0,0,569
EUW,14.12,allInPings,2960,0,0,0,2425
EUW,14.12,assistMePings,2960,0,0,0,1346
EUW,14.12,commandPings,2960,0,0,0,922
EUW,14.12,enemyMissingPings,2960,0,0,0,879
EUW,14.12,enemyVisionPings,2960,0,0,0,1892
EUW,14.12,getBackPings,2960,0,0,0,1972
EUW,14.12,needVisionPings,2960,0,0,0,2519
EUW,14.12,onMyWayPings,2960,0,0,0,765
EUW,14.12,pushPings,2960,0,0,0,2560
EUW,14.13,allInPings,6410,0,0,0,5237
EUW,14.13,assistMePings,6410,0,0,0,2752
EUW,14.13,commandPings,6410,0,0,0,1910
EUW,14.13,enemyMissingPings,6410,0,0,0,1718
EUW,14.13,enemyVisionPings,6410,0,0,0,3866
EUW,14.13,getBackPings,6410,0,0,0,4240
EUW,14.13,needVisionPings,6410,0,0,0,5437
EUW,14.13,onMyWayPings,6410,0,0,0,1386
EUW,14.13,pushPings,6410,0,0,0,5533
EUW,14.14,allInPings,3880,0,0,0,3126
EUW,14.14,assistMePings,3880,0,0,0,1628
EUW,14.14,commandPings,3880,0,0,0,1157
EUW,14.14,enemyMissingPings,3880,0,0,0,997
EUW,14.14,enemyVisionPings,3880,0,0,0,2341
EUW,14.14,getBackPings,3880,0,0,0,2569
EUW,14.14,needVisionPings,3880,0,0,0,3289
EUW,14.14,onMyWayPings,3880,0,0,0,826
EUW,14.14,pushPings,3880,0,0,0,3338
EUW,14.15,allInPings,4050,0,0,0,3282
EUW,14.15,assistMePings,4050,0,0,0,1713
EUW,14.15,commandPings,4050,0,0,0,1125
EUW,14.15,enemyMissingPings,4050,0,0,0,1076
EUW,14.15,enemyVisionPings,4050,0,0,0,2398
EUW,14.15,getBackPings,4050,0,0,0,2609
EUW,14.15,needVisionPings,4050,0,0,0,3495
EUW,14.15,onMyWayPings,4050,0,0,0,902
EUW,14.15,pushPings,4050,0,0,0,3484
EUW,14.16,allInPings,5420,0,0,0,4437
EUW,14.16,assistMePings,5420,0,0,0,2346
EUW,14.16,commandPings,5420,0,0,0,1604
EUW,14.16,enemyMissingPings,5420,0,0,0,1508
EUW,14.16,enemyVisionPings,5420,0,0,0,3274
EUW,14.16,getBackPings,5420,0,0,0,3507
EUW,14.16,needVisionPings,5420,0,0,0,4601
EUW,14.16,onMyWayPings,5420,0,0,0,1214
EUW,14.16,pushPings,5420,0,0,0,4694
EUW,14.17,allInPings,6000,0,0,0,4880
EUW,14.17,assistMePings,6000,0,0,0,2533
EUW,14.17,commandPings,6000,0,0,0,1632
EUW,14.17,enemyMissingPings,6000,0,0,0,1614
EUW,14.17,enemyVisionPings,6000,0,0,0,3520
EUW,14.17,getBackPings,6000,0,0,0,3901
EUW,14.17,needVisionPings,6000,0,0,0,5001
EUW,14.17,onMyWayPings,6000,0,0,0,1289
EUW,14.17,pushPings,6000,0,0,0,5182
EUW,14.18,allInPings,6900,0,0,0,5607
EUW,14.18,assistMePings,6900,0,0,0,2935
EUW,14.18,commandPings,6900,0,0,0,1936
EUW,14.18,enemyMissingPings,6900,0,0,0,1890
EUW,14.18,enemyVisionPings,6900,0,0,0,4192
EUW,14.18,getBackPings,6900,0,0,0,4498
EUW,14.18,needVisionPings,6900,0,0,0,5783
EUW,14.18,onMyWayPings,6900,0,0,0,1516
EUW,14.18,pushPings,6900,0,0,0,5934
EUW,14.19,allInPings,6980,0,0,0,5581
EUW,14.19,assistMePings,6980,0,0,0,2895
EUW,14.19,commandPings,6980,0,0,0,1941
EUW,14.19,enemyMissingPings,6980,0,0,0,1772
EUW,14.19,enemyVisionPings,6980,0,0,0,4091
EUW,14.19,getBackPings,6980,0,0,0,4386
EUW,14.19,needVisionPings,6980,0,0,0,5892
EUW,14.19,onMyWayPings,6980,0,0,0,1427
EUW,14.19,pushPings,6980,0,0,0,5928
EUW,14.20,allInPings,7200,0,0,0,5878
EUW,14.20,assistMePings,7200,0,0,0,3126
EUW,14.20,commandPings,7200,0,0,0,2100
EUW,14.20,enemyMissingPings,7200,0,0,0,1969
EUW,14.20,enemyVisionPings,7200,0,0,0,4412
EUW,14.20,getBackPings,7200,0,0,0,4687
EUW,14.20,needVisionPings,7200,0,0,0,6124
EUW,14.20,onMyWayPings,7200,0,0,0,1680
EUW,14.20,pushPings,7200,0,0,0,6231
EUW,14.21,allInPings,8820,0,0,0,7185
EUW,14.21,assistMePings,8820,0,0,0,3850
EUW,14.21,commandPings,8820,0,0,0,2397
EUW,14.21,enemyMissingPings,8820,0,0,0,2380
EUW,14.21,enemyVisionPings,8820,0,0,0,5277
EUW,14.21,getBackPings,8820,0,0,0,5645
EUW,14.21,needVisionPings,8820,0,0,0,7435
EUW,14.21,onMyWayPings,8820,0,0,0,1794
EUW,14.21,pushPings,8820,0,0,0,7618
EUW,14.22,allInPings,11000,0,0,0,8976
EUW,14.22,assistMePings,11000,0,0,0,4740
EUW,14.22,commandPings,11000,0,0,0,3069
EUW,14.22,enemyMissingPings,11000,0,0,0,3097
EUW,14.22,enemyVisionPings,11000,0,0,0,6656
EUW,14.22,getBackPings,11000,0,0,0,7151
EUW,14.22,needVisionPings,11000,0,0,0,9237
EUW,14.22,onMyWayPings,11000,0,0,0,2327
EUW,14.22,pushPings,11000,0,0,0,9461
EUW,14.23,allInPings,16660,0,0,0,13448
EUW,14.23,assistMePings,16660,0,0,0,7106
EUW,14.23,commandPings,16660,0,0,0,4716
EUW,14.23,enemyMissingPings,16660,0,0,0,4585
EUW,14.23,enemyVisionPings,16660,0,0,0,9929
EUW,14.23,getBackPings,16660,0,0,0,10926
EUW,14.23,needVisionPings,16660,0,0,0,13961
EUW,14.23,onMyWayPings,16660,0,0,0,3570
EUW,14.23,pushPings,16660,0,0,0,14264
EUW,14.24,allInPings,23460,0,0,0,18996
EUW,14.24,assistMePings,23460,0,0,0,10078
EUW,14.24,commandPings,23460,0,0,0,6819
EUW,14.24,enemyMissingPings,23460,0,0,0,6636
EUW,14.24,enemyVisionPings,23460,0,0,0,14207
EUW,14.24,getBackPings,23460,0,0,0,15142
EUW,14.24,needVisionPings,23460,0,0,0,19752
EUW,14.24,onMyWayPings,23460,0,0,0,5021
EUW,14.24,pushPings,23460,0,0,0,20040
EUW,15.1,allInPings,18680,0,0,0,14931
EUW,15.1,assistMePings,18680,0,0,0,7728
EUW,15.1,commandPings,18680,0,0,0,4915
EUW,15.1,enemyMissingPings,18680,0,0,0,5126
EUW,15.1,enemyVisionPings,18680,0,0,0,10748
EUW,15.1,getBackPings,18680,0,0,0,12000
EUW,15.1,needVisionPings,18680,0,0,0,15604
EUW,15.1,onMyWayPings,18680,0,0,0,3787
EUW,15.1,pushPings,18680,0,0,0,16051
EUW,15.10,allInPings,17570,0,0,0,14068
EUW,15.10,assistMePings,17570,0,0,0,7512
EUW,15.10,commandPings,17570,0,0,0,4724
EUW,15.10,enemyMissingPings,17570,0,0,0,4534
EUW,15.10,enemyVisionPings,17570,0,0,0,10001
EUW,15.10,getBackPings,17570,0,0,0,11372
EUW,15.10,needVisionPings,17570,0,0,0,14600
EUW,15.10,onMyWayPings,17570,0,0,0,3679
EUW,15.10,pushPings,17570,0,0,0,14984
EUW,15.11,allInPings,19620,0,0,0,15693
EUW,15.11,assistMePings,19620,0,0,0,8234
EUW,15.11,commandPings,19620,0,0,0,5092
EUW,15.11,enemyMissingPings,19620,0,0,0,5055
EUW,15.11,enemyVisionPings,19620,0,0,0,10950
EUW,15.11,getBackPings,19620,0,0,0,12292
EUW,15.11,needVisionPings,19620,0,0,0,16520
EUW,15.11,onMyWayPings,19620,0,0,0,3949
EUW,15.11,pushPings,19620,0,0,0,16849
EUW,15.12,allInPings,24720,0,0,0,19637
EUW,15.12,assistMePings,24720,0,0,0,10321
EUW,15.12,commandPings,24720,0,0,0,6410
EUW,15.12,enemyMissingPings,24720,0,0,0,6260
EUW,15.12,enemyVisionPings,24720,0,0,0,13562
EUW,15.12,getBackPings,24720,0,0,0,15597
EUW,15.12,needVisionPings,24720,0,0,0,20441
EUW,15.12,onMyWayPings,24720,0,0,0,4836
EUW,15.12,pushPings,24720,0,0,0,20933
EUW,15.13,allInPings,33100,0,0,0,26185
EUW,15.13,assistMePings,33100,0,0,0,13864
EUW,15.13,commandPings,33100,0,0,0,8668
EUW,15.13,enemyMissingPings,33100,0,0,0,8462
EUW,15.13,enemyVisionPings,33100,0,0,0,18342
EUW,15.13,getBackPings,33100,0,0,0,20953
EUW,15.13,needVisionPings,33100,0,0,0,27310
EUW,15.13,onMyWayPings,33100,0,0,0,6670
EUW,15.13,pushPings,33100,0,0,0,28089
EUW,15.14,allInPings,29140,0,0,0,23123
EUW,15.14,assistMePings,29140,0,0,0,12249
EUW,15.14,commandPings,29140,0,0,0,7765
EUW,15.14,enemyMissingPings,29140,0,0,0,7514
EUW,15.14,enemyVisionPings,29140,0,0,0,16113
EUW,15.14,getBackPings,29140,0,0,0,18329
EUW,15.14,needVisionPings,29140,0,0,0,24160
EUW,15.14,onMyWayPings,29140,0,0,0,5900
EUW,15.14,pushPings,29140,0,0,0,24585
EUW,15.15,allInPings,26100,0,0,0,20659
EUW,15.15,assistMePings,26100,0,0,0,10894
EUW,15.15,commandPings,26100,0,0,0,7053
EUW,15.15,enemyMissingPings,26100,0,0,0,6738
EUW,15.15,enemyVisionPings,26100,0,0,0,14457
EUW,15.15,getBackPings,26100,0,0,0,16372
EUW,15.15,needVisionPings,26100,0,0,0,21588
EUW,15.15,onMyWayPings,26100,0,0,0,5296
EUW,15.15,pushPings,26100,0,0,0,22058
EUW,15.16,allInPings,30070,0,0,0,23639
EUW,15.16,assistMePings,30070,0,0,0,12391
EUW,15.16,commandPings,30070,0,0,0,7923
EUW,15.16,enemyMissingPings,30070,0,0,0,7504
EUW,15.16,enemyVisionPings,30070,0,0,0,16508
EUW,15.16,getBackPings,30070,0,0,0,18834
EUW,15.16,needVisionPings,30070,0,0,0,24811
EUW,15.16,onMyWayPings,30070,0,0,0,5924
EUW,15.16,pushPings,30070,0,0,0,25532
EUW,15.17,allInPings,32070,0,0,0,25083
EUW,15.17,assistMePings,32070,0,0,0,13174
EUW,15.17,commandPings,32070,0,0,0,8603
EUW,15.17,enemyMissingPings,32070,0,0,0,8138
EUW,15.17,enemyVisionPings,32070,0,0,0,17709
EUW,15.17,getBackPings,32070,0,0,0,19940
EUW,15.17,needVisionPings,32070,0,0,0,26336
EUW,15.17,onMyWayPings,32070,0,0,0,6397
EUW,15.17,pushPings,32070,0,0,0,27079
EUW,15.18,allInPings,38490,0,0,0,30114
EUW,15.18,assistMePings,38490,0,0,0,15728
EUW,15.18,commandPings,38490,0,0,0,10033
EUW,15.18,enemyMissingPings,38490,0,0,0,9756
EUW,15.18,enemyVisionPings,38490,0,0,0,21198
EUW,15.18,getBackPings,38490,0,0,0,24026
EUW,15.18,needVisionPings,38490,0,0,0,31579
EUW,15.18,onMyWayPings,38490,0,0,0,7579
EUW,15.18,pushPings,38490,0,0,0,32450
EUW,15.19,allInPings,43270,0,0,0,33917
EUW,15.19,assistMePings,43270,0,0,0,17873
EUW,15.19,commandPings,43270,0,0,0,11438
EUW,15.19,enemyMissingPings,43270,0,0,0,11014
EUW,15.19,enemyVisionPings,43270,0,0,0,23967
EUW,15.19,getBackPings,43270,0,0,0,27266
EUW,15.19,needVisionPings,43270,0,0,0,35554
EUW,15.19,onMyWayPings,43270,0,0,0,8544
EUW,15.19,pushPings,43270,0,0,0,36629
EUW,15.2,allInPings,15040,0,0,0,12057
EUW,15.2,assistMePings,15040,0,0,0,6223
EUW,15.2,commandPings,15040,0,0,0,4024
EUW,15.2,enemyMissingPings,15040,0,0,0,4016
