region,patch,canonical,downloaded,identity_verified,parsed,valid_window,eligible,usable_primary_outcome
EUW1,14.10,485,5,5,5,5,5,5
EUW1,14.11,403,66,66,66,66,66,63
EUW1,14.12,411,292,292,292,292,292,262
EUW1,14.13,681,641,641,641,641,641,597
EUW1,14.14,402,399,399,399,399,399,375
EUW1,14.15,405,402,402,402,402,402,380
EUW1,14.16,542,540,540,540,540,540,514
EUW1,14.17,605,603,603,603,603,603,567
EUW1,14.18,696,695,695,695,695,695,653
EUW1,14.19,711,709,709,709,709,709,670
EUW1,14.20,722,722,722,722,722,722,680
EUW1,14.21,886,886,886,886,886,886,841
EUW1,14.22,1101,1095,1095,1095,1095,1095,1031
EUW1,14.23,1686,1679,1679,1679,1679,1679,1610
EUW1,14.24,2355,2352,2352,2352,2352,2352,2228
EUW1,14.5,31,0,0,0,0,0,0
EUW1,14.6,278,0,0,0,0,0,0
EUW1,14.7,334,0,0,0,0,0,0
EUW1,14.8,341,0,0,0,0,0,0
EUW1,14.9,369,0,0,0,0,0,0
EUW1,15.1,1871,1859,1859,1859,1859,1859,1854
EUW1,15.10,1765,1762,1762,1762,1762,1762,1755
EUW1,15.11,1981,1974,1974,1974,1974,1974,1965
EUW1,15.12,2482,2480,2480,2480,2480,2480,2466
EUW1,15.13,3327,3309,3309,3309,3309,3309,3291
EUW1,15.14,2918,2903,2903,2903,2903,2903,2885
EUW1,15.15,2624,2606,2606,2606,2606,2606,2592
EUW1,15.16,3010,3002,3002,3002,3002,3002,2988
EUW1,15.17,3208,3199,3199,3199,3199,3199,3186
EUW1,15.18,3851,3816,3816,3816,3816,3816,3799
EUW1,15.19,4347,4334,4334,4334,4334,4334,4315
EUW1,15.2,1505,1498,1498,1498,1498,1498,1493
EUW1,15.20,4917,4891,4891,4891,4891,4891,4871
EUW1,15.21,6205,6188,6188,6187,6187,6187,6175
EUW1,15.22,8175,8138,8138,8138,8135,8135,8103
EUW1,15.23,10027,9999,9999,9998,9998,9998,9971
EUW1,15.24,40646,40450,40450,40450,40450,40450,40308
EUW1,15.3,1575,1566,1566,1566,1566,1566,1559
EUW1,15.4,1516,1511,1511,1511,1511,1511,1503
EUW1,15.5,1238,1237,1237,1237,1237,1237,1233
EUW1,15.6,1333,1333,1333,1333,1333,1333,1324
EUW1,15.7,1152,1144,1144,1144,1144,1144,1140
EUW1,15.8,1357,1344,1344,1344,1344,1344,1341
EUW1,15.9,1476,1472,1472,1472,1472,1472,1465
EUW1,16.1,76966,76607,76607,76607,76605,76605,76317
EUW1,16.2,91139,90743,90743,90739,90739,90739,90444
EUW1,16.3,124390,123843,123843,123840,123840,123840,123361
EUW1,16.4,155459,154730,154730,154728,154728,154728,154099
EUW1,16.5,134478,134277,134277,134274,134274,134274,133937
EUW1,16.6,54562,54561,54561,54559,54559,54559,54456
KR,14.10,366,0,0,0,0,0,0
KR,14.11,309,64,64,64,64,64,58
KR,14.12,320,174,174,174,174,174,155
KR,14.13,557,443,443,443,443,443,414
KR,14.14,585,582,582,582,582,582,549
KR,14.15,589,589,589,589,589,589,557
KR,14.16,593,593,593,593,593,593,561
KR,14.17,586,586,586,586,586,586,554
KR,14.18,820,820,820,820,820,820,775
KR,14.19,795,795,795,795,795,795,746
KR,14.20,761,761,761,761,761,761,730
KR,14.21,830,830,830,830,830,830,793
KR,14.22,1112,1111,1111,1111,1111,1111,1056
KR,14.23,1673,1669,1669,1669,1669,1669,1582
KR,14.24,2783,2783,2783,2783,2783,2783,2661
KR,14.5,20,0,0,0,0,0,0
KR,14.6,198,0,0,0,0,0,0
KR,14.7,270,0,0,0,0,0,0
KR,14.8,367,0,0,0,0,0,0
KR,14.9,355,0,0,0,0,0,0
KR,15.1,1639,1632,1632,1632,1632,1632,1619
KR,15.10,1993,1989,1989,1989,1989,1989,1967
KR,15.11,2277,2277,2277,2277,2277,2277,2259
KR,15.12,2655,2652,2652,2652,2652,2652,2628
KR,15.13,4270,4256,4256,4256,4256,4256,4199
KR,15.14,4085,4074,4074,4074,4074,4074,4042
KR,15.15,3778,3778,3778,3778,3778,3778,3747
KR,15.16,3866,3865,3865,3865,3865,3865,3825
KR,15.17,3941,3939,3939,3939,3939,3939,3890
KR,15.18,4437,4435,4435,4435,4435,4435,4401
KR,15.19,6093,6068,6068,6068,6068,6068,6016
KR,15.2,1619,1617,1617,1617,1617,1617,1611
KR,15.20,6318,6294,6294,6294,6294,6294,6249
KR,15.21,5796,5774,5774,5774,5774,5774,5729
KR,15.22,8416,8386,8386,8386,8386,8386,8320
KR,15.23,12542,12519,12519,12519,12519,12519,12402
KR,15.24,51164,51046,51046,51045,51045,51045,50613
KR,15.3,1880,1874,1874,1874,1874,1874,1867
KR,15.4,2109,2109,2109,2109,2109,2109,2095
KR,15.5,1609,1608,1608,1608,1608,1608,1601
KR,15.6,1573,1571,1571,1571,1571,1571,1564
KR,15.7,1359,1359,1359,1359,1359,1359,1356
KR,15.8,1659,1659,1659,1659,1659,1659,1653
KR,15.9,1919,1918,1918,1918,1918,1918,1891
KR,16.1,73750,73512,73512,73512,73512,73512,72916
KR,16.2,94129,93775,93775,93775,93775,93775,93038
KR,16.3,133277,132689,132689,132687,132687,132687,131594
KR,16.4,157390,156521,156521,156519,156518,156518,155077
KR,16.5,111389,111233,111233,111233,111233,111233,110410
KR,16.6,45164,45164,45164,45164,45164,45164,44835
NA1,14.10,716,5,5,5,5,5,5
NA1,14.11,508,141,141,141,141,141,134
NA1,14.12,654,486,486,486,486,486,447
NA1,14.13,874,784,784,784,784,784,746
NA1,14.14,690,687,687,687,687,687,646
NA1,14.15,698,698,698,698,698,698,666
NA1,14.16,625,615,615,615,615,615,580
NA1,14.17,556,554,554,554,554,554,514
NA1,14.18,641,637,637,637,637,637,613
NA1,14.19,795,795,795,795,795,795,756
NA1,14.20,742,742,742,742,742,742,702
NA1,14.21,799,799,799,799,799,799,770
NA1,14.22,1071,1049,1049,1049,1049,1049,1002
NA1,14.23,2147,2130,2130,2130,2130,2130,2032
NA1,14.24,2869,2864,2864,2864,2864,2864,2749
NA1,14.5,32,0,0,0,0,0,0
NA1,14.6,374,0,0,0,0,0,0
NA1,14.7,359,0,0,0,0,0,0
NA1,14.8,486,0,0,0,0,0,0
NA1,14.9,423,0,0,0,0,0,0
NA1,15.1,2079,2070,2070,2070,2070,2070,2064
NA1,15.10,1994,1994,1994,1994,1994,1994,1985
NA1,15.11,2060,2060,2060,2060,2060,2060,2048
NA1,15.12,2623,2617,2617,2617,2617,2617,2606
NA1,15.13,4192,4186,4186,4186,4185,4185,4170
NA1,15.14,3479,3460,3460,3460,3460,3460,3443
NA1,15.15,3492,3473,3473,3473,3473,3473,3464
NA1,15.16,3916,3888,3888,3888,3888,3888,3882
NA1,15.17,3916,3900,3900,3900,3900,3900,3888
NA1,15.18,3977,3974,3974,3974,3974,3974,3964
NA1,15.19,4785,4775,4775,4775,4775,4775,4760
NA1,15.2,1450,1446,1446,1446,1446,1446,1444
NA1,15.20,5437,5419,5419,5419,5419,5419,5401
NA1,15.21,5584,5548,5548,5548,5548,5548,5535
NA1,15.22,8819,8777,8777,8776,8776,8776,8749
NA1,15.23,11728,11710,11710,11710,11710,11710,11677
NA1,15.24,48406,48204,48204,48204,48204,48204,48047
NA1,15.3,1755,1755,1755,1755,1755,1755,1750
NA1,15.4,1439,1429,1429,1429,1429,1429,1428
NA1,15.5,1108,1105,1105,1105,1105,1105,1103
NA1,15.6,1378,1370,1370,1370,1370,1370,1366
NA1,15.7,1414,1412,1412,1412,1412,1412,1409
NA1,15.8,1447,1445,1445,1445,1445,1445,1439
NA1,15.9,1771,1768,1768,1767,1767,1767,1762
NA1,16.1,85924,85499,85499,85497,85497,85497,85240
NA1,16.2,98527,97926,97926,97926,97926,97926,97646
NA1,16.3,117878,117054,117054,117051,117051,117051,116677
NA1,16.4,132506,131603,131603,131478,131478,131478,131047
NA1,16.5,103045,102554,102554,102552,102552,102552,102313
NA1,16.6,29237,29047,29047,29046,29046,29046,28975
