region,tier,canonical,downloaded,identity_verified,parsed,valid_window,eligible,usable_primary_outcome
EUW1,BRONZE,116220,115323,115323,115320,115317,115317,114534
EUW1,DIAMOND,108250,108201,108201,108200,108200,108200,107918
EUW1,EMERALD,106608,106430,106430,106427,106427,106427,106202
EUW1,GOLD,115407,114678,114678,114673,114672,114672,114413
EUW1,IRON,98600,96344,96344,96342,96342,96342,95340
EUW1,PLATINUM,107152,106950,106950,106949,106949,106949,106732
EUW1,SILVER,110707,109936,109936,109935,109934,109934,109533
KR,BRONZE,117024,116192,116192,116192,116191,116191,114818
KR,DIAMOND,108258,108203,108203,108203,108203,108203,107434
KR,EMERALD,106846,106648,106648,106648,106648,106648,105944
KR,GOLD,115021,114563,114563,114562,114562,114562,113877
KR,IRON,101731,99641,99641,99640,99640,99640,97878
KR,PLATINUM,107001,106745,106745,106743,106743,106743,106095
KR,SILVER,110104,109401,109401,109400,109400,109400,108559
NA1,BRONZE,112510,111332,111332,111312,111312,111312,110640
NA1,DIAMOND,101331,100185,100185,100176,100176,100176,99888
NA1,EMERALD,98394,98130,98130,98112,98112,98112,97895
NA1,GOLD,111319,110527,110527,110511,110511,110511,110211
NA1,IRON,87407,85170,85170,85137,85137,85137,84458
NA1,PLATINUM,97588,97248,97248,97227,97226,97226,97043
NA1,SILVER,102876,101862,101862,101844,101844,101844,101509
