measure,contrast,estimate,ci_low,ci_high,se,z,p_value,log10_p,primary_se,se_ratio,p_holm,log10_p_holm
overall,KR-NA,0.3068900430428817,0.3008677728323621,0.3129123132534013,0.0030725868421018227,99.8800225392333,4.3394787023e-2169,-2168.362562438766,0.003069555370394844,1.0009875931010128,4.3394787023e-2168,-2167.362562438766
maintenance,KR-NA,0.37050255474279803,0.36482186114033965,0.3761832483452564,0.0028983130624787683,127.83386292505182,1.9248076472e-3551,-3550.7156126645536,0.0028529436382536185,1.0159026710576455,2.3097691767e-3550,-3549.636431418506
signalling,KR-NA,0.24327753134296537,0.2336613008474733,0.2528937618384574,0.0049062400487204375,49.58532989155574,2.0203018639e-536,-535.6945837354841,0.004895206296312645,1.0022539913008577,1.6162414911e-535,-534.7914937484921
overall,KR-EUW,0.22552428282962622,0.2192948152621967,0.23175375039705573,0.00317829977930077,70.95752398763399,5.2597599262e-1096,-1095.2790340781128,0.0031751598309149773,1.0009889103393224,4.7337839335e-1095,-1094.3247915686734
maintenance,KR-EUW,0.3316189205327468,0.32578921025873503,0.3374486308067585,0.002974341976536598,111.49320526985689,3.5882878427e-2702,-2701.44511272631,0.0029320074180382814,1.0144387624116726,3.9471166269e-2701,-2700.4037200411517
signalling,KR-EUW,0.11942964512650564,0.1094620736423704,0.12939721661064088,0.005085495655171043,23.48436676080275,5.8926683163e-122,-121.22968800357512,0.005076689938155595,1.0017345390643744,1.7678004949e-121,-120.75256674885546
overall,EUW-NA,0.08136576021325548,0.07524628623746779,0.08748523418904317,0.0031221805998916767,26.060555310630797,1.0214529063e-149,-148.99078165155817,0.0031201018713660346,1.0006662373894646,6.1287174377e-149,-148.21263040117452
maintenance,EUW-NA,0.03888363421005121,0.03335719159349457,0.04441007682660786,0.002819613579875839,13.79041244785161,2.9109089856e-43,-42.53597137328145,0.002803052300759213,1.0059083018579926,2.9109089856e-43,-42.53597137328145
signalling,EUW-NA,0.12384788621645974,0.11389690672053734,0.13379886571238214,0.005077030355062446,24.39376516489952,1.9916536700e-131,-130.70078617911793,0.00507145116347485,1.0011001173841085,7.9666146798e-131,-130.09872618778996
maintenance_minus_signalling,KR-NA,0.1272250233998326,0.11700673667744904,0.13744331012221617,0.0052134115930528415,24.403410536272826,1.5733983511e-131,-130.80316130929475,0.005149367289807766,1.0124373150409838,7.8669917556e-131,-130.10419130495873
maintenance_minus_signalling,KR-EUW,0.21218927540624116,0.20163224260123844,0.2227463082112439,0.0053862412270422036,39.39468480188412,2.0252347689e-339,-338.6935246253137,0.005330322377472064,1.0104907068672757,1.4176643383e-338,-337.8484265852995
maintenance_minus_signalling,EUW-NA,-0.08496425200640853,-0.09542060294176603,-0.07450790107105103,0.005334872926202809,-15.926199776773943,4.1693882940e-57,-56.37992765726315,0.005311618911198027,1.0043779524460532,8.3387765880e-57,-56.07889766159917
