Indicator relationship,Indicator pairs,"Pooled, regional means removed",NA,EUW,KR
Within maintenance,3,0.402,0.379,0.410,0.419
Within signalling,36,0.270,0.281,0.282,0.251
Between maintenance and signalling,27,0.082,0.080,0.086,0.082
Within functional ping categories,10,0.265,0.282,0.278,0.243
Between functional ping categories,26,0.272,0.280,0.283,0.254
Assists–maintenance,3,0.174,0.156,0.181,0.186
Assists–signalling,9,0.050,0.040,0.050,0.062
Within combat–economy references,6,0.363,0.356,0.353,0.386
Maintenance–combat/economy,12,0.089,0.081,0.097,0.104
Signalling–combat/economy,36,0.042,0.051,0.042,0.039
Vision score–maintenance,3,0.667,0.650,0.665,0.689
