Measure,Contrast,Estimate [95% CI],Holm P
Enemy missing,NA Bronze-Iron,"0.348 [0.313, 0.382]",<0.001
Enemy missing,NA Silver-Bronze,"0.261 [0.224, 0.302]",<0.001
Enemy missing,NA Gold-Silver,"0.170 [0.125, 0.213]",<0.001
Enemy missing,NA Platinum-Gold,"0.156 [0.111, 0.199]",<0.001
Enemy missing,NA Emerald-Platinum,"0.169 [0.115, 0.219]",<0.001
Enemy missing,NA Diamond-Emerald,"0.163 [0.109, 0.220]",<0.001
Enemy missing,EUW Bronze-Iron,"0.419 [0.384, 0.456]",<0.001
Enemy missing,EUW Silver-Bronze,"0.173 [0.132, 0.209]",<0.001
Enemy missing,EUW Gold-Silver,"0.101 [0.062, 0.142]",<0.001
Enemy missing,EUW Platinum-Gold,"0.091 [0.050, 0.133]",0.004
Enemy missing,EUW Emerald-Platinum,"0.117 [0.069, 0.163]",<0.001
Enemy missing,EUW Diamond-Emerald,"0.205 [0.154, 0.254]",<0.001
Enemy missing,KR Bronze-Iron,"0.279 [0.232, 0.326]",<0.001
Enemy missing,KR Silver-Bronze,"0.039 [-0.009, 0.081]",1.000
Enemy missing,KR Gold-Silver,"-0.015 [-0.060, 0.030]",1.000
Enemy missing,KR Platinum-Gold,"0.042 [-0.002, 0.090]",1.000
Enemy missing,KR Emerald-Platinum,"0.080 [0.028, 0.130]",0.080
Enemy missing,KR Diamond-Emerald,"0.135 [0.088, 0.186]",<0.001
Enemy vision,NA Bronze-Iron,"0.145 [0.127, 0.165]",<0.001
Enemy vision,NA Silver-Bronze,"0.211 [0.187, 0.236]",<0.001
Enemy vision,NA Gold-Silver,"0.160 [0.129, 0.188]",<0.001
Enemy vision,NA Platinum-Gold,"0.130 [0.097, 0.162]",<0.001
Enemy vision,NA Emerald-Platinum,"0.161 [0.121, 0.201]",<0.001
Enemy vision,NA Diamond-Emerald,"0.133 [0.090, 0.180]",<0.001
Enemy vision,EUW Bronze-Iron,"0.142 [0.123, 0.162]",<0.001
Enemy vision,EUW Silver-Bronze,"0.231 [0.201, 0.258]",<0.001
Enemy vision,EUW Gold-Silver,"0.177 [0.142, 0.213]",<0.001
Enemy vision,EUW Platinum-Gold,"0.128 [0.085, 0.170]",<0.001
Enemy vision,EUW Emerald-Platinum,"0.147 [0.103, 0.192]",<0.001
Enemy vision,EUW Diamond-Emerald,"0.216 [0.168, 0.263]",<0.001
Enemy vision,KR Bronze-Iron,"0.263 [0.243, 0.283]",<0.001
Enemy vision,KR Silver-Bronze,"0.177 [0.148, 0.204]",<0.001
Enemy vision,KR Gold-Silver,"0.126 [0.094, 0.161]",<0.001
Enemy vision,KR Platinum-Gold,"0.109 [0.072, 0.146]",<0.001
Enemy vision,KR Emerald-Platinum,"0.124 [0.078, 0.166]",<0.001
Enemy vision,KR Diamond-Emerald,"0.089 [0.037, 0.134]",0.020
Command/attention,NA Bronze-Iron,"0.055 [0.008, 0.102]",0.820
Command/attention,NA Silver-Bronze,"0.118 [0.072, 0.163]",<0.001
Command/attention,NA Gold-Silver,"0.143 [0.097, 0.190]",<0.001
Command/attention,NA Platinum-Gold,"0.201 [0.150, 0.248]",<0.001
Command/attention,NA Emerald-Platinum,"0.198 [0.141, 0.252]",<0.001
Command/attention,NA Diamond-Emerald,"0.190 [0.133, 0.247]",<0.001
Command/attention,EUW Bronze-Iron,"0.159 [0.113, 0.209]",<0.001
Command/attention,EUW Silver-Bronze,"0.195 [0.144, 0.243]",<0.001
Command/attention,EUW Gold-Silver,"0.154 [0.102, 0.205]",<0.001
Command/attention,EUW Platinum-Gold,"0.097 [0.043, 0.146]",0.016
Command/attention,EUW Emerald-Platinum,"0.167 [0.113, 0.219]",<0.001
Command/attention,EUW Diamond-Emerald,"0.196 [0.137, 0.252]",<0.001
Command/attention,KR Bronze-Iron,"0.285 [0.230, 0.337]",<0.001
Command/attention,KR Silver-Bronze,"0.407 [0.354, 0.460]",<0.001
Command/attention,KR Gold-Silver,"0.315 [0.250, 0.375]",<0.001
Command/attention,KR Platinum-Gold,"0.288 [0.220, 0.355]",<0.001
Command/attention,KR Emerald-Platinum,"0.227 [0.156, 0.305]",<0.001
Command/attention,KR Diamond-Emerald,"0.296 [0.212, 0.379]",<0.001
Need vision,NA Bronze-Iron,"0.014 [0.007, 0.024]",0.016
Need vision,NA Silver-Bronze,"-0.006 [-0.015, 0.001]",1.000
Need vision,NA Gold-Silver,"0.005 [-0.000, 0.010]",1.000
Need vision,NA Platinum-Gold,"0.002 [-0.003, 0.008]",1.000
Need vision,NA Emerald-Platinum,"0.013 [0.007, 0.019]",0.004
Need vision,NA Diamond-Emerald,"0.010 [0.003, 0.016]",0.203
Need vision,EUW Bronze-Iron,"0.002 [-0.005, 0.008]",1.000
Need vision,EUW Silver-Bronze,"-0.005 [-0.011, 0.001]",1.000
Need vision,EUW Gold-Silver,"0.007 [0.000, 0.015]",1.000
Need vision,EUW Platinum-Gold,"0.001 [-0.007, 0.009]",1.000
