Measure and position,NA [95% CI],EUW [95% CI],KR [95% CI]
Maintenance Top,"−0.578 [−0.583, −0.574]","−0.554 [−0.558, −0.549]","−0.411 [−0.416, −0.407]"
Maintenance Jungle,"−0.338 [−0.345, −0.332]","−0.313 [−0.320, −0.306]","0.181 [0.173, 0.190]"
Maintenance Mid,"−0.459 [−0.465, −0.454]","−0.438 [−0.444, −0.432]","−0.162 [−0.168, −0.156]"
Maintenance Bottom,"−0.465 [−0.471, −0.460]","−0.455 [−0.461, −0.449]","−0.206 [−0.213, −0.201]"
Maintenance Support,"1.148 [1.135, 1.160]","1.259 [1.246, 1.272]","1.780 [1.767, 1.793]"
Team signalling Top,"−0.356 [−0.365, −0.346]","−0.255 [−0.265, −0.244]","−0.221 [−0.231, −0.212]"
Team signalling Jungle,"0.268 [0.251, 0.285]","0.423 [0.405, 0.440]","0.563 [0.547, 0.579]"
Team signalling Mid,"−0.082 [−0.093, −0.070]","0.028 [0.015, 0.041]","0.153 [0.142, 0.164]"
Team signalling Bottom,"−0.265 [−0.277, −0.254]","−0.164 [−0.177, −0.152]","0.004 [−0.009, 0.015]"
Team signalling Support,"−0.149 [−0.161, −0.137]","0.006 [−0.009, 0.020]","0.145 [0.132, 0.158]"
