Measure and position,Regional contrast,Mean difference [95% CI],Holm P
Maintenance Top,KR−NA,"0.167 [0.160, 0.173]",<0.001
Maintenance Top,KR−EUW,"0.143 [0.136, 0.149]",<0.001
Maintenance Top,EUW−NA,"0.024 [0.018, 0.031]",<0.001
Maintenance Jungle,KR−NA,"0.520 [0.509, 0.530]",<0.001
Maintenance Jungle,KR−EUW,"0.494 [0.483, 0.505]",<0.001
Maintenance Jungle,EUW−NA,"0.025 [0.016, 0.035]",<0.001
Maintenance Mid,KR−NA,"0.297 [0.289, 0.305]",<0.001
Maintenance Mid,KR−EUW,"0.276 [0.268, 0.284]",<0.001
Maintenance Mid,EUW−NA,"0.021 [0.013, 0.029]",<0.001
Maintenance Bottom,KR−NA,"0.259 [0.251, 0.267]",<0.001
Maintenance Bottom,KR−EUW,"0.249 [0.241, 0.257]",<0.001
Maintenance Bottom,EUW−NA,"0.010 [0.002, 0.018]",0.012
Maintenance Support,KR−NA,"0.632 [0.613, 0.649]",<0.001
Maintenance Support,KR−EUW,"0.521 [0.503, 0.540]",<0.001
Maintenance Support,EUW−NA,"0.111 [0.093, 0.129]",<0.001
Team signalling Top,KR−NA,"0.134 [0.121, 0.148]",<0.001
Team signalling Top,KR−EUW,"0.033 [0.019, 0.048]",<0.001
Team signalling Top,EUW−NA,"0.101 [0.086, 0.116]",<0.001
Team signalling Jungle,KR−NA,"0.294 [0.272, 0.318]",<0.001
Team signalling Jungle,KR−EUW,"0.140 [0.117, 0.165]",<0.001
Team signalling Jungle,EUW−NA,"0.154 [0.130, 0.178]",<0.001
Team signalling Mid,KR−NA,"0.234 [0.218, 0.251]",<0.001
Team signalling Mid,KR−EUW,"0.124 [0.108, 0.141]",<0.001
Team signalling Mid,EUW−NA,"0.110 [0.093, 0.127]",<0.001
Team signalling Bottom,KR−NA,"0.269 [0.253, 0.286]",<0.001
Team signalling Bottom,KR−EUW,"0.168 [0.150, 0.185]",<0.001
Team signalling Bottom,EUW−NA,"0.101 [0.083, 0.119]",<0.001
Team signalling Support,KR−NA,"0.294 [0.276, 0.312]",<0.001
Team signalling Support,KR−EUW,"0.139 [0.119, 0.159]",<0.001
Team signalling Support,EUW−NA,"0.155 [0.136, 0.175]",<0.001
