Position,Regional contrast,Adjusted mean difference [95% CI],Holm P
Top,KR−NA,"0.151 [0.143, 0.158]",<0.001
Top,KR−EUW,"0.088 [0.080, 0.097]",<0.001
Top,EUW−NA,"0.063 [0.054, 0.072]",<0.001
Jungle,KR−NA,"0.407 [0.393, 0.422]",<0.001
Jungle,KR−EUW,"0.317 [0.304, 0.332]",<0.001
Jungle,EUW−NA,"0.090 [0.076, 0.103]",<0.001
Mid,KR−NA,"0.266 [0.256, 0.275]",<0.001
Mid,KR−EUW,"0.200 [0.190, 0.210]",<0.001
Mid,EUW−NA,"0.066 [0.055, 0.076]",<0.001
Bottom,KR−NA,"0.264 [0.254, 0.274]",<0.001
Bottom,KR−EUW,"0.209 [0.197, 0.219]",<0.001
Bottom,EUW−NA,"0.055 [0.045, 0.066]",<0.001
Support,KR−NA,"0.463 [0.448, 0.478]",<0.001
Support,KR−EUW,"0.330 [0.316, 0.345]",<0.001
Support,EUW−NA,"0.133 [0.118, 0.149]",<0.001
