Component,Minute interval,NA [95% CI],EUW [95% CI],KR [95% CI]
Ward placement,0–1,"1.3326 [1.3310, 1.3343]","1.3178 [1.3162, 1.3194]","1.4633 [1.4618, 1.4648]"
Ward placement,1–2,"0.8454 [0.8440, 0.8468]","0.8245 [0.8232, 0.8258]","0.7426 [0.7413, 0.7439]"
Ward placement,2–3,"0.9759 [0.9744, 0.9774]","0.9975 [0.9961, 0.9990]","1.0737 [1.0722, 1.0752]"
Ward placement,3–4,"1.6791 [1.6771, 1.6811]","1.7112 [1.7093, 1.7132]","1.8274 [1.8254, 1.8293]"
Ward placement,4–5,"1.5760 [1.5741, 1.5780]","1.5963 [1.5944, 1.5982]","1.6796 [1.6777, 1.6815]"
Ward placement,5–6,"1.5158 [1.5138, 1.5177]","1.5189 [1.5170, 1.5207]","1.5241 [1.5223, 1.5260]"
Ward placement,6–7,"1.6591 [1.6570, 1.6611]","1.6800 [1.6780, 1.6820]","1.7587 [1.7567, 1.7607]"
Ward placement,7–8,"1.9945 [1.9923, 1.9967]","2.0219 [2.0197, 2.0240]","2.1502 [2.1480, 2.1524]"
Ward placement,8–9,"1.9896 [1.9872, 1.9919]","2.0271 [2.0248, 2.0294]","2.1491 [2.1467, 2.1514]"
Ward placement,9–10,"1.9191 [1.9167, 1.9215]","1.9687 [1.9664, 1.9710]","2.1475 [2.1450, 2.1499]"
Ward clearing,0–1,"0.0207 [0.0204, 0.0209]","0.0196 [0.0194, 0.0198]","0.0574 [0.0571, 0.0578]"
Ward clearing,1–2,"0.0193 [0.0190, 0.0195]","0.0181 [0.0179, 0.0183]","0.0294 [0.0291, 0.0297]"
Ward clearing,2–3,"0.0149 [0.0147, 0.0151]","0.0139 [0.0137, 0.0141]","0.0236 [0.0234, 0.0239]"
Ward clearing,3–4,"0.0554 [0.0550, 0.0558]","0.0563 [0.0559, 0.0567]","0.0767 [0.0762, 0.0772]"
Ward clearing,4–5,"0.1068 [0.1062, 0.1073]","0.1128 [0.1122, 0.1134]","0.1578 [0.1571, 0.1585]"
Ward clearing,5–6,"0.1641 [0.1634, 0.1648]","0.1718 [0.1711, 0.1725]","0.2203 [0.2195, 0.2211]"
Ward clearing,6–7,"0.2117 [0.2109, 0.2125]","0.2225 [0.2217, 0.2233]","0.2939 [0.2930, 0.2948]"
Ward clearing,7–8,"0.2656 [0.2646, 0.2665]","0.2840 [0.2831, 0.2850]","0.4036 [0.4026, 0.4047]"
Ward clearing,8–9,"0.3241 [0.3230, 0.3251]","0.3463 [0.3452, 0.3473]","0.4864 [0.4852, 0.4876]"
Ward clearing,9–10,"0.3869 [0.3857, 0.3880]","0.4105 [0.4093, 0.4116]","0.5743 [0.5730, 0.5756]"
Control ward purchases,0–1,"0.0551 [0.0547, 0.0554]","0.0438 [0.0435, 0.0442]","0.0342 [0.0339, 0.0345]"
Control ward purchases,1–2,"0.0206 [0.0204, 0.0209]","0.0221 [0.0219, 0.0224]","0.0431 [0.0428, 0.0435]"
Control ward purchases,2–3,"0.1032 [0.1027, 0.1038]","0.1082 [0.1076, 0.1088]","0.1925 [0.1918, 0.1933]"
Control ward purchases,3–4,"0.2409 [0.2401, 0.2418]","0.2702 [0.2693, 0.2710]","0.4064 [0.4053, 0.4074]"
Control ward purchases,4–5,"0.2943 [0.2934, 0.2953]","0.3154 [0.3145, 0.3164]","0.4680 [0.4669, 0.4692]"
Control ward purchases,5–6,"0.2516 [0.2507, 0.2525]","0.2661 [0.2652, 0.2670]","0.4213 [0.4202, 0.4224]"
Control ward purchases,6–7,"0.2530 [0.2521, 0.2539]","0.2725 [0.2716, 0.2733]","0.4279 [0.4268, 0.4290]"
Control ward purchases,7–8,"0.2487 [0.2478, 0.2495]","0.2682 [0.2674, 0.2691]","0.4284 [0.4273, 0.4295]"
Control ward purchases,8–9,"0.2328 [0.2320, 0.2337]","0.2478 [0.2469, 0.2486]","0.4126 [0.4115, 0.4136]"
Control ward purchases,9–10,"0.2484 [0.2475, 0.2493]","0.2656 [0.2647, 0.2665]","0.4458 [0.4447, 0.4469]"
