Component,min,Regional contrast,Mean difference [95% CI],Simultaneous 95% CI,Holm P
Ward placement,1,KR − NA,"0.1307 [0.1284, 0.1329]","[0.1268, 0.1346]",<0.001
Ward placement,2,KR − NA,"−0.1028 [−0.1047, −0.1009]","[−0.1061, −0.0995]",<0.001
Ward placement,3,KR − NA,"0.0978 [0.0957, 0.0999]","[0.0941, 0.1015]",<0.001
Ward placement,4,KR − NA,"0.1483 [0.1455, 0.1510]","[0.1434, 0.1532]",<0.001
Ward placement,5,KR − NA,"0.1036 [0.1009, 0.1063]","[0.0988, 0.1084]",<0.001
Ward placement,6,KR − NA,"0.0084 [0.0057, 0.0111]","[0.0036, 0.0132]",<0.001
Ward placement,7,KR − NA,"0.0997 [0.0968, 0.1025]","[0.0946, 0.1047]",<0.001
Ward placement,8,KR − NA,"0.1557 [0.1526, 0.1588]","[0.1502, 0.1611]",<0.001
Ward placement,9,KR − NA,"0.1595 [0.1562, 0.1628]","[0.1537, 0.1654]",<0.001
Ward placement,10,KR − NA,"0.2284 [0.2250, 0.2318]","[0.2224, 0.2344]",<0.001
Ward clearing,1,KR − NA,"0.0368 [0.0363, 0.0372]","[0.0360, 0.0376]",<0.001
Ward clearing,2,KR − NA,"0.0102 [0.0098, 0.0105]","[0.0095, 0.0108]",<0.001
Ward clearing,3,KR − NA,"0.0087 [0.0084, 0.0091]","[0.0082, 0.0093]",<0.001
Ward clearing,4,KR − NA,"0.0213 [0.0207, 0.0220]","[0.0202, 0.0224]",<0.001
Ward clearing,5,KR − NA,"0.0510 [0.0502, 0.0519]","[0.0495, 0.0526]",<0.001
Ward clearing,6,KR − NA,"0.0562 [0.0552, 0.0573]","[0.0543, 0.0581]",<0.001
Ward clearing,7,KR − NA,"0.0822 [0.0810, 0.0834]","[0.0800, 0.0843]",<0.001
Ward clearing,8,KR − NA,"0.1381 [0.1367, 0.1395]","[0.1356, 0.1405]",<0.001
Ward clearing,9,KR − NA,"0.1624 [0.1608, 0.1640]","[0.1596, 0.1652]",<0.001
Ward clearing,10,KR − NA,"0.1874 [0.1857, 0.1892]","[0.1844, 0.1905]",<0.001
"Control 
ward purchases",1,KR − NA,"−0.0208 [−0.0213, −0.0204]","[−0.0217, −0.0200]",<0.001
"Control 
ward purchases",2,KR − NA,"0.0225 [0.0221, 0.0230]","[0.0217, 0.0233]",<0.001
"Control 
ward purchases",3,KR − NA,"0.0893 [0.0884, 0.0903]","[0.0876, 0.0910]",<0.001
"Control 
ward purchases",4,KR − NA,"0.1655 [0.1641, 0.1668]","[0.1631, 0.1679]",<0.001
"Control 
ward purchases",5,KR − NA,"0.1737 [0.1722, 0.1752]","[0.1711, 0.1763]",<0.001
"Control 
ward purchases",6,KR − NA,"0.1697 [0.1683, 0.1711]","[0.1672, 0.1721]",<0.001
"Control 
ward purchases",7,KR − NA,"0.1749 [0.1735, 0.1763]","[0.1724, 0.1774]",<0.001
"Control 
ward purchases",8,KR − NA,"0.1797 [0.1783, 0.1811]","[0.1772, 0.1822]",<0.001
"Control 
ward purchases",9,KR − NA,"0.1798 [0.1784, 0.1811]","[0.1773, 0.1822]",<0.001
"Control 
ward purchases",10,KR − NA,"0.1974 [0.1960, 0.1989]","[0.1949, 0.1999]",<0.001
Ward placement,1,KR − EUW,"0.1455 [0.1434, 0.1477]","[0.1417, 0.1494]",<0.001
Ward placement,2,KR − EUW,"−0.0819 [−0.0837, −0.0800]","[−0.0851, −0.0786]",<0.001
Ward placement,3,KR − EUW,"0.0762 [0.0741, 0.0783]","[0.0725, 0.0799]",<0.001
Ward placement,4,KR − EUW,"0.1161 [0.1134, 0.1189]","[0.1113, 0.1209]",<0.001
Ward placement,5,KR − EUW,"0.0833 [0.0806, 0.0860]","[0.0785, 0.0881]",<0.001
Ward placement,6,KR − EUW,"0.0053 [0.0026, 0.0080]","[0.0006, 0.0100]",<0.001
Ward placement,7,KR − EUW,"0.0787 [0.0759, 0.0815]","[0.0738, 0.0837]",<0.001
Ward placement,8,KR − EUW,"0.1283 [0.1252, 0.1314]","[0.1229, 0.1337]",<0.001
Ward placement,9,KR − EUW,"0.1220 [0.1187, 0.1252]","[0.1162, 0.1277]",<0.001
Ward placement,10,KR − EUW,"0.1788 [0.1754, 0.1821]","[0.1728, 0.1847]",<0.001
Ward clearing,1,KR − EUW,"0.0378 [0.0374, 0.0383]","[0.0371, 0.0386]",<0.001
Ward clearing,2,KR − EUW,"0.0113 [0.0109, 0.0117]","[0.0107, 0.0120]",<0.001
Ward clearing,3,KR − EUW,"0.0098 [0.0094, 0.0101]","[0.0092, 0.0103]",<0.001
Ward clearing,4,KR − EUW,"0.0204 [0.0197, 0.0210]","[0.0193, 0.0214]",<0.001
Ward clearing,5,KR − EUW,"0.0450 [0.0441, 0.0459]","[0.0434, 0.0465]",<0.001
Ward clearing,6,KR − EUW,"0.0485 [0.0474, 0.0495]","[0.0466, 0.0503]",<0.001
