Minute interval,NA Net purchases minus purchases [95% CI],EUW Net purchases minus purchases [95% CI],KR Net purchases minus purchases [95% CI]
0—1,"-0.00174 [-0.00181, -0.00167]","-0.00162 [-0.00170, -0.00154]","-0.00208 [-0.00218, -0.00199]"
1—2,"-0.00033 [-0.00036, -0.00030]","-0.00031 [-0.00034, -0.00028]","-0.00070 [-0.00074, -0.00066]"
2—3,"-0.00142 [-0.00148, -0.00135]","-0.00131 [-0.00137, -0.00125]","-0.00293 [-0.00302, -0.00284]"
3—4,"-0.00283 [-0.00292, -0.00274]","-0.00295 [-0.00304, -0.00286]","-0.00568 [-0.00580, -0.00555]"
4—5,"-0.00338 [-0.00348, -0.00328]","-0.00336 [-0.00346, -0.00326]","-0.00650 [-0.00663, -0.00636]"
5—6,"-0.00301 [-0.00310, -0.00291]","-0.00310 [-0.00319, -0.00300]","-0.00648 [-0.00661, -0.00634]"
6—7,"-0.00299 [-0.00308, -0.00289]","-0.00292 [-0.00301, -0.00282]","-0.00624 [-0.00637, -0.00610]"
7—8,"-0.00289 [-0.00299, -0.00279]","-0.00276 [-0.00285, -0.00266]","-0.00603 [-0.00617, -0.00589]"
8—9,"-0.00247 [-0.00257, -0.00238]","-0.00238 [-0.00248, -0.00229]","-0.00544 [-0.00557, -0.00530]"
9—10,"-0.00257 [-0.00267, -0.00247]","-0.00242 [-0.00251, -0.00232]","-0.00565 [-0.00580, -0.00551]"
