Region,Tier,Fixed-sample matches,Downloaded,Identity verified,Parsed,Valid window,Outcome available,Window coverage
NA,Iron,"87,407","85,170","85,170","85,137","85,137","84,458",97.40%
NA,Bronze,"112,510","111,332","111,332","111,312","111,312","110,640",98.94%
NA,Silver,"102,876","101,862","101,862","101,844","101,844","101,509",99.00%
NA,Gold,"111,319","110,527","110,527","110,511","110,511","110,211",99.27%
NA,Platinum,"97,588","97,248","97,248","97,227","97,226","97,043",99.63%
NA,Emerald,"98,394","98,130","98,130","98,112","98,112","97,895",99.71%
NA,Diamond,"101,331","100,185","100,185","100,176","100,176","99,888",98.86%
EUW,Iron,"98,600","96,344","96,344","96,342","96,342","95,340",97.71%
EUW,Bronze,"116,220","115,323","115,323","115,320","115,317","114,534",99.22%
EUW,Silver,"110,707","109,936","109,936","109,935","109,934","109,533",99.30%
EUW,Gold,"115,407","114,678","114,678","114,673","114,672","114,413",99.36%
EUW,Platinum,"107,152","106,950","106,950","106,949","106,949","106,732",99.81%
EUW,Emerald,"106,608","106,430","106,430","106,427","106,427","106,202",99.83%
EUW,Diamond,"108,250","108,201","108,201","108,200","108,200","107,918",99.95%
KR,Iron,"101,731","99,641","99,641","99,640","99,640","97,878",97.94%
KR,Bronze,"117,024","116,192","116,192","116,192","116,191","114,818",99.29%
KR,Silver,"110,104","109,401","109,401","109,400","109,400","108,559",99.36%
KR,Gold,"115,021","114,563","114,563","114,562","114,562","113,877",99.60%
KR,Platinum,"107,001","106,745","106,745","106,743","106,743","106,095",99.76%
KR,Emerald,"106,846","106,648","106,648","106,648","106,648","105,944",99.81%
KR,Diamond,"108,258","108,203","108,203","108,203","108,203","107,434",99.95%
Total,All,"2,240,354","2,223,709","2,223,709","2,223,553","2,223,546","2,210,921",99.25%
